Dong,가구_세대원수별세대수_Period,가구_세대원수별세대수_Autonomous Gu,가구_세대원수별세대수_Total number of households,가구_세대원수별세대수_Single person households,가구_세대원수별세대수_Two person households,가구_세대원수별세대수_Three person households,가구_세대원수별세대수_Four person households,가구_세대원수별세대수_Five person households,가구_세대원수별세대수_Six person households,가구_세대원수별세대수_Seven person households	,가구_세대원수별세대수_Eight person households		,가구_세대원수별세대수_Nine person households,가구_세대원수별세대수_Ten person households
Sajik-dong,2013.11,Jongno-gu,4469.0,1956.0,876.0,752.0,632.0,187.0,47.0,12,1,3,3
Samcheong-dong,2013.11,Jongno-gu,1541.0,767.0,280.0,205.0,190.0,78.0,12.0,8,-,1,-
Buam-dong,2013.11,Jongno-gu,4564.0,1591.0,990.0,809.0,868.0,223.0,63.0,16,3,-,1
Pyeongchang-dong,2013.11,Jongno-gu,7386.0,2134.0,1538.0,1452.0,1613.0,481.0,124.0,33,7,-,4
Muak-dong,2013.11,Jongno-gu,3214.0,870.0,663.0,666.0,763.0,198.0,44.0,8,-,1,1
Gyonam-dong,2013.11,Jongno-gu,2722.0,1409.0,509.0,367.0,342.0,74.0,12.0,7,2,-,-
Gahoe-dong,2013.11,Jongno-gu,2344.0,1015.0,450.0,388.0,343.0,111.0,28.0,7,1,1,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.11,Jongno-gu,5267.0,3952.0,572.0,361.0,277.0,74.0,20.0,7,3,-,1
Jongno 5·6(oryuk)-ga-dong,2013.11,Jongno-gu,3122.0,1761.0,523.0,375.0,334.0,104.0,20.0,5,-,-,-
Ihwa-dong,2013.11,Jongno-gu,4498.0,2357.0,783.0,624.0,533.0,154.0,37.0,6,2,1,1
Changsin 1(il)-dong,2013.11,Jongno-gu,3363.0,1891.0,563.0,428.0,349.0,104.0,20.0,8,-,-,-
Changsin 2(i)-dong,2013.11,Jongno-gu,4774.0,2080.0,883.0,771.0,748.0,220.0,57.0,11,1,1,2
Changsin 3(sam)-dong,2013.11,Jongno-gu,3055.0,846.0,600.0,645.0,683.0,215.0,48.0,10,8,-,-
Sungin 1(il)-dong,2013.11,Jongno-gu,3245.0,1392.0,622.0,549.0,503.0,145.0,27.0,6,1,-,-
Sungin 2(i)-dong,2013.11,Jongno-gu,5201.0,3061.0,816.0,633.0,523.0,128.0,30.0,9,-,1,-
Cheongunhyoja-dong,2013.11,Jongno-gu,5924.0,2087.0,1141.0,1088.0,1165.0,329.0,85.0,22,4,3,-
Hyehwa-dong,2013.11,Jongno-gu,9165.0,5069.0,1491.0,1068.0,1128.0,294.0,84.0,25,4,1,1
Sogong-dong,2013.11,Jung-gu,695.0,394.0,117.0,87.0,68.0,21.0,5.0,1,-,-,2
Hoehyeon-dong,2013.11,Jung-gu,3595.0,2458.0,480.0,289.0,276.0,67.0,17.0,8,-,-,-
Myeong-dong,2013.11,Jung-gu,1594.0,1020.0,233.0,152.0,132.0,37.0,14.0,-,2,1,3
Pil-dong,2013.11,Jung-gu,2429.0,1465.0,369.0,278.0,221.0,74.0,14.0,5,1,1,1
Jangchung-dong,2013.11,Jung-gu,2992.0,1777.0,473.0,321.0,277.0,106.0,27.0,6,1,-,4
Gwanghui-dong ,2013.11,Jung-gu,2935.0,1727.0,485.0,338.0,286.0,77.0,17.0,4,1,-,-
Euljiro-dong,2013.11,Jung-gu,1334.0,1026.0,145.0,82.0,57.0,18.0,2.0,4,-,-,-
Sindang 5(o)-dong,2013.11,Jung-gu,4644.0,1950.0,937.0,788.0,719.0,185.0,52.0,10,3,-,-
Hwanghak-dong,2013.11,Jung-gu,5812.0,2665.0,1197.0,940.0,749.0,208.0,38.0,13,2,-,-
Jungnim-dong,2013.11,Jung-gu,4680.0,2269.0,893.0,689.0,616.0,155.0,44.0,11,2,-,1
Sindang-dong,2013.11,Jung-gu,3918.0,2143.0,701.0,440.0,461.0,132.0,32.0,6,-,2,1
Dasan-dong,2013.11,Jung-gu,7183.0,2919.0,1610.0,1156.0,1113.0,291.0,66.0,20,4,2,2
Yaksu-dong,2013.11,Jung-gu,7939.0,2610.0,1872.0,1701.0,1322.0,334.0,76.0,17,6,-,1
Cheonggu-dong,2013.11,Jung-gu,6512.0,2307.0,1390.0,1204.0,1218.0,298.0,71.0,13,8,3,-
Donghwa-dong,2013.11,Jung-gu,4401.0,1184.0,837.0,943.0,1035.0,301.0,77.0,17,4,-,3
Huam-dong,2013.11,Yongsan-gu,8820.0,3898.0,1673.0,1451.0,1313.0,362.0,90.0,18,8,3,4
