Dong,가구_주택종류별주택_2010_Gu_Gu_Gu,가구_주택종류별주택_2010_No.of houses by type of housing unit_Total_Total,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_total,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_Detached dwelling (Include Business),가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_Multy familyhouse,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_dwelling and business,가구_주택종류별주택_2010_No.of houses by type of housing unit_Apartment_Apartment,가구_주택종류별주택_2010_No.of houses by type of housing unit_Row house_Row house,가구_주택종류별주택_2010_No.of houses by type of housing unit_Apartment units in a private house_Apartment units in a private house,가구_주택종류별주택_2010_No.of houses by type of housing unit_House within commercial building_House within commercial building
Sajik-dong,Jongno-gu,2784.0,782,609,125,48,1493,65,412,32
Samcheong-dong,Jongno-gu,830.0,740,545,126,69,-,14,45,31
Buam-dong,Jongno-gu,2953.0,1065,832,187,46,117,980,760,31
Pyeongchang-dong,Jongno-gu,5630.0,1596,1312,226,58,911,2341,745,37
Muak-dong,Jongno-gu,2681.0,155,92,24,39,2423,58,9,36
Gyonam-dong,Jongno-gu,2223.0,870,460,348,62,112,33,1180,28
Gahoe-dong,Jongno-gu,1588.0,842,631,144,67,-,86,652,8
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,1376.0,537,306,120,111,743,-,-,96
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,918.0,760,344,303,113,-,-,19,139
Ihwa-dong,Jongno-gu,2419.0,806,392,331,83,69,249,1246,49
Hyehwa-dong,Jongno-gu,2918.0,934,445,418,71,820,361,744,59
Myeongnyun3(sam)-ga-dong,Jongno-gu,1169.0,887,308,549,30,34,13,222,13
Changsin 1(il)-dong,Jongno-gu,1588.0,541,212,220,109,571,321,102,53
Changsin 2(i)-dong,Jongno-gu,2358.0,996,364,541,91,334,115,901,12
Changsin 3(sam)-dong,Jongno-gu,2115.0,309,103,172,34,1756,12,29,9
Sungin 1(il)-dong,Jongno-gu,1467.0,695,316,312,67,636,14,102,20
Sungin 2(i)-dong,Jongno-gu,2249.0,475,204,216,55,663,174,889,48
Cheongunhyoja-dong,Jongno-gu,4084.0,1439,1006,350,83,385,668,1564,28
Sogong-dong,Jung-gu,317.0,22,13,5,4,224,36,-,35
Hoehyeon-dong,Jung-gu,1379.0,254,93,122,39,981,46,43,55
Myeong-dong,Jung-gu,528.0,217,84,99,34,249,-,15,47
Pil-dong,Jung-gu,946.0,446,212,157,77,258,110,85,47
Jangchung-dong,Jung-gu,2056.0,422,236,111,75,76,92,1438,28
Gwanghui-dong ,Jung-gu,1397.0,585,309,168,108,717,-,12,83
Euljiro-dong,Jung-gu,439.0,138,34,8,96,122,-,28,151
Sindang-dong,Jung-gu,1419.0,1143,487,486,170,113,51,56,56
Dasan-dong,Jung-gu,4139.0,1099,485,534,80,470,437,2079,54
Yaksu-dong,Jung-gu,6425.0,247,106,117,24,5293,635,234,16
Cheonggu-dong,Jung-gu,4631.0,530,205,263,62,3849,121,98,33
Sindang 5(o)-dong,Jung-gu,1420.0,771,230,427,114,253,23,329,44
Donghwa-dong,Jung-gu,2212.0,261,72,126,63,1713,111,66,61
Hwanghak-dong,Jung-gu,3375.0,953,355,390,208,2340,15,30,37
Jungnim-dong,Jung-gu,3156.0,681,331,306,44,1379,180,889,27
Huam-dong,Yongsan-gu,4628.0,1615,659,858,98,580,522,1872,39
Yongsan 2-ga-dong,Yongsan-gu,3354.0,1152,261,769,122,375,221,1580,26
Namyeong-dong,Yongsan-gu,1316.0,570,190,309,71,73,60,550,63
Wonhyoro 2(i)-dong,Yongsan-gu,4328.0,618,216,327,75,3202,171,305,32
Hyochang-dong,Yongsan-gu,2790.0,693,257,374,62,948,397,720,32
Yongmun-dong,Yongsan-gu,3577.0,594,182,269,143,2280,106,569,28
Ichon 1(il)-dong,Yongsan-gu,9545.0,-,-,-,-,9515,22,-,8
Ichon 2(i)-dong,Yongsan-gu,3494.0,96,40,13,43,2943,266,172,17
Itaewon 1(il)-dong,Yongsan-gu,2223.0,951,310,534,107,737,280,217,38
Itaewon 2(i)-dong,Yongsan-gu,2691.0,1359,420,857,82,677,191,426,38
Seobinggo-dong,Yongsan-gu,3283.0,671,297,332,42,1759,327,524,2
Bogwang-dong,Yongsan-gu,3591.0,2045,585,1307,153,549,107,842,48
Cheongpa-dong,Yongsan-gu,5287.0,1986,752,1099,135,72,684,2465,80
Wonhyoro 1(il)-dong,Yongsan-gu,3012.0,694,266,306,122,1864,31,368,55
Hangangno-dong,Yongsan-gu,5355.0,969,655,232,82,3869,125,256,136
Hannam-dong,Yongsan-gu,6470.0,2162,827,1139,196,2225,883,1150,50
Wangsimni 2(i)-dong,Seongdong-gu,4225.0,923,223,621,79,3098,18,161,25
