Dong,º¸À°_º¸À°½Ã¼³_Period,º¸À°_º¸À°½Ã¼³_Autonomous Gu,º¸À°_º¸À°½Ã¼³_total,"º¸À°_º¸À°½Ã¼³_National, Public",º¸À°_º¸À°½Ã¼³_Social welfare society,º¸À°_º¸À°½Ã¼³_Corporation,º¸À°_º¸À°½Ã¼³_Private,º¸À°_º¸À°½Ã¼³_Home,º¸À°_º¸À°½Ã¼³_Cooperation with parentsv,º¸À°_º¸À°½Ã¼³_Company
Sajik-dong,2013.0,Jongno-gu,7.0,1,1,-,1,-,-,4
Samcheong-dong,2013.0,Jongno-gu,1.0,1,-,-,-,-,-,-
Buam-dong,2013.0,Jongno-gu,2.0,1,-,-,1,-,-,-
Pyeongchang-dong,2013.0,Jongno-gu,3.0,-,-,-,1,2,-,-
Muak-dong,2013.0,Jongno-gu,6.0,2,-,-,3,1,-,-
Gyonam-dong,2013.0,Jongno-gu,2.0,1,-,-,1,-,-,-
Gahoe-dong,2013.0,Jongno-gu,5.0,1,-,-,2,-,-,2
Jongno 1¡¤2¡¤3¡¤4(ilisamsa)-ga-dong,2013.0,Jongno-gu,7.0,-,-,2,-,-,-,5
Jongno 5¡¤6(oryuk)-ga-dong,2013.0,Jongno-gu,5.0,1,-,-,3,-,-,1
Ihwa-dong,2013.0,Jongno-gu,5.0,2,-,-,1,-,-,2
Changsin 1(il)-dong,2013.0,Jongno-gu,4.0,2,1,-,-,1,-,-
Changsin 2(i)-dong,2013.0,Jongno-gu,8.0,3,-,1,3,1,-,-
Changsin 3(sam)-dong,2013.0,Jongno-gu,2.0,1,-,-,-,1,-,-
Sungin 1(il)-dong,2013.0,Jongno-gu,4.0,2,-,-,2,-,-,-
Sungin 2(i)-dong,2013.0,Jongno-gu,4.0,1,-,-,-,2,-,1
Cheongunhyoja-dong,2013.0,Jongno-gu,6.0,3,-,-,1,-,-,2
Hyehwa-dong,2013.0,Jongno-gu,4.0,2,-,-,2,-,-,-
Sogong-dong,2013.0,Jung-gu,4.0,-,-,-,-,-,-,4
Hoehyeon-dong,2013.0,Jung-gu,3.0,1,-,-,-,-,-,2
Myeong-dong,2013.0,Jung-gu,7.0,-,-,-,-,-,-,7
Pil-dong,2013.0,Jung-gu,1.0,1,-,-,-,-,-,-
Jangchung-dong,2013.0,Jung-gu,2.0,1,-,1,-,-,-,-
Gwanghui-dong ,2013.0,Jung-gu,2.0,1,-,-,-,-,-,1
Euljiro-dong,2013.0,Jung-gu,2.0,1,-,1,-,-,-,-
Sindang 5(o)-dong,2013.0,Jung-gu,5.0,1,-,2,2,-,-,-
Hwanghak-dong,2013.0,Jung-gu,6.0,2,-,-,1,3,-,-
Jungnim-dong,2013.0,Jung-gu,6.0,2,-,1,-,3,-,-
Sindang-dong,2013.0,Jung-gu,2.0,1,-,-,1,-,-,-
Dasan-dong,2013.0,Jung-gu,5.0,1,-,1,1,2,-,-
Yaksu-dong,2013.0,Jung-gu,9.0,3,-,2,1,3,-,-
Cheonggu-dong,2013.0,Jung-gu,5.0,1,-,-,1,3,-,-
Donghwa-dong,2013.0,Jung-gu,6.0,2,-,-,1,3,-,-
Huam-dong,2013.0,Yongsan-gu,15.0,2,1,2,6,4,-,-
Yongsan 2-ga-dong,2013.0,Yongsan-gu,5.0,2,-,-,2,1,-,-
Namyeong-dong,2013.0,Yongsan-gu,2.0,1,1,-,-,-,-,-
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,12.0,1,-,1,3,7,-,-
Hyochang-dong,2013.0,Yongsan-gu,10.0,1,-,2,5,2,-,-
Yongmun-dong,2013.0,Yongsan-gu,9.0,1,-,1,3,4,-,-
Ichon 1(il)-dong,2013.0,Yongsan-gu,14.0,-,-,-,2,12,-,-
Ichon 2(i)-dong,2013.0,Yongsan-gu,6.0,1,-,-,2,3,-,-
Itaewon 1(il)-dong,2013.0,Yongsan-gu,5.0,-,-,1,1,2,-,1
Itaewon 2(i)-dong,2013.0,Yongsan-gu,3.0,1,-,-,1,1,-,-
Seobinggo-dong,2013.0,Yongsan-gu,6.0,2,-,-,1,3,-,-
Bogwang-dong,2013.0,Yongsan-gu,8.0,2,-,-,5,1,-,-
Cheongpa-dong,2013.0,Yongsan-gu,10.0,2,-,1,5,2,-,-
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,9.0,1,-,1,2,4,1,-
Hangangno-dong,2013.0,Yongsan-gu,6.0,2,-,-,1,1,-,2
Hannam-dong,2013.0,Yongsan-gu,10.0,1,-,1,2,4,-,2
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,11.0,2,-,-,2,7,-,-
Majang-dong,2013.0,Seongdong-gu,16.0,4,-,-,4,8,-,-
Sageun-dong,2013.0,Seongdong-gu,4.0,1,-,-,-,2,-,1
Haengdang 1(il)-dong,2013.0,Seongdong-gu,10.0,3,-,-,3,3,-,1
Haengdang 2(i)-dong,2013.0,Seongdong-gu,16.0,3,-,-,2,11,-,-
Eungbong-dong,2013.0,Seongdong-gu,10.0,2,-,1,1,6,-,-
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,13.0,4,-,1,2,6,-,-
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,12.0,2,-,-,2,8,-,-
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,7.0,3,-,1,3,-,-,-
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,11.0,2,-,-,5,4,-,-
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,13.0,1,-,-,7,4,-,1
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,9.0,2,-,-,4,1,-,2
Songjeong-dong,2013.0,Seongdong-gu,6.0,1,-,-,4,1,-,-
Yongdap-dong,2013.0,Seongdong-gu,9.0,2,-,-,5,2,-,-
WangsimniDoseon-dong,2013.0,Seongdong-gu,9.0,2,-,-,3,4,-,-
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,16.0,7,-,-,3,6,-,-
Oksu-dong,2013.0,Seongdong-gu,18.0,5,-,-,3,10,-,-
Hwayang-dong,2013.0,Gwangjin-gu,10.0,2,-,1,7,-,-,-
Gunja-dong,2013.0,Gwangjin-gu,17.0,1,-,2,10,3,-,1
