Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Sajik-dong,Jongno-gu,70,-,95.0,63,80,6,14,1,1,-,-
Samcheong-dong,Jongno-gu,37,-,43.0,31,37,4,4,2,2,-,-
Buam-dong,Jongno-gu,67,-,92.0,60,77,5,13,2,2,-,-
Pyeongchang-dong,Jongno-gu,75,10,146.0,66,80,8,26,1,4,10,36
Muak-dong,Jongno-gu,88,-,127.0,79,109,9,18,-,-,-,-
Gyonam-dong,Jongno-gu,92,-,124.0,82,104,7,14,3,6,-,-
Gahoe-dong,Jongno-gu,34,-,47.0,30,36,4,11,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,458,1,473.0,419,426,33,38,6,8,1,1
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,128,-,185.0,116,161,11,21,1,3,-,-
Ihwa-dong,Jongno-gu,102,-,145.0,92,125,8,18,2,2,-,-
Changsin 1(il)-dong,Jongno-gu,248,-,290.0,222,250,23,36,3,4,-,-
Changsin 2(i)-dong,Jongno-gu,203,-,301.0,181,253,20,43,2,5,-,-
Changsin 3(sam)-dong,Jongno-gu,92,-,140.0,76,105,14,30,2,5,-,-
Sungin 1(il)-dong,Jongno-gu,131,-,180.0,120,168,9,10,2,2,-,-
Sungin 2(i)-dong,Jongno-gu,239,-,273.0,209,227,24,36,6,10,-,-
Cheongunhyoja-dong,Jongno-gu,112,-,171.0,95,122,15,41,2,8,-,-
Hyehwa-dong,Jongno-gu,125,-,161.0,105,126,14,25,6,10,-,-
Sogong-dong,Jung-gu,10,-,12.0,8,10,2,2,-,-,-,-
Hoehyeon-dong,Jung-gu,425,-,452.0,356,381,64,66,5,5,-,-
Myeong-dong,Jung-gu,60,-,66.0,58,63,2,3,-,-,-,-
Pil-dong,Jung-gu,64,2,87.0,59,74,4,8,1,1,2,4
Jangchung-dong,Jung-gu,54,-,63.0,51,58,3,5,-,-,-,-
Gwanghui-dong ,Jung-gu,83,-,111.0,74,89,8,21,1,1,-,-
Euljiro-dong,Jung-gu,71,-,78.0,65,69,5,8,1,1,-,-
Sindang 5(o)-dong,Jung-gu,204,-,259.0,185,222,14,26,5,11,-,-
Hwanghak-dong,Jung-gu,253,-,325.0,233,291,15,25,5,9,-,-
Jungnim-dong,Jung-gu,294,-,368.0,266,321,23,38,5,7,-,2
Sindang-dong,Jung-gu,154,-,186.0,143,167,10,18,1,1,-,-
Dasan-dong,Jung-gu,185,-,262.0,160,209,19,43,6,7,-,3
Yaksu-dong,Jung-gu,366,-,561.0,334,478,30,76,2,5,-,2
Cheonggu-dong,Jung-gu,295,-,430.0,268,363,26,64,1,2,-,1
Donghwa-dong,Jung-gu,84,-,126.0,80,117,3,7,1,1,-,1
Huam-dong,Yongsan-gu,381,3,547.0,325,428,44,89,12,17,3,13
Yongsan 2-ga-dong,Yongsan-gu,193,1,304.0,163,240,13,30,17,27,1,7
Namyeong-dong,Yongsan-gu,774,-,825.0,658,700,100,109,16,16,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,128,1,176.0,117,150,5,14,6,10,1,2
Hyochang-dong,Yongsan-gu,79,-,119.0,67,84,10,26,2,5,-,4
Yongmun-dong,Yongsan-gu,130,-,195.0,111,156,12,25,7,14,-,-
Ichon 1(il)-dong,Yongsan-gu,17,-,17.0,16,16,1,1,-,-,-,-
Ichon 2(i)-dong,Yongsan-gu,44,-,51.0,44,51,-,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,118,-,139.0,107,125,3,5,8,9,-,-
Itaewon 2(i)-dong,Yongsan-gu,132,1,167.0,116,147,8,11,8,8,1,1
Seobinggo-dong,Yongsan-gu,81,-,119.0,69,91,9,20,3,8,-,-
Bogwang-dong,Yongsan-gu,283,-,398.0,238,311,30,68,15,19,-,-
Cheongpa-dong,Yongsan-gu,387,2,523.0,327,418,45,85,15,19,2,1
Wonhyoro 1(il)-dong,Yongsan-gu,128,3,165.0,113,141,7,12,8,12,3,-
Hangangno-dong,Yongsan-gu,223,-,262.0,200,236,19,22,4,4,-,-
Hannam-dong,Yongsan-gu,286,1,380.0,253,321,23,38,10,19,1,2
Wangsimni 2(i)-dong,Seongdong-gu,180,1,299.0,139,203,38,84,3,7,1,5
Majang-dong,Seongdong-gu,339,-,552.0,284,428,43,98,12,25,-,1
Sageun-dong,Seongdong-gu,86,-,134.0,69,95,14,31,3,8,-,-
Haengdang 1(il)-dong,Seongdong-gu,229,-,339.0,187,264,38,70,4,5,-,-
Haengdang 2(i)-dong,Seongdong-gu,270,-,491.0,220,359,43,120,7,12,-,-
Eungbong-dong,Seongdong-gu,69,-,116.0,51,76,16,37,2,2,-,1
Geumho 1(il)-ga-dong,Seongdong-gu,294,-,471.0,246,362,43,93,5,15,-,1
Geumho 4(sa)-ga-dong,Seongdong-gu,167,-,267.0,140,212,18,38,9,16,-,1
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,217,-,338.0,167,239,46,92,4,7,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,153,-,234.0,118,161,30,61,5,11,-,1
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,268,-,422.0,222,305,41,105,5,11,-,1
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,95,-,115.0,86,103,8,10,1,1,-,1
Songjeong-dong,Seongdong-gu,204,-,297.0,168,224,35,72,1,1,-,-
Yongdap-dong,Seongdong-gu,337,-,506.0,284,394,45,88,8,23,-,1
WangsimniDoseon-dong,Seongdong-gu,265,1,337.0,235,288,17,27,13,19,1,3
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,233,-,395.0,183,275,42,99,8,21,-,-
Oksu-dong,Seongdong-gu,154,-,256.0,128,194,23,57,3,4,-,1
Hwayang-dong,Gwangjin-gu,165,-,227.0,150,186,9,21,6,8,-,12
Gunja-dong,Gwangjin-gu,254,-,357.0,235,319,15,27,4,6,-,5
Junggok 1(il)-dong,Gwangjin-gu,195,1,309.0,173,249,16,42,6,16,1,2
Junggok 2(i)-dong,Gwangjin-gu,228,2,363.0,211,316,17,38,-,-,2,9
Junggok 3(sam)-dong,Gwangjin-gu,293,-,469.0,241,344,37,91,15,32,-,2
Junggok 4(sa)-dong,Gwangjin-gu,403,5,686.0,357,553,36,105,10,22,5,6
Neung-dong,Gwangjin-gu,90,-,125.0,82,106,6,13,2,6,-,-
Guui 1(il)-dong,Gwangjin-gu,191,-,295.0,168,234,21,55,2,4,-,2
Guui 2(i)-dong,Gwangjin-gu,297,-,490.0,260,384,22,66,15,27,-,13
Guui 3(sam)-dong,Gwangjin-gu,111,-,176.0,94,131,15,40,2,3,-,2
Gwangjang-dong,Gwangjin-gu,52,1,75.0,46,62,6,10,-,-,1,3
Jayang 1(il)-dong,Gwangjin-gu,285,2,451.0,250,349,27,80,8,18,2,4
Jayang 2(i)-dong,Gwangjin-gu,183,2,297.0,161,240,19,51,3,4,2,2
Jayang 3(sam)-dong,Gwangjin-gu,135,4,201.0,117,148,15,46,3,7,4,-
Jayang 4(sa)-dong,Gwangjin-gu,371,-,483.0,334,415,23,46,14,21,-,1
Hoegi-dong,Dongdaemun-gu,107,-,145.0,95,121,11,23,1,1,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,300,1,411.0,254,318,38,71,8,21,1,1
Hwigyeong 2(i)-dong,Dongdaemun-gu,145,2,213.0,124,170,15,32,6,9,2,2
Cheongnyangni-dong,Dongdaemun-gu,689,1,904.0,616,760,47,94,26,48,1,2
Yongsin-dong,Dongdaemun-gu,746,1,954.0,674,825,62,107,10,20,1,2
Jegi-dong,Dongdaemun-gu,642,6,835.0,560,683,59,116,23,34,6,2
Jeonnong 1(il)-dong,Dongdaemun-gu,964,-,1270.0,849,1057,85,157,30,55,-,1
Jeonnong 2(i)-dong,Dongdaemun-gu,278,-,459.0,244,376,25,58,9,25,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,328,1,475.0,277,371,35,74,16,28,1,2
Dapsimni 2(i)-dong,Dongdaemun-gu,516,4,769.0,437,594,47,120,32,52,4,3
Jangan 1(il)-dong,Dongdaemun-gu,394,-,594.0,333,456,42,99,19,39,-,-
Jangan 2(i)-dong,Dongdaemun-gu,305,5,446.0,275,368,22,55,8,14,5,9
Imun 1(il)-dong,Dongdaemun-gu,462,-,730.0,395,576,53,120,14,34,-,-
Imun 2(i)-dong,Dongdaemun-gu,308,-,458.0,272,385,32,65,4,4,-,4
Myeonmok 2(i)-dong,Jungnang-gu,403,2,572.0,368,484,26,74,9,13,2,1
Myeonmok 4(sa)-dong,Jungnang-gu,571,1,902.0,544,839,25,61,2,2,1,-
Myeonmok 5(o)-dong,Jungnang-gu,184,1,268.0,176,253,7,13,1,2,1,-
Myeonmok 7(chil)-dong,Jungnang-gu,281,1,385.0,271,366,6,13,4,6,1,-
Sangbong 1(il)-dong,Jungnang-gu,531,1,1059.0,473,894,42,132,16,33,1,-
Sangbong 2(i)-dong,Jungnang-gu,286,2,370.0,264,329,19,34,3,4,2,3
Junghwa 1(il)-dong,Jungnang-gu,190,3,295.0,178,274,10,16,2,5,3,-
Junghwa 2(i)-dong,Jungnang-gu,612,2,838.0,574,761,33,66,5,9,2,2
Muk 1(il)-dong,Jungnang-gu,265,1,362.0,254,340,8,17,3,5,1,-
Muk 2(i)-dong,Jungnang-gu,234,2,333.0,222,306,10,20,2,7,2,-
Mangu 3(sam)-dong,Jungnang-gu,318,2,473.0,299,431,16,36,3,3,2,3
Sinnae 1(il)-dong,Jungnang-gu,187,3,317.0,157,238,24,59,6,7,3,13
Sinnae 2(i)-dong,Jungnang-gu,561,2,890.0,515,792,43,94,3,3,2,1
Myeonmokbon-dong,Jungnang-gu,579,1,831.0,541,756,34,66,4,8,1,1
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,426,2,587.0,407,557,10,15,9,14,2,1
Mangubon-dong,Jungnang-gu,481,2,649.0,445,568,30,71,6,9,2,1
Donam 1(il)-dong,Seongbuk-gu,203,-,290.0,160,200,29,73,14,17,-,-
Donam 2(i)-dong,Seongbuk-gu,152,-,212.0,126,164,16,33,10,15,-,-
Anam-dong,Seongbuk-gu,212,2,302.0,179,235,27,51,6,8,2,8
Bomun-dong,Seongbuk-gu,199,-,267.0,175,220,18,36,6,11,-,-
Jeongneung 1(il)-dong,Seongbuk-gu,169,-,267.0,139,199,22,56,8,12,-,-
Jeongneung 2(i)-dong,Seongbuk-gu,250,1,412.0,205,303,38,97,7,9,1,3
Jeongneung 3(sam)-dong,Seongbuk-gu,369,1,575.0,291,401,63,149,15,25,1,-
Jeongneung 4(sa)-dong,Seongbuk-gu,330,1,533.0,258,365,53,141,19,25,1,2
Gireum 1(il)-dong,Seongbuk-gu,275,1,394.0,225,287,42,91,8,14,1,2
Gireum 2(i)-dong,Seongbuk-gu,364,-,487.0,317,395,42,85,5,7,-,-
