Dong,복지_독거노인현황성별_Gu_Gu,복지_독거노인현황성별_Total_Total,복지_독거노인현황성별_Total_Male,복지_독거노인현황성별_Total_Female,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Total,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Male,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Female,복지_독거노인현황성별_ Low-income seniors_Total,복지_독거노인현황성별_ Low-income seniors_Male,복지_독거노인현황성별_ Low-income seniors_Female,복지_독거노인현황성별_ General_Total,복지_독거노인현황성별_ General_Male,복지_독거노인현황성별_ General_Female
Sajik-dong,종로구,341.0,100.0,241.0,40,9,31,10,7,3,291.0,84.0,207.0
Samcheong-dong,종로구,149.0,43.0,106.0,21,5,16,5,-,5,123.0,38.0,85.0
Buam-dong,종로구,293.0,102.0,191.0,29,8,21,4,1,3,260.0,93.0,167.0
Pyeongchang-dong,종로구,348.0,96.0,252.0,55,5,50,10,3,7,283.0,88.0,195.0
Muak-dong,종로구,246.0,83.0,163.0,42,12,30,5,1,4,199.0,70.0,129.0
Gyonam-dong,종로구,226.0,64.0,162.0,39,13,26,7,1,6,180.0,50.0,130.0
Gahoe-dong,종로구,182.0,48.0,134.0,21,6,15,5,2,3,156.0,40.0,116.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,종로구,953.0,548.0,405.0,224,144,80,28,15,13,701.0,389.0,312.0
Jongno 5·6(oryuk)-ga-dong,종로구,280.0,124.0,156.0,50,26,24,11,5,6,219.0,93.0,126.0
Ihwa-dong,종로구,317.0,82.0,235.0,45,12,33,21,6,15,251.0,64.0,187.0
Changsin 1(il)-dong,종로구,409.0,215.0,194.0,115,71,44,10,4,6,284.0,140.0,144.0
Changsin 2(i)-dong,종로구,370.0,134.0,236.0,73,27,46,12,6,6,285.0,101.0,184.0
Changsin 3(sam)-dong,종로구,174.0,57.0,117.0,33,13,20,8,3,5,133.0,41.0,92.0
Sungin 1(il)-dong,종로구,253.0,95.0,158.0,64,27,37,9,3,6,180.0,65.0,115.0
Sungin 2(i)-dong,종로구,455.0,232.0,223.0,110,66,44,9,5,4,336.0,161.0,175.0
Cheongunhyoja-dong,종로구,431.0,113.0,318.0,55,13,42,14,-,14,362.0,100.0,262.0
Hyehwa-dong,종로구,418.0,114.0,304.0,48,11,37,9,4,5,361.0,99.0,262.0
Sogong-dong,중구,45.0,24.0,21.0,2,1,1,1,-,1,42.0,23.0,19.0
Hoehyeon-dong,중구,431.0,202.0,229.0,123,78,45,34,12,22,274.0,112.0,162.0
Myeong-dong,중구,177.0,85.0,92.0,24,14,10,15,8,7,138.0,63.0,75.0
Pil-dong,중구,214.0,69.0,145.0,40,16,24,12,3,9,162.0,50.0,112.0
Jangchung-dong,중구,190.0,60.0,130.0,28,14,14,7,3,4,155.0,43.0,112.0
Gwanghui-dong ,중구,321.0,130.0,191.0,41,22,19,16,8,8,264.0,100.0,164.0
Euljiro-dong,중구,215.0,126.0,89.0,39,23,16,23,13,10,153.0,90.0,63.0
Sindang 5(o)-dong,중구,360.0,96.0,264.0,95,27,68,32,10,22,233.0,59.0,174.0
Hwanghak-dong,중구,472.0,177.0,295.0,115,48,67,45,16,29,312.0,113.0,199.0
Jungnim-dong,중구,431.0,155.0,276.0,109,49,60,50,17,33,272.0,89.0,183.0
Sindang-dong,중구,376.0,151.0,225.0,80,37,43,36,16,20,260.0,98.0,162.0
Dasan-dong,중구,475.0,139.0,336.0,76,25,51,66,22,44,333.0,92.0,241.0
Yaksu-dong,중구,682.0,181.0,501.0,151,35,116,144,49,95,387.0,97.0,290.0
Cheonggu-dong,중구,528.0,112.0,416.0,130,25,105,64,29,35,334.0,58.0,276.0
Donghwa-dong,중구,242.0,52.0,190.0,34,6,28,17,5,12,191.0,41.0,150.0
Huam-dong,용산구,753.0,233.0,520.0,167,59,108,52,17,35,534.0,157.0,377.0
Yongsan 2-ga-dong,용산구,494.0,126.0,368.0,81,17,64,35,7,28,378.0,102.0,276.0
Namyeong-dong,용산구,608.0,352.0,256.0,269,201,68,39,24,15,300.0,127.0,173.0
Wonhyoro 2(i)-dong,용산구,376.0,87.0,289.0,64,14,50,26,2,24,286.0,71.0,215.0
Hyochang-dong,용산구,268.0,68.0,200.0,38,14,24,15,4,11,215.0,50.0,165.0
Yongmun-dong,용산구,312.0,68.0,244.0,59,10,49,9,1,8,244.0,57.0,187.0
Ichon 1(il)-dong,용산구,598.0,125.0,473.0,8,1,7,3,2,1,587.0,122.0,465.0
Ichon 2(i)-dong,용산구,373.0,82.0,291.0,27,7,20,22,-,22,324.0,75.0,249.0
Itaewon 1(il)-dong,용산구,336.0,88.0,248.0,63,11,52,23,6,17,250.0,71.0,179.0
Itaewon 2(i)-dong,용산구,439.0,90.0,349.0,80,12,68,34,2,32,325.0,76.0,249.0
Seobinggo-dong,용산구,447.0,110.0,337.0,36,6,30,33,8,25,378.0,96.0,282.0
Bogwang-dong,용산구,651.0,173.0,478.0,127,27,100,55,11,44,469.0,135.0,334.0
Cheongpa-dong,용산구,734.0,225.0,509.0,148,50,98,51,9,42,535.0,166.0,369.0
Wonhyoro 1(il)-dong,용산구,334.0,103.0,231.0,64,21,43,14,4,10,256.0,78.0,178.0
Hangangno-dong,용산구,702.0,251.0,451.0,114,47,67,36,15,21,552.0,189.0,363.0
Hannam-dong,용산구,762.0,222.0,540.0,145,42,103,48,14,34,569.0,166.0,403.0
Wangsimni 2(i)-dong,성동구,394.0,102.0,292.0,57,12,45,32,8,24,305.0,82.0,223.0
Majang-dong,성동구,605.0,196.0,409.0,117,31,86,64,24,40,424.0,141.0,283.0
Sageun-dong,성동구,250.0,72.0,178.0,25,8,17,9,3,6,216.0,61.0,155.0
Haengdang 1(il)-dong,성동구,496.0,151.0,345.0,71,21,50,22,9,13,403.0,121.0,282.0
Haengdang 2(i)-dong,성동구,456.0,92.0,364.0,157,55,102,28,7,21,271.0,30.0,241.0
Eungbong-dong,성동구,336.0,81.0,255.0,17,4,13,10,-,10,309.0,77.0,232.0
Geumho 1(il)-ga-dong,성동구,416.0,105.0,311.0,117,21,96,45,13,32,254.0,71.0,183.0
Geumho 4(sa)-ga-dong,성동구,378.0,102.0,276.0,66,17,49,24,4,20,288.0,81.0,207.0
Seongsu 1(il)-ga1(il)-dong,성동구,371.0,118.0,253.0,52,21,31,29,6,23,290.0,91.0,199.0
Seongsu 1(il)-ga2(i)-dong,성동구,403.0,131.0,272.0,43,13,30,21,9,12,339.0,109.0,230.0
Seongsu 2(i)-ga1(il)-dong,성동구,557.0,184.0,373.0,103,37,66,8,3,5,446.0,144.0,302.0
Seongsu 2(i)-ga 3(sam)-dong,성동구,267.0,107.0,160.0,35,16,19,14,5,9,218.0,86.0,132.0
Songjeong-dong,성동구,345.0,108.0,237.0,54,16,38,23,8,15,268.0,84.0,184.0
Yongdap-dong,성동구,523.0,176.0,347.0,121,39,82,53,21,32,349.0,116.0,233.0
WangsimniDoseon-dong,성동구,451.0,145.0,306.0,130,37,93,48,15,33,273.0,93.0,180.0
Geumho 2.3(i.sam)-ga-dong,성동구,678.0,158.0,520.0,90,19,71,24,10,14,564.0,129.0,435.0
Oksu-dong,성동구,529.0,149.0,380.0,39,13,26,43,15,28,447.0,121.0,326.0
Hwayang-dong,광진구,454.0,132.0,322.0,88,22,66,11,1,10,355.0,109.0,246.0
Gunja-dong,광진구,496.0,151.0,345.0,124,29,95,34,11,23,338.0,111.0,227.0
Junggok 1(il)-dong,광진구,392.0,127.0,265.0,68,8,60,18,5,13,306.0,114.0,192.0
Junggok 2(i)-dong,광진구,437.0,135.0,302.0,71,28,43,40,21,19,326.0,86.0,240.0
Junggok 3(sam)-dong,광진구,440.0,140.0,300.0,114,29,85,47,10,37,279.0,101.0,178.0
Junggok 4(sa)-dong,광진구,690.0,196.0,494.0,182,52,130,33,9,24,475.0,135.0,340.0
Neung-dong,광진구,239.0,72.0,167.0,33,5,28,20,4,16,186.0,63.0,123.0
Guui 1(il)-dong,광진구,525.0,163.0,362.0,77,28,49,37,5,32,411.0,130.0,281.0
Guui 2(i)-dong,광진구,604.0,190.0,414.0,127,42,85,88,27,61,389.0,121.0,268.0
Guui 3(sam)-dong,광진구,481.0,146.0,335.0,32,12,20,22,9,13,427.0,125.0,302.0
Gwangjang-dong,광진구,434.0,116.0,318.0,16,5,11,11,5,6,407.0,106.0,301.0
Jayang 1(il)-dong,광진구,527.0,217.0,310.0,111,26,85,49,10,39,367.0,181.0,186.0
Jayang 2(i)-dong,광진구,507.0,146.0,361.0,71,16,55,37,11,26,399.0,119.0,280.0
Jayang 3(sam)-dong,광진구,506.0,132.0,374.0,56,17,39,28,12,16,422.0,103.0,319.0
Jayang 4(sa)-dong,광진구,774.0,267.0,507.0,151,42,109,44,16,28,579.0,209.0,370.0
Hoegi-dong,동대문구,193.0,42.0,151.0,52,11,41,8,1,7,133.0,30.0,103.0
Hwigyeong 1(il)-dong,동대문구,467.0,154.0,313.0,89,20,69,12,3,9,366.0,131.0,235.0
Hwigyeong 2(i)-dong,동대문구,495.0,141.0,354.0,61,18,43,16,7,9,418.0,116.0,302.0
Cheongnyangni-dong,동대문구,1197.0,397.0,800.0,311,109,202,60,24,36,826.0,264.0,562.0
Yongsin-dong,동대문구,685.0,304.0,381.0,355,170,185,48,25,23,282.0,109.0,173.0
Jegi-dong,동대문구,1270.0,466.0,804.0,242,93,149,53,23,30,975.0,350.0,625.0
Jeonnong 1(il)-dong,동대문구,979.0,316.0,663.0,357,134,223,81,27,54,541.0,155.0,386.0
Jeonnong 2(i)-dong,동대문구,410.0,106.0,304.0,64,13,51,21,9,12,325.0,84.0,241.0
Dapsimni 1(il)-dong,동대문구,612.0,190.0,422.0,108,30,78,16,4,12,488.0,156.0,332.0
Dapsimni 2(i)-dong,동대문구,821.0,226.0,595.0,171,38,133,49,11,38,601.0,177.0,424.0
Jangan 1(il)-dong,동대문구,788.0,266.0,522.0,130,45,85,38,9,29,620.0,212.0,408.0
Jangan 2(i)-dong,동대문구,693.0,208.0,485.0,104,27,77,30,16,14,559.0,165.0,394.0
Imun 1(il)-dong,동대문구,1002.0,294.0,708.0,127,31,96,24,8,16,851.0,255.0,596.0
Imun 2(i)-dong,동대문구,519.0,148.0,371.0,93,18,75,193,56,137,233.0,74.0,159.0
Myeonmok 2(i)-dong,중랑구,780.0,216.0,564.0,152,101,51,51,38,13,577.0,77.0,500.0
Myeonmok 4(sa)-dong,중랑구,683.0,205.0,478.0,162,45,117,87,25,62,434.0,135.0,299.0
Myeonmok 5(o)-dong,중랑구,390.0,134.0,256.0,72,20,52,36,16,20,282.0,98.0,184.0
Myeonmok 7(chil)-dong,중랑구,641.0,178.0,463.0,134,32,102,58,17,41,449.0,129.0,320.0
Sangbong 1(il)-dong,중랑구,526.0,136.0,390.0,144,30,114,44,11,33,338.0,95.0,243.0
Sangbong 2(i)-dong,중랑구,629.0,250.0,379.0,139,53,86,51,22,29,439.0,175.0,264.0
Junghwa 1(il)-dong,중랑구,461.0,144.0,317.0,79,24,55,43,13,30,339.0,107.0,232.0
Junghwa 2(i)-dong,중랑구,1161.0,392.0,769.0,245,61,184,99,35,64,817.0,296.0,521.0
Muk 1(il)-dong,중랑구,671.0,181.0,490.0,107,24,83,45,13,32,519.0,144.0,375.0
Muk 2(i)-dong,중랑구,581.0,194.0,387.0,101,26,75,47,18,29,433.0,150.0,283.0
Mangu 3(sam)-dong,중랑구,552.0,193.0,359.0,147,37,110,63,15,48,342.0,141.0,201.0
Sinnae 1(il)-dong,중랑구,481.0,127.0,354.0,75,16,59,47,12,35,359.0,99.0,260.0
Sinnae 2(i)-dong,중랑구,595.0,148.0,447.0,169,49,120,45,4,41,381.0,95.0,286.0
Myeonmokbon-dong,중랑구,1031.0,318.0,713.0,212,55,157,110,44,66,709.0,219.0,490.0
Myeonmok 3.8(sam.pal)-dong,중랑구,870.0,251.0,619.0,192,130,62,56,40,16,622.0,81.0,541.0
Mangubon-dong,중랑구,997.0,317.0,680.0,267,75,192,140,46,94,590.0,196.0,394.0
Donam 1(il)-dong,성북구,418.0,103.0,315.0,81,17,64,12,2,10,325.0,84.0,241.0
Donam 2(i)-dong,성북구,385.0,91.0,294.0,69,23,46,9,3,6,307.0,65.0,242.0
Anam-dong,성북구,461.0,119.0,342.0,81,26,55,11,1,10,369.0,92.0,277.0
Bomun-dong,성북구,470.0,140.0,330.0,99,35,64,20,5,15,351.0,100.0,251.0
Jeongneung 1(il)-dong,성북구,461.0,116.0,345.0,81,17,64,12,1,11,368.0,98.0,270.0
Jeongneung 2(i)-dong,성북구,631.0,185.0,446.0,110,33,77,13,2,11,508.0,150.0,358.0
Jeongneung 3(sam)-dong,성북구,760.0,237.0,523.0,152,43,109,31,11,20,577.0,183.0,394.0
Jeongneung 4(sa)-dong,성북구,740.0,211.0,529.0,98,23,75,26,5,21,616.0,183.0,433.0
Gireum 1(il)-dong,성북구,513.0,119.0,394.0,97,21,76,31,3,28,385.0,95.0,290.0
Gireum 2(i)-dong,성북구,745.0,203.0,542.0,119,39,80,17,8,9,609.0,156.0,453.0
Wolgok 1(il)-dong,성북구,722.0,200.0,522.0,150,31,119,33,7,26,539.0,162.0,377.0
Wolgok 2(i)-dong,성북구,535.0,150.0,385.0,124,28,96,26,5,21,385.0,117.0,268.0
Jangwi 1(il)-dong,성북구,667.0,200.0,467.0,131,40,91,42,12,30,494.0,148.0,346.0
Jangwi 2(i)-dong,성북구,666.0,207.0,459.0,158,38,120,28,6,22,480.0,163.0,317.0
Jangwi 3(sam)-dong,성북구,580.0,198.0,382.0,104,25,79,23,5,18,453.0,168.0,285.0
Seongbuk-dong,성북구,690.0,200.0,490.0,85,27,58,13,1,12,592.0,172.0,420.0
Samseon-dong,성북구,841.0,229.0,612.0,120,42,78,31,9,22,690.0,178.0,512.0
Dongseon-dong,성북구,525.0,145.0,380.0,72,19,53,22,8,14,431.0,118.0,313.0
Jongam-dong,성북구,1159.0,320.0,839.0,206,41,165,35,9,26,918.0,270.0,648.0
Seokgwan-dong,성북구,1137.0,339.0,798.0,203,64,139,42,13,29,892.0,262.0,630.0
Beon 1(il)-dong,강북구,716.0,243.0,473.0,152,43,109,50,10,40,514.0,190.0,324.0
Beon 2(i)-dong,강북구,698.0,180.0,518.0,128,28,100,117,28,89,453.0,124.0,329.0
Beon 3(sam)-dong,강북구,717.0,183.0,534.0,246,66,180,143,23,120,328.0,94.0,234.0
Suyu 1(il)-dong,강북구,902.0,306.0,596.0,167,44,123,50,15,35,685.0,247.0,438.0
Suyu 2(i)-dong,강북구,732.0,213.0,519.0,139,41,98,49,8,41,544.0,164.0,380.0
Suyu 3(sam)-dong,강북구,908.0,314.0,594.0,158,49,109,70,17,53,680.0,248.0,432.0
Samyang-dong,강북구,1198.0,384.0,814.0,267,81,186,185,19,166,746.0,284.0,462.0
Mia-dong,강북구,904.0,293.0,611.0,145,43,102,36,9,27,723.0,241.0,482.0
Songjung-dong,강북구,1125.0,372.0,753.0,187,45,142,57,21,36,881.0,306.0,575.0
Songcheon-dong,강북구,1315.0,427.0,888.0,257,70,187,131,29,102,927.0,328.0,599.0
Samgaksan-dong,강북구,668.0,116.0,552.0,212,40,172,68,9,59,388.0,67.0,321.0
Ui-dong,강북구,833.0,260.0,573.0,127,37,90,46,10,36,660.0,213.0,447.0
Insu-dong,강북구,1265.0,394.0,871.0,251,60,191,103,22,81,911.0,312.0,599.0
Ssangmun 1(il)-dong,도봉구,681.0,205.0,476.0,100,24,76,45,10,35,536.0,171.0,365.0
Ssangmun 2(i)-dong,도봉구,629.0,175.0,454.0,77,20,57,54,15,39,498.0,140.0,358.0
Ssangmun 3(sam)-dong,도봉구,496.0,139.0,357.0,80,23,57,21,5,16,395.0,111.0,284.0
Ssangmun 4(sa)-dong,도봉구,372.0,78.0,294.0,25,3,22,7,2,5,340.0,73.0,267.0
Banghak 1(il)-dong,도봉구,771.0,268.0,503.0,120,41,79,67,19,48,584.0,208.0,376.0
Banghak 2(i)-dong,도봉구,782.0,240.0,542.0,171,36,135,93,24,69,518.0,180.0,338.0
Banghak 3(sam)-dong,도봉구,638.0,137.0,501.0,27,2,25,17,5,12,594.0,130.0,464.0
Chang 1(il)-dong,도봉구,699.0,180.0,519.0,52,12,40,31,9,22,616.0,159.0,457.0
Chang 2(i)-dong,도봉구,624.0,176.0,448.0,70,14,56,39,7,32,515.0,155.0,360.0
