Dong,복지_독거노인현황연령별_Gu_Gu,복지_독거노인현황연령별_Total_Total,복지_독거노인현황연령별_Total_65~79 years old,복지_독거노인현황연령별_Total_80 years old and over,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_Total,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_65~79 years old,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_80 years old and over,복지_독거노인현황연령별_An old person of small income an old person_Total,복지_독거노인현황연령별_An old person of small income an old person_65~79 years old,복지_독거노인현황연령별_An old person of small income an old person_80 years old and over,복지_독거노인현황연령별_The public_Total,복지_독거노인현황연령별_The public_65~79 years old,복지_독거노인현황연령별_The public_80 years old and over
Sajik-dong,Jongno-gu,355.0,270.0,85.0,36,23,13,14,13,1,305.0,234.0,71.0
Samcheong-dong,Jongno-gu,156.0,113.0,43.0,17,13,4,5,3,2,134.0,97.0,37.0
Buam-dong,Jongno-gu,348.0,266.0,82.0,30,23,7,9,5,4,309.0,238.0,71.0
Pyeongchang-dong,Jongno-gu,606.0,234.0,372.0,28,22,6,16,9,7,562.0,203.0,359.0
Muak-dong,Jongno-gu,211.0,156.0,55.0,37,26,11,2,1,1,172.0,129.0,43.0
Gyonam-dong,Jongno-gu,530.0,416.0,114.0,47,36,11,16,10,6,467.0,370.0,97.0
Gahoe-dong,Jongno-gu,201.0,150.0,51.0,18,10,8,4,1,3,179.0,139.0,40.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,1095.0,905.0,190.0,202,170,32,14,12,2,879.0,723.0,156.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,388.0,317.0,71.0,57,46,11,19,10,9,312.0,261.0,51.0
Ihwa-dong,Jongno-gu,296.0,229.0,67.0,48,37,11,27,15,12,221.0,177.0,44.0
Changsin 1(il)-dong,Jongno-gu,403.0,345.0,58.0,117,103,14,13,10,3,273.0,232.0,41.0
Changsin 2(i)-dong,Jongno-gu,409.0,341.0,68.0,93,72,21,18,10,8,298.0,259.0,39.0
Changsin 3(sam)-dong,Jongno-gu,180.0,142.0,38.0,28,23,5,5,3,2,147.0,116.0,31.0
Sungin 1(il)-dong,Jongno-gu,322.0,248.0,74.0,52,37,15,10,9,1,260.0,202.0,58.0
Sungin 2(i)-dong,Jongno-gu,542.0,484.0,58.0,132,108,24,25,20,5,385.0,356.0,29.0
Cheongunhyoja-dong,Jongno-gu,437.0,306.0,131.0,50,32,18,24,12,12,363.0,262.0,101.0
Hyehwa-dong,Jongno-gu,565.0,424.0,141.0,47,35,12,16,12,4,502.0,377.0,125.0
Sogong-dong,Jung-gu,44.0,38.0,6.0,4,3,1,1,-,1,39.0,35.0,4.0
Hoehyeon-dong,Jung-gu,436.0,360.0,76.0,129,92,37,15,8,7,292.0,260.0,32.0
Myeong-dong,Jung-gu,148.0,115.0,33.0,23,15,8,3,2,1,122.0,98.0,24.0
Pil-dong,Jung-gu,226.0,161.0,65.0,27,17,10,3,2,1,196.0,142.0,54.0
Jangchung-dong,Jung-gu,185.0,140.0,45.0,26,13,13,5,2,3,154.0,125.0,29.0
Gwanghui-dong ,Jung-gu,333.0,276.0,57.0,41,29,12,6,3,3,286.0,244.0,42.0
Euljiro-dong,Jung-gu,238.0,190.0,48.0,34,24,10,8,5,3,196.0,161.0,35.0
Sindang 5(o)-dong,Jung-gu,414.0,305.0,109.0,83,62,21,9,6,3,322.0,237.0,85.0
Hwanghak-dong,Jung-gu,505.0,402.0,103.0,104,78,26,21,12,9,380.0,312.0,68.0
Jungnim-dong,Jung-gu,429.0,321.0,108.0,105,82,23,32,21,11,292.0,218.0,74.0
Sindang-dong,Jung-gu,403.0,331.0,72.0,70,55,15,16,10,6,317.0,266.0,51.0
