Dong,복지_부양비및노령화지수_Period,복지_부양비및노령화지수_Autonomous Gu,복지_부양비및노령화지수_ Youth dependency ratio,복지_부양비및노령화지수_ Dependency ratio(Aged),복지_부양비및노령화지수_ Aging index
Sajik-dong,2013.0,Jongno-gu,15.9,21.5,135.1
Samcheong-dong,2013.0,Jongno-gu,13.0,26.5,203.8
Buam-dong,2013.0,Jongno-gu,15.1,19.9,131.6
Pyeongchang-dong,2013.0,Jongno-gu,15.8,19.0,120.4
Muak-dong,2013.0,Jongno-gu,21.3,19.3,90.5
Gyonam-dong,2013.0,Jongno-gu,14.1,20.7,147.0
Gahoe-dong,2013.0,Jongno-gu,14.3,22.9,159.6
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,7.8,25.8,330.8
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,9.4,21.7,230.9
Ihwa-dong,2013.0,Jongno-gu,11.5,15.6,135.7
Changsin 1(il)-dong,2013.0,Jongno-gu,9.4,18.3,194.2
Changsin 2(i)-dong,2013.0,Jongno-gu,10.9,16.3,150.0
Changsin 3(sam)-dong,2013.0,Jongno-gu,16.4,16.2,99.1
Sungin 1(il)-dong,2013.0,Jongno-gu,13.9,16.5,119.1
Sungin 2(i)-dong,2013.0,Jongno-gu,9.8,18.4,188.6
Cheongunhyoja-dong,2013.0,Jongno-gu,19.1,19.8,103.6
Hyehwa-dong,2013.0,Jongno-gu,11.6,15.8,136.2
Sogong-dong,2013.0,Jung-gu,14.6,12.7,87.1
Hoehyeon-dong,2013.0,Jung-gu,8.6,25.7,299.0
Myeong-dong,2013.0,Jung-gu,8.4,20.5,243.5
Pil-dong,2013.0,Jung-gu,10.1,19.7,194.5
Jangchung-dong,2013.0,Jung-gu,10.2,15.2,149.0
Gwanghui-dong ,2013.0,Jung-gu,8.1,20.2,250.5
Euljiro-dong,2013.0,Jung-gu,6.7,27.9,414.9
Sindang 5(o)-dong,2013.0,Jung-gu,15.1,17.3,114.6
Hwanghak-dong,2013.0,Jung-gu,12.3,15.7,127.6
Jungnim-dong,2013.0,Jung-gu,14.1,20.9,148.0
Sindang-dong,2013.0,Jung-gu,9.6,16.4,171.6
Dasan-dong,2013.0,Jung-gu,12.8,17.2,134.3
Yaksu-dong,2013.0,Jung-gu,16.2,20.4,125.7
Cheonggu-dong,2013.0,Jung-gu,16.3,18.8,114.9
Donghwa-dong,2013.0,Jung-gu,17.3,15.8,91.5
Huam-dong,2013.0,Yongsan-gu,15.6,18.0,114.8
Yongsan 2-ga-dong,2013.0,Yongsan-gu,13.1,18.0,137.5
Namyeong-dong,2013.0,Yongsan-gu,7.5,19.8,264.4
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,19.2,17.4,90.5
Hyochang-dong,2013.0,Yongsan-gu,17.6,17.9,101.7
Yongmun-dong,2013.0,Yongsan-gu,18.2,17.4,95.7
Ichon 1(il)-dong,2013.0,Yongsan-gu,27.7,18.2,65.7
Ichon 2(i)-dong,2013.0,Yongsan-gu,16.3,21.6,132.2
Itaewon 1(il)-dong,2013.0,Yongsan-gu,11.0,20.0,182.1
Itaewon 2(i)-dong,2013.0,Yongsan-gu,13.4,20.9,155.9
Seobinggo-dong,2013.0,Yongsan-gu,20.0,19.1,95.4
Bogwang-dong,2013.0,Yongsan-gu,11.7,17.7,151.6
Cheongpa-dong,2013.0,Yongsan-gu,11.9,15.9,132.8
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,17.0,15.4,90.8
Hangangno-dong,2013.0,Yongsan-gu,13.1,20.9,159.6
Hannam-dong,2013.0,Yongsan-gu,13.3,16.5,124.3
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,16.2,15.1,92.8
Majang-dong,2013.0,Seongdong-gu,15.6,15.4,98.3
Sageun-dong,2013.0,Seongdong-gu,8.3,13.5,162.8
Haengdang 1(il)-dong,2013.0,Seongdong-gu,14.7,16.4,111.5
