Dong,복지_장애인현황연령별_Autonomous Gu_Autonomous Gu_Autonomous Gu,복지_장애인현황연령별_By age_total_total,복지_장애인현황연령별_By age_total_Male,복지_장애인현황연령별_By age_total_Female,복지_장애인현황연령별_By age_ _total,복지_장애인현황연령별_By age_ _Male,복지_장애인현황연령별_By age_ _Female,복지_장애인현황연령별_By age_ 10~19 Years old_total,복지_장애인현황연령별_By age_ 10~19 Years old_Male,복지_장애인현황연령별_By age_ 10~19 Years old_Female,복지_장애인현황연령별_By age_ 20~29 Years old_total,복지_장애인현황연령별_By age_ 20~29 Years old_Male,복지_장애인현황연령별_By age_ 20~29 Years old_Female,복지_장애인현황연령별_By age_ 30~39 Years old_total,복지_장애인현황연령별_By age_ 30~39 Years old_Male,복지_장애인현황연령별_By age_ 30~39 Years old_Female,복지_장애인현황연령별_By age_ 40~49 Years old_total,복지_장애인현황연령별_By age_ 40~49 Years old_Male,복지_장애인현황연령별_By age_ 40~49 Years old_Female,복지_장애인현황연령별_By age_ 50~59 Years old_total,복지_장애인현황연령별_By age_ 50~59 Years old_Male,복지_장애인현황연령별_By age_ 50~59 Years old_Female,복지_장애인현황연령별_By age_ 60~69 Years old_total,복지_장애인현황연령별_By age_ 60~69 Years old_Male,복지_장애인현황연령별_By age_ 60~69 Years old_Female,복지_장애인현황연령별_By age_ 70~79 Years old_total,복지_장애인현황연령별_By age_ 70~79 Years old_Male,복지_장애인현황연령별_By age_ 70~79 Years old_Female,복지_장애인현황연령별_By age_ 80 Years old and over_total,복지_장애인현황연령별_By age_ 80 Years old and over_Male,복지_장애인현황연령별_By age_ 80 Years old and over_Female
Sajik-dong,Jongno-gu,347.0,200,147,9,6,3,18,11,7,17,13,4,17,12,5,37,25,12,60,40,20,55,37,18,97,42,55,37,14,23
Samcheong-dong,Jongno-gu,135.0,77,58,-,-,-,7,5,2,2,2,-,12,7,5,19,14,5,23,13,10,24,15,9,28,12,16,20,9,11
Buam-dong,Jongno-gu,370.0,208,162,6,4,2,8,5,3,20,15,5,17,12,5,51,32,19,47,29,18,73,45,28,96,43,53,52,23,29
Pyeongchang-dong,Jongno-gu,608.0,315,293,2,2,-,11,7,4,29,17,12,32,21,11,78,55,23,117,70,47,100,53,47,149,68,81,90,22,68
Muak-dong,Jongno-gu,337.0,203,134,5,3,2,14,10,4,13,7,6,16,9,7,33,23,10,68,47,21,62,38,24,93,52,41,33,14,19
Gyonam-dong,Jongno-gu,252.0,138,114,-,-,-,3,2,1,9,6,3,16,12,4,35,22,13,50,38,12,68,30,38,55,22,33,16,6,10
Gahoe-dong,Jongno-gu,197.0,111,86,-,-,-,12,8,4,8,6,2,9,7,2,22,18,4,29,17,12,42,24,18,52,20,32,23,11,12
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,424.0,287,137,-,-,-,6,4,2,10,6,4,32,28,4,49,44,5,105,88,17,100,61,39,90,42,48,32,14,18
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,309.0,195,114,-,-,-,7,3,4,15,10,5,24,18,6,35,28,7,60,44,16,78,49,29,59,31,28,31,12,19
Ihwa-dong,Jongno-gu,331.0,168,163,2,1,1,12,9,3,10,5,5,24,12,12,45,29,16,71,46,25,58,28,30,77,29,48,32,9,23
Changsin 1(il)-dong,Jongno-gu,331.0,208,123,1,1,-,5,3,2,5,2,3,11,8,3,44,33,11,80,62,18,98,59,39,59,27,32,28,13,15
Changsin 2(i)-dong,Jongno-gu,566.0,320,246,4,2,2,12,7,5,16,12,4,31,24,7,83,61,22,124,86,38,128,70,58,131,53,78,37,5,32
