Dong,복지_장애인현황장애유형별_Autonomous Gu_Autonomous Gu_Autonomous Gu,복지_장애인현황장애유형별_By Type of the disabled_total_total,복지_장애인현황장애유형별_By Type of the disabled_total_Man,복지_장애인현황장애유형별_By Type of the disabled_total_Female,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_total,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Man,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Female,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Female,복지_장애인현황장애유형별_By Type of the disabled_Autism_total,복지_장애인현황장애유형별_By Type of the disabled_Autism_Man,복지_장애인현황장애유형별_By Type of the disabled_Autism_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Female,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_total,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Man,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Female,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_total,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Female,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_total,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Female,"복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_total","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Man","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Female",복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_total,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Female
Sajik-dong,Jongno-gu,347.0,200,147,177,99,78,46,30,16,40,21,19,27,16,11,4,3,1,18,12,6,4,4,-,8,4,4,10,5,5,2,1,1,3,1,2,4,2,2,-,-,-,4,2,2,-,-,-
Samcheong-dong,Jongno-gu,135.0,77,58,72,38,34,20,12,8,10,7,3,11,6,5,-,-,-,7,5,2,1,1,-,6,2,4,6,5,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Buam-dong,Jongno-gu,370.0,208,162,168,90,78,43,23,20,50,28,22,37,24,13,2,2,-,18,12,6,5,4,1,17,8,9,17,10,7,2,2,-,1,-,1,4,2,2,1,-,1,5,3,2,-,-,-
Pyeongchang-dong,Jongno-gu,608.0,315,293,276,134,142,83,47,36,67,42,25,70,27,43,6,3,3,31,19,12,6,5,1,26,8,18,26,20,6,1,1,-,4,3,1,7,5,2,-,-,-,5,1,4,-,-,-
Muak-dong,Jongno-gu,337.0,203,134,158,86,72,28,20,8,35,23,12,45,28,17,6,5,1,20,11,9,7,5,2,16,11,5,12,8,4,2,-,2,3,3,-,1,-,1,-,-,-,3,2,1,1,1,-
Gyonam-dong,Jongno-gu,252.0,138,114,130,65,65,28,14,14,25,21,4,34,16,18,3,2,1,9,6,3,3,2,1,8,5,3,7,4,3,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,2,2,-
Gahoe-dong,Jongno-gu,197.0,111,86,94,49,45,31,17,14,16,10,6,16,8,8,1,1,-,14,6,8,3,3,-,10,9,1,10,7,3,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,424.0,287,137,207,135,72,50,35,15,50,33,17,40,28,12,4,4,-,27,20,7,2,2,-,17,11,6,15,8,7,2,2,-,2,2,-,4,4,-,-,-,-,3,2,1,1,1,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,309.0,195,114,173,103,70,24,18,6,40,28,12,16,12,4,2,2,-,22,15,7,4,3,1,13,9,4,9,3,6,-,-,-,1,-,1,2,1,1,-,-,-,2,1,1,1,-,1
Ihwa-dong,Jongno-gu,331.0,168,163,176,84,92,37,21,16,43,21,22,29,13,16,1,1,-,20,12,8,2,2,-,8,4,4,10,7,3,2,-,2,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,331.0,208,123,189,111,78,32,23,9,35,27,8,31,20,11,3,2,1,10,6,4,2,2,-,14,8,6,12,7,5,-,-,-,1,-,1,1,1,-,-,-,-,1,1,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,566.0,320,246,325,165,160,52,35,17,69,47,22,41,23,18,5,3,2,31,21,10,1,1,-,24,16,8,9,4,5,-,-,-,1,1,-,-,-,-,1,-,1,2,1,1,5,3,2
Changsin 3(sam)-dong,Jongno-gu,373.0,221,152,215,122,93,39,23,16,36,25,11,27,15,12,6,5,1,17,11,6,5,5,-,11,5,6,9,6,3,-,-,-,2,1,1,2,2,-,-,-,-,4,1,3,-,-,-
