Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Sajik-dong,Jongno-gu,3466.0,45046.0,34,92,355.0,1407.0,1078.0,7546.0,1293.0,18758.0,706.0,17243.0
Samcheong-dong,Jongno-gu,650.0,3980.0,11,28,90.0,250.0,209.0,731.0,220.0,1122.0,120.0,1849.0
Buam-dong,Jongno-gu,483.0,3590.0,6,16,42.0,148.0,142.0,605.0,198.0,1184.0,95.0,1637.0
Pyeongchang-dong,Jongno-gu,662.0,2635.0,9,14,51.0,147.0,175.0,602.0,258.0,992.0,169.0,880.0
Muak-dong,Jongno-gu,558.0,1388.0,-,-,47.0,63.0,130.0,287.0,222.0,456.0,159.0,582.0
Gyonam-dong,Jongno-gu,315.0,3493.0,5,11,19.0,35.0,74.0,362.0,119.0,1977.0,98.0,1108.0
Gahoe-dong,Jongno-gu,607.0,8218.0,9,28,79.0,199.0,168.0,1139.0,229.0,3285.0,122.0,3567.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,97700.0,170,434,1414.0,4082.0,4649.0,21002.0,5987.0,47226.0,3493.0,24956.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,24602.0,114,205,1133.0,2348.0,2471.0,6927.0,2490.0,9414.0,1527.0,5708.0
Ihwa-dong,Jongno-gu,1139.0,13777.0,18,47,125.0,602.0,358.0,2311.0,429.0,2574.0,209.0,8243.0
Changsin 1(il)-dong,Jongno-gu,2250.0,6408.0,50,122,250.0,607.0,597.0,1549.0,855.0,2359.0,498.0,1771.0
Changsin 2(i)-dong,Jongno-gu,858.0,2331.0,12,24,52.0,126.0,287.0,852.0,347.0,922.0,160.0,407.0
Changsin 3(sam)-dong,Jongno-gu,269.0,794.0,X,5,24.0,66.0,65.0,182.0,106.0,382.0,72.0,159.0
Sungin 1(il)-dong,Jongno-gu,531.0,1659.0,7,15,62.0,177.0,174.0,514.0,194.0,670.0,94.0,283.0
Sungin 2(i)-dong,Jongno-gu,1683.0,5682.0,35,71,150.0,379.0,440.0,1524.0,624.0,2441.0,434.0,1267.0
Cheongunhyoja-dong,Jongno-gu,795.0,5625.0,10,21,91.0,172.0,193.0,821.0,305.0,2734.0,196.0,1877.0
Hyehwa-dong,Jongno-gu,1612.0,8753.0,41,106,238.0,810.0,522.0,1962.0,529.0,3234.0,282.0,2641.0
Sogong-dong,Jung-gu,3823.0,61868.0,43,166,330.0,1756.0,1093.0,10649.0,1383.0,30624.0,974.0,18673.0
Hoehyeon-dong,Jung-gu,9869.0,47252.0,182,379,1255.0,2928.0,3067.0,11529.0,3439.0,17655.0,1926.0,14761.0
Myeong-dong,Jung-gu,6855.0,103320.0,81,327,636.0,5059.0,2208.0,17686.0,2474.0,58533.0,1456.0,21715.0
Pil-dong,Jung-gu,3196.0,21901.0,50,198,313.0,1299.0,1162.0,4550.0,1194.0,7991.0,477.0,7863.0
Jangchung-dong,Jung-gu,844.0,9297.0,7,16,84.0,436.0,246.0,3050.0,314.0,3888.0,193.0,1907.0
Gwanghui-dong ,Jung-gu,10372.0,36642.0,279,534,1445.0,3341.0,3118.0,8991.0,3732.0,14335.0,1798.0,9441.0
Euljiro-dong,Jung-gu,9814.0,27740.0,88,219,695.0,1504.0,2862.0,8304.0,3982.0,11744.0,2187.0,5969.0
Sindang 5(o)-dong,Jung-gu,1156.0,4043.0,24,49,159.0,448.0,311.0,933.0,439.0,1581.0,223.0,1032.0
Hwanghak-dong,Jung-gu,2055.0,5702.0,24,46,192.0,429.0,525.0,1934.0,837.0,2529.0,477.0,764.0
Jungnim-dong,Jung-gu,1045.0,8292.0,19,44,107.0,637.0,306.0,2507.0,396.0,3148.0,217.0,1956.0
Sindang-dong,Jung-gu,12219.0,26112.0,374,722,3256.0,6507.0,3421.0,7551.0,4044.0,8878.0,1124.0,2454.0
Dasan-dong,Jung-gu,1119.0,7855.0,11,28,130.0,473.0,360.0,2024.0,407.0,2397.0,211.0,2933.0
Yaksu-dong,Jung-gu,834.0,3478.0,9,19,98.0,352.0,260.0,899.0,268.0,1104.0,199.0,1104.0
Cheonggu-dong,Jung-gu,702.0,3274.0,9,19,93.0,286.0,231.0,733.0,213.0,1613.0,156.0,623.0
Donghwa-dong,Jung-gu,943.0,3294.0,18,31,132.0,424.0,367.0,1222.0,287.0,1175.0,139.0,442.0
Huam-dong,Yongsan-gu,819.0,5239.0,11,22,89.0,216.0,227.0,728.0,286.0,1216.0,206.0,3057.0
Yongsan 2-ga-dong,Yongsan-gu,511.0,2934.0,6,22,55.0,114.0,116.0,372.0,188.0,2052.0,146.0,374.0
Namyeong-dong,Yongsan-gu,1612.0,20356.0,39,229,202.0,1183.0,448.0,5042.0,557.0,5793.0,366.0,8109.0
Wonhyoro 2(i)-dong,Yongsan-gu,1190.0,6812.0,10,24,199.0,464.0,403.0,1617.0,392.0,3642.0,186.0,1065.0
Hyochang-dong,Yongsan-gu,535.0,2603.0,3,7,60.0,203.0,171.0,873.0,166.0,795.0,135.0,725.0
Yongmun-dong,Yongsan-gu,637.0,1600.0,10,26,64.0,141.0,178.0,576.0,247.0,616.0,138.0,241.0
Ichon 1(il)-dong,Yongsan-gu,805.0,3486.0,17,57,99.0,311.0,223.0,933.0,263.0,1299.0,203.0,886.0
Ichon 2(i)-dong,Yongsan-gu,337.0,876.0,5,11,15.0,31.0,58.0,208.0,136.0,351.0,123.0,275.0
Itaewon 1(il)-dong,Yongsan-gu,1584.0,7121.0,40,109,234.0,847.0,524.0,1883.0,517.0,3428.0,269.0,854.0
Itaewon 2(i)-dong,Yongsan-gu,597.0,2215.0,18,43,79.0,202.0,172.0,637.0,219.0,704.0,109.0,629.0
Seobinggo-dong,Yongsan-gu,405.0,4616.0,X,1,48.0,538.0,102.0,605.0,159.0,2479.0,95.0,993.0
Bogwang-dong,Yongsan-gu,772.0,2091.0,18,45,75.0,164.0,214.0,507.0,272.0,950.0,193.0,425.0
Cheongpa-dong,Yongsan-gu,1890.0,10019.0,36,84,219.0,615.0,596.0,2069.0,685.0,4791.0,354.0,2460.0
Wonhyoro 1(il)-dong,Yongsan-gu,1725.0,8110.0,28,58,288.0,1057.0,589.0,2626.0,540.0,3197.0,280.0,1172.0
Hangangno-dong,Yongsan-gu,4988.0,33136.0,80,279,934.0,2756.0,1877.0,8325.0,1390.0,15168.0,707.0,6608.0
Hannam-dong,Yongsan-gu,1660.0,15937.0,28,79,232.0,1356.0,534.0,4340.0,544.0,5573.0,322.0,4589.0
Wangsimni 2(i)-dong,Seongdong-gu,746.0,1926.0,12,28,67.0,187.0,209.0,576.0,291.0,825.0,167.0,310.0
Majang-dong,Seongdong-gu,3146.0,10974.0,29,65,353.0,1115.0,888.0,3219.0,1099.0,3608.0,777.0,2967.0
Sageun-dong,Seongdong-gu,963.0,9219.0,30,120,158.0,480.0,242.0,842.0,331.0,4100.0,202.0,3677.0
Haengdang 1(il)-dong,Seongdong-gu,1400.0,8526.0,44,175,245.0,957.0,393.0,2420.0,461.0,2604.0,257.0,2370.0
Haengdang 2(i)-dong,Seongdong-gu,571.0,2107.0,8,14,91.0,301.0,188.0,648.0,190.0,789.0,94.0,355.0
Eungbong-dong,Seongdong-gu,384.0,1024.0,5,12,41.0,81.0,106.0,309.0,141.0,425.0,91.0,197.0
Geumho 1(il)-ga-dong,Seongdong-gu,571.0,1658.0,12,33,62.0,187.0,145.0,525.0,212.0,607.0,140.0,306.0
Geumho 4(sa)-ga-dong,Seongdong-gu,616.0,1963.0,13,33,66.0,156.0,150.0,380.0,232.0,850.0,155.0,544.0
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1336.0,6683.0,20,33,129.0,459.0,425.0,2146.0,525.0,3233.0,237.0,812.0
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,1946.0,12598.0,20,48,224.0,972.0,576.0,3338.0,763.0,5083.0,363.0,3157.0
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2351.0,14571.0,32,66,206.0,846.0,736.0,5263.0,984.0,6055.0,393.0,2341.0
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,4690.0,43517.0,47,315,472.0,2604.0,1551.0,12110.0,1817.0,18565.0,803.0,9923.0
Songjeong-dong,Seongdong-gu,712.0,2156.0,9,20,78.0,177.0,184.0,458.0,274.0,960.0,167.0,541.0
Yongdap-dong,Seongdong-gu,2050.0,13485.0,23,53,201.0,659.0,609.0,4012.0,764.0,6275.0,453.0,2486.0
WangsimniDoseon-dong,Seongdong-gu,1588.0,8254.0,23,64,179.0,999.0,492.0,2608.0,540.0,2322.0,354.0,2261.0
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,974.0,2422.0,17,35,90.0,203.0,244.0,614.0,351.0,975.0,272.0,595.0
