Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Sajik-dong,2013.0,Jongno-gu,3466.0,45046.0,13.0,2818.0,36623.0,8396.0,436.2
Samcheong-dong,2013.0,Jongno-gu,650.0,3980.0,6.12,436.0,2671.0,2260.0,118.21
Buam-dong,2013.0,Jongno-gu,483.0,3590.0,7.43,213.0,1581.0,5052.0,31.3
Pyeongchang-dong,2013.0,Jongno-gu,662.0,2635.0,3.98,75.0,297.0,2230.0,13.32
Muak-dong,2013.0,Jongno-gu,558.0,1388.0,2.49,1550.0,3856.0,23961.0,16.09
Gyonam-dong,2013.0,Jongno-gu,315.0,3493.0,11.09,900.0,9980.0,15571.0,64.09
Gahoe-dong,2013.0,Jongno-gu,607.0,8218.0,13.54,1124.0,15219.0,9876.0,154.1
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,15713.0,97700.0,6.22,6686.0,41574.0,3743.0,1110.61
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,7735.0,24602.0,3.18,12892.0,41003.0,10408.0,393.95
Ihwa-dong,2013.0,Jongno-gu,1139.0,13777.0,12.1,1460.0,17663.0,12096.0,146.02
Changsin 1(il)-dong,2013.0,Jongno-gu,2250.0,6408.0,2.85,7258.0,20671.0,23345.0,88.54
Changsin 2(i)-dong,2013.0,Jongno-gu,858.0,2331.0,2.72,3300.0,8965.0,45027.0,19.91
Changsin 3(sam)-dong,2013.0,Jongno-gu,269.0,794.0,2.95,1170.0,3452.0,36130.0,9.55
Sungin 1(il)-dong,2013.0,Jongno-gu,531.0,1659.0,3.12,2309.0,7213.0,32883.0,21.94
Sungin 2(i)-dong,2013.0,Jongno-gu,1683.0,5682.0,3.38,4809.0,16234.0,28411.0,57.14
Cheongunhyoja-dong,2013.0,Jongno-gu,795.0,5625.0,7.08,309.0,2189.0,5718.0,38.28
Hyehwa-dong,2013.0,Jongno-gu,1612.0,8753.0,5.43,1439.0,7815.0,17484.0,44.7
Sogong-dong,2013.0,Jung-gu,3823.0,61868.0,16.18,4024.0,65124.0,1859.0,3503.28
Hoehyeon-dong,2013.0,Jung-gu,9869.0,47252.0,4.79,11749.0,56252.0,7813.0,719.98
Myeong-dong,2013.0,Jung-gu,6855.0,103320.0,15.07,6924.0,104364.0,4054.0,2574.63
Pil-dong,2013.0,Jung-gu,3196.0,21901.0,6.85,2804.0,19211.0,4279.0,448.97
Jangchung-dong,2013.0,Jung-gu,844.0,9297.0,11.02,621.0,6836.0,4629.0,147.67
Gwanghui-dong ,2013.0,Jung-gu,10372.0,36642.0,3.53,14016.0,49516.0,8253.0,600.0
Euljiro-dong,2013.0,Jung-gu,9814.0,27740.0,2.83,16357.0,46233.0,3370.0,1371.91
Sindang 5(o)-dong,2013.0,Jung-gu,1156.0,4043.0,3.5,2964.0,10367.0,27400.0,37.83
