Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Sajik-dong,Jongno-gu,8,8,346,1447,11,11.0,55.0,119.0,91,209,27,46,27,67,3,4,132,445,36,-
Samcheong-dong,Jongno-gu,4,4,61,296,9,9.0,5.0,11.0,X,2,-,-,16,28,X,8,79,257,14,-
Buam-dong,Jongno-gu,16,16,29,114,17,17.0,13.0,16.0,13,35,7,12,6,7,-,-,32,77,13,-
Pyeongchang-dong,Jongno-gu,16,16,57,259,24,29.0,32.0,40.0,21,28,17,22,4,4,X,3,17,48,11,-
Muak-dong,Jongno-gu,10,10,19,47,294,297.0,13.0,15.0,6,11,9,10,-,-,-,-,6,8,7,-
Gyonam-dong,Jongno-gu,13,13,25,80,15,15.0,9.0,11.0,6,19,7,8,6,10,-,-,8,23,9,-
Gahoe-dong,Jongno-gu,10,10,74,303,8,10.0,15.0,18.0,12,31,8,9,X,1,5,13,42,125,14,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,X,1,930,3840,19,30.0,109.0,265.0,288,1033,32,85,102,192,246,310,322,1182,172,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,6,6,290,889,24,55.0,68.0,102.0,47,93,19,30,43,85,83,261,72,170,66,-
Ihwa-dong,Jongno-gu,9,9,108,448,20,20.0,9.0,16.0,33,153,8,17,12,17,6,33,73,381,14,-
Changsin 1(il)-dong,Jongno-gu,12,12,116,312,13,13.0,33.0,44.0,26,47,12,22,48,83,42,64,13,29,39,-
Changsin 2(i)-dong,Jongno-gu,8,8,59,149,24,24.0,19.0,23.0,19,36,23,25,7,13,X,3,5,7,24,-
Changsin 3(sam)-dong,Jongno-gu,38,38,15,34,26,26.0,13.0,18.0,-,-,10,15,-,-,-,-,5,8,6,-
Sungin 1(il)-dong,Jongno-gu,8,8,28,88,24,25.0,13.0,21.0,5,15,10,18,X,4,11,62,4,7,12,-
Sungin 2(i)-dong,Jongno-gu,13,13,113,278,34,34.0,28.0,42.0,24,47,14,25,15,25,11,39,19,57,32,-
Cheongunhyoja-dong,Jongno-gu,29,29,48,112,23,31.0,28.0,39.0,6,7,16,21,10,13,X,1,33,77,18,-
Hyehwa-dong,Jongno-gu,32,32,180,650,28,28.0,38.0,63.0,102,333,31,90,20,37,-,-,109,430,18,-
Sogong-dong,Jung-gu,X,1,282,1436,X,2.0,29.0,144.0,41,146,17,70,60,288,7,132,125,562,43,91
Hoehyeon-dong,Jung-gu,7,14,249,1136,3,4.0,25.0,64.0,31,79,18,59,474,762,1652,3026,106,372,111,204
Myeong-dong,Jung-gu,-,-,451,2635,6,7.0,86.0,357.0,69,285,65,389,213,1068,23,548,228,1063,70,145
Pil-dong,Jung-gu,3,3,186,726,7,11.0,28.0,63.0,59,144,17,34,X,2,4,12,61,185,27,42
Jangchung-dong,Jung-gu,9,9,75,260,10,13.0,14.0,30.0,19,42,7,13,7,29,14,483,13,47,11,29
Gwanghui-dong ,Jung-gu,5,5,319,1060,31,64.0,57.0,78.0,61,146,26,69,1385,3014,881,1424,84,251,117,188
Euljiro-dong,Jung-gu,-,-,264,872,10,22.0,47.0,62.0,48,109,9,12,41,84,407,581,67,146,85,118
Sindang 5(o)-dong,Jung-gu,10,10,99,251,32,32.0,27.0,32.0,47,73,19,24,27,43,42,113,11,19,18,42
Hwanghak-dong,Jung-gu,16,16,155,317,49,49.0,42.0,59.0,9,12,19,37,32,49,23,82,15,42,37,54
Jungnim-dong,Jung-gu,16,16,93,266,31,40.0,28.0,86.0,25,47,16,39,X,2,X,228,16,48,18,31
Sindang-dong,Jung-gu,4,4,156,500,19,19.0,90.0,121.0,36,83,20,28,39,57,8359,15091,24,59,90,158
Dasan-dong,Jung-gu,41,41,73,200,44,44.0,29.0,36.0,31,63,19,28,7,7,39,204,11,37,23,35
