Dong,사업_사업체창설년도_Gu_Gu,사업_사업체창설년도_total_No. of establishments,사업_사업체창설년도_total_ratio (%),사업_사업체창설년도_after year 2010_Sub total,사업_사업체창설년도_after year 2010_ratio (%),사업_사업체창설년도_2005~2009_Sub total,사업_사업체창설년도_2005~2009_ratio (%),사업_사업체창설년도_2000~2004_Sub total,사업_사업체창설년도_2000~2004_ratio (%),사업_사업체창설년도_1990_Sub total,사업_사업체창설년도_1990_ratio (%),사업_사업체창설년도_prior to 1980_Sub total,사업_사업체창설년도_prior to 1980_ratio (%)
Sajik-dong,Jongno-gu,3466.0,100.0,1338.0,38.6,829.0,23.92,555.0,16.01,443.0,12.78,301.0,8.68
Samcheong-dong,Jongno-gu,650.0,100.0,325.0,50.0,134.0,20.62,62.0,9.54,65.0,10.0,64.0,9.85
Buam-dong,Jongno-gu,483.0,100.0,178.0,36.85,91.0,18.84,70.0,14.49,80.0,16.56,64.0,13.25
Pyeongchang-dong,Jongno-gu,662.0,100.0,264.0,39.88,155.0,23.41,87.0,13.14,87.0,13.14,69.0,10.42
Muak-dong,Jongno-gu,558.0,100.0,150.0,26.88,141.0,25.27,132.0,23.66,68.0,12.19,67.0,12.01
Gyonam-dong,Jongno-gu,315.0,100.0,98.0,31.11,64.0,20.32,53.0,16.83,52.0,16.51,48.0,15.24
Gahoe-dong,Jongno-gu,607.0,100.0,253.0,41.68,132.0,21.75,87.0,14.33,86.0,14.17,49.0,8.07
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,100.0,5070.0,32.27,3370.0,21.45,2701.0,17.19,2822.0,17.96,1750.0,11.14
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,100.0,2908.0,37.6,1843.0,23.83,1256.0,16.24,1180.0,15.26,548.0,7.08
Ihwa-dong,Jongno-gu,1139.0,100.0,487.0,42.76,248.0,21.77,159.0,13.96,156.0,13.7,89.0,7.81
Changsin 1(il)-dong,Jongno-gu,2250.0,100.0,819.0,36.4,477.0,21.2,365.0,16.22,402.0,17.87,187.0,8.31
Changsin 2(i)-dong,Jongno-gu,858.0,100.0,288.0,33.57,224.0,26.11,152.0,17.72,129.0,15.03,65.0,7.58
Changsin 3(sam)-dong,Jongno-gu,269.0,100.0,100.0,37.17,61.0,22.68,43.0,15.99,47.0,17.47,18.0,6.69
Sungin 1(il)-dong,Jongno-gu,531.0,100.0,228.0,42.94,137.0,25.8,76.0,14.31,59.0,11.11,31.0,5.84
Sungin 2(i)-dong,Jongno-gu,1683.0,100.0,644.0,38.27,388.0,23.05,260.0,15.45,278.0,16.52,113.0,6.71
Cheongunhyoja-dong,Jongno-gu,795.0,100.0,296.0,37.23,178.0,22.39,110.0,13.84,114.0,14.34,97.0,12.2
Hyehwa-dong,Jongno-gu,1612.0,100.0,733.0,45.47,369.0,22.89,249.0,15.45,151.0,9.37,110.0,6.82
Sogong-dong,Jung-gu,3823.0,100.0,1217.0,31.83,921.0,24.09,668.0,17.47,579.0,15.15,438.0,11.46
