Dong,사업_사업체창업률_Period,사업_사업체창업률_Gu,사업_사업체창업률_No. of establishments,사업_사업체창업률_No. of employee,사업_사업체창업률_Average worker,사업_사업체창업률_Rate of establishing a business
Sajik-dong,2013.0,Jongno-gu,3466.0,45046.0,13.0,12.87
Samcheong-dong,2013.0,Jongno-gu,650.0,3980.0,6.0,16.31
Buam-dong,2013.0,Jongno-gu,483.0,3590.0,7.0,12.22
Pyeongchang-dong,2013.0,Jongno-gu,662.0,2635.0,4.0,10.57
Muak-dong,2013.0,Jongno-gu,558.0,1388.0,2.0,9.32
Gyonam-dong,2013.0,Jongno-gu,315.0,3493.0,11.0,9.21
Gahoe-dong,2013.0,Jongno-gu,607.0,8218.0,14.0,16.97
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,15713.0,97700.0,6.0,9.84
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,7735.0,24602.0,3.0,11.17
Ihwa-dong,2013.0,Jongno-gu,1139.0,13777.0,12.0,15.01
Changsin 1(il)-dong,2013.0,Jongno-gu,2250.0,6408.0,3.0,11.96
Changsin 2(i)-dong,2013.0,Jongno-gu,858.0,2331.0,3.0,8.28
Changsin 3(sam)-dong,2013.0,Jongno-gu,269.0,794.0,3.0,8.55
Sungin 1(il)-dong,2013.0,Jongno-gu,531.0,1659.0,3.0,15.07
Sungin 2(i)-dong,2013.0,Jongno-gu,1683.0,5682.0,3.0,13.96
Cheongunhyoja-dong,2013.0,Jongno-gu,795.0,5625.0,7.0,15.09
Hyehwa-dong,2013.0,Jongno-gu,1612.0,8753.0,5.0,12.1
Sogong-dong,2013.0,Jung-gu,3823.0,61868.0,16.0,8.92
Hoehyeon-dong,2013.0,Jung-gu,9869.0,47252.0,5.0,9.34
Myeong-dong,2013.0,Jung-gu,6855.0,103320.0,15.0,9.28
Pil-dong,2013.0,Jung-gu,3196.0,21901.0,7.0,8.73
Jangchung-dong,2013.0,Jung-gu,844.0,9297.0,11.0,6.04
Gwanghui-dong ,2013.0,Jung-gu,10372.0,36642.0,4.0,10.59
