Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Sajik-dong,2013.0,Jongno-gu,3466.0,45046.0,13.0,9년11개월
Samcheong-dong,2013.0,Jongno-gu,650.0,3980.0,6.12,9년5개월
Buam-dong,2013.0,Jongno-gu,483.0,3590.0,7.43,11년6개월
Pyeongchang-dong,2013.0,Jongno-gu,662.0,2635.0,3.98,10년2개월
Muak-dong,2013.0,Jongno-gu,558.0,1388.0,2.49,11년3개월
Gyonam-dong,2013.0,Jongno-gu,315.0,3493.0,11.09,12년11개월
Gahoe-dong,2013.0,Jongno-gu,607.0,8218.0,13.54,9년8개월
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,15713.0,97700.0,6.22,10년12개월
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,7735.0,24602.0,3.18,9년2개월
Ihwa-dong,2013.0,Jongno-gu,1139.0,13777.0,12.1,9년0개월
Changsin 1(il)-dong,2013.0,Jongno-gu,2250.0,6408.0,2.85,9년9개월
Changsin 2(i)-dong,2013.0,Jongno-gu,858.0,2331.0,2.72,9년5개월
Changsin 3(sam)-dong,2013.0,Jongno-gu,269.0,794.0,2.95,9년4개월
Sungin 1(il)-dong,2013.0,Jongno-gu,531.0,1659.0,3.12,8년1개월
Sungin 2(i)-dong,2013.0,Jongno-gu,1683.0,5682.0,3.38,9년2개월
Cheongunhyoja-dong,2013.0,Jongno-gu,795.0,5625.0,7.08,11년1개월
Hyehwa-dong,2013.0,Jongno-gu,1612.0,8753.0,5.43,8년8개월
Sogong-dong,2013.0,Jung-gu,3823.0,61868.0,16.18,11년3개월
Hoehyeon-dong,2013.0,Jung-gu,9869.0,47252.0,4.79,10년2개월
Myeong-dong,2013.0,Jung-gu,6855.0,103320.0,15.07,10년4개월
Pil-dong,2013.0,Jung-gu,3196.0,21901.0,6.85,9년7개월
Jangchung-dong,2013.0,Jung-gu,844.0,9297.0,11.02,11년0개월
