Dong,사업_사업체현황산업대분류별_Autonomous Gu_Autonomous Gu_Autonomous Gu,사업_사업체현황산업대분류별_Total_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Total_No.of establishments_Woman representative,사업_사업체현황산업대분류별_Total_No. of wokers_Total,사업_사업체현황산업대분류별_Total_No. of wokers_Male,사업_사업체현황산업대분류별_Total_No. of wokers_Female,"사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Mining_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Mining_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Manufacturing_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Manufacturing_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Construction industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Construction industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Wholesale and Retail trade_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Wholesale and Retail trade_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Transport_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Transport_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Accomodations and Restaurants_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Accomodations and Restaurants_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Finance and Insurance_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Finance and Insurance_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Real estate, Renting & leasing_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Real estate, Renting & leasing_No. of wokers_No. of wokers","사업_사업체현황산업대분류별_Professional, scientific and technical services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Professional, scientific and technical services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Education_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Education_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Health and social welfare service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Health and social welfare service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Art sports and recreation related service_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Art sports and recreation related service_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No. of wokers_No. of wokers"
Sajik-dong,Jongno-gu,3466.0,1118.0,45046.0,25492.0,19554.0,-,-,1,1,47.0,154.0,1,1,2,34,42.0,3164.0,585.0,2546.0,277.0,1910.0,836.0,3370.0,199,2656,111,3991,138.0,1808.0,326,7671,369,6587,22,6924,78.0,1018.0,99.0,813.0,80.0,1178.0,253.0,1220.0
Samcheong-dong,Jongno-gu,650.0,300.0,3980.0,2013.0,1967.0,-,-,-,-,18.0,41.0,-,-,-,-,8.0,10.0,233.0,615.0,21.0,53.0,219.0,916.0,20,85,5,33,9.0,16.0,31,255,16,176,4,1168,15.0,326.0,9.0,39.0,17.0,120.0,25.0,127.0
Buam-dong,Jongno-gu,483.0,192.0,3590.0,1731.0,1859.0,-,-,1,5,17.0,72.0,-,-,-,-,15.0,57.0,94.0,517.0,35.0,37.0,126.0,395.0,9,38,3,30,19.0,46.0,21,87,2,7,3,55,36.0,1735.0,6.0,37.0,13.0,53.0,83.0,419.0
Pyeongchang-dong,Jongno-gu,662.0,319.0,2635.0,1239.0,1396.0,-,-,-,-,10.0,103.0,-,-,-,-,25.0,63.0,139.0,463.0,47.0,89.0,151.0,505.0,18,96,6,58,42.0,97.0,12,224,5,18,2,64,34.0,200.0,34.0,322.0,27.0,137.0,110.0,196.0
Muak-dong,Jongno-gu,558.0,134.0,1388.0,723.0,665.0,-,-,-,-,6.0,12.0,-,-,-,-,6.0,44.0,54.0,125.0,305.0,308.0,57.0,152.0,2,4,3,17,18.0,62.0,4,13,4,21,1,12,28.0,136.0,11.0,335.0,7.0,25.0,52.0,122.0
Gyonam-dong,Jongno-gu,315.0,97.0,3493.0,1479.0,2014.0,-,-,-,-,7.0,26.0,-,-,-,-,8.0,52.0,60.0,400.0,31.0,56.0,64.0,190.0,7,161,9,83,20.0,41.0,11,201,5,22,2,31,18.0,218.0,8.0,1806.0,8.0,26.0,57.0,180.0
Gahoe-dong,Jongno-gu,607.0,288.0,8218.0,5608.0,2610.0,-,-,-,-,25.0,199.0,-,-,-,-,7.0,1886.0,146.0,455.0,23.0,134.0,195.0,741.0,16,919,9,123,18.0,27.0,39,2237,12,303,3,387,32.0,444.0,13.0,107.0,25.0,123.0,44.0,133.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,4834.0,97700.0,57531.0,40169.0,-,-,2,10,1862.0,5596.0,4,48,3,20,85.0,10684.0,7579.0,17919.0,193.0,1497.0,2173.0,9828.0,298,7345,220,9810,383.0,2200.0,598,7767,555,11181,23,5974,316.0,2975.0,163.0,1224.0,265.0,955.0,991.0,2667.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,2568.0,24602.0,15195.0,9407.0,-,-,-,-,780.0,2114.0,-,-,-,-,29.0,407.0,5287.0,11517.0,81.0,1352.0,636.0,1794.0,62,1656,31,757,141.0,647.0,122,1451,60,804,6,328,48.0,338.0,105.0,392.0,50.0,148.0,297.0,897.0
Ihwa-dong,Jongno-gu,1139.0,373.0,13777.0,5609.0,8168.0,-,-,-,-,67.0,265.0,-,-,-,-,10.0,21.0,217.0,921.0,40.0,57.0,334.0,1993.0,47,440,8,79,30.0,128.0,84,1233,12,41,5,204,41.0,1213.0,26.0,6201.0,106.0,693.0,112.0,288.0
