Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Sajik-dong,Jongno-gu,3466.0,1118.0,45046.0,25492.0,19554.0,1800.0,8377.0,1333.0,25464.0,205.0,10440.0,128.0,765.0
Samcheong-dong,Jongno-gu,650.0,300.0,3980.0,2013.0,1967.0,454.0,1188.0,147.0,943.0,40.0,1758.0,9.0,91.0
Buam-dong,Jongno-gu,483.0,192.0,3590.0,1731.0,1859.0,370.0,949.0,53.0,643.0,22.0,1902.0,38.0,96.0
Pyeongchang-dong,Jongno-gu,662.0,319.0,2635.0,1239.0,1396.0,491.0,1181.0,79.0,779.0,25.0,466.0,67.0,209.0
Muak-dong,Jongno-gu,558.0,134.0,1388.0,723.0,665.0,511.0,1065.0,12.0,97.0,9.0,131.0,26.0,95.0
Gyonam-dong,Jongno-gu,315.0,97.0,3493.0,1479.0,2014.0,224.0,466.0,42.0,735.0,30.0,2207.0,19.0,85.0
Gahoe-dong,Jongno-gu,607.0,288.0,8218.0,5608.0,2610.0,451.0,1132.0,101.0,6000.0,35.0,993.0,20.0,93.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,4834.0,97700.0,57531.0,40169.0,12606.0,26976.0,2463.0,57833.0,343.0,11806.0,301.0,1085.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,2568.0,24602.0,15195.0,9407.0,6929.0,14270.0,546.0,8685.0,115.0,1160.0,145.0,487.0
Ihwa-dong,Jongno-gu,1139.0,373.0,13777.0,5609.0,8168.0,740.0,2515.0,218.0,3198.0,91.0,7635.0,90.0,429.0
Changsin 1(il)-dong,Jongno-gu,2250.0,680.0,6408.0,3370.0,3038.0,2090.0,4439.0,112.0,1501.0,17.0,362.0,31.0,106.0
Changsin 2(i)-dong,Jongno-gu,858.0,280.0,2331.0,1038.0,1293.0,811.0,2036.0,19.0,174.0,10.0,52.0,18.0,69.0
Changsin 3(sam)-dong,Jongno-gu,269.0,77.0,794.0,415.0,379.0,233.0,433.0,10.0,96.0,9.0,166.0,17.0,99.0
Sungin 1(il)-dong,Jongno-gu,531.0,163.0,1659.0,722.0,937.0,467.0,1191.0,39.0,301.0,8.0,94.0,17.0,73.0
Sungin 2(i)-dong,Jongno-gu,1683.0,479.0,5682.0,2838.0,2844.0,1448.0,2998.0,178.0,2064.0,26.0,539.0,31.0,81.0
Cheongunhyoja-dong,Jongno-gu,795.0,336.0,5625.0,3241.0,2384.0,609.0,1111.0,99.0,900.0,55.0,3302.0,32.0,312.0
Hyehwa-dong,Jongno-gu,1612.0,612.0,8753.0,4290.0,4463.0,1294.0,3765.0,198.0,2191.0,75.0,2595.0,45.0,202.0
Sogong-dong,Jung-gu,3823.0,947.0,61868.0,37241.0,24627.0,1946.0,6489.0,1648.0,48982.0,148.0,5908.0,81.0,489.0
Hoehyeon-dong,Jung-gu,9869.0,4958.0,47252.0,25510.0,21742.0,8911.0,16745.0,787.0,27899.0,70.0,2150.0,101.0,458.0
Myeong-dong,Jung-gu,6855.0,1935.0,103320.0,58825.0,44495.0,4004.0,13640.0,2478.0,66330.0,241.0,22493.0,132.0,857.0
Pil-dong,Jung-gu,3196.0,755.0,21901.0,13226.0,8675.0,2333.0,6714.0,699.0,9104.0,112.0,5959.0,52.0,124.0
Jangchung-dong,Jung-gu,844.0,239.0,9297.0,4725.0,4572.0,511.0,1464.0,240.0,6350.0,55.0,1189.0,38.0,294.0
Gwanghui-dong ,Jung-gu,10372.0,3558.0,36642.0,19996.0,16646.0,9269.0,19245.0,954.0,13719.0,87.0,3437.0,62.0,241.0
Euljiro-dong,Jung-gu,9814.0,1964.0,27740.0,18949.0,8791.0,8803.0,17066.0,888.0,8733.0,61.0,1646.0,62.0,295.0
Sindang 5(o)-dong,Jung-gu,1156.0,406.0,4043.0,2110.0,1933.0,1019.0,2572.0,84.0,546.0,21.0,762.0,32.0,163.0
Hwanghak-dong,Jung-gu,2055.0,632.0,5702.0,3488.0,2214.0,1905.0,3050.0,123.0,2484.0,10.0,90.0,17.0,78.0
Jungnim-dong,Jung-gu,1045.0,309.0,8292.0,4330.0,3962.0,742.0,1727.0,228.0,5627.0,42.0,743.0,33.0,195.0
Sindang-dong,Jung-gu,12219.0,6254.0,26112.0,11853.0,14259.0,11857.0,22090.0,283.0,2399.0,38.0,1325.0,41.0,298.0
Dasan-dong,Jung-gu,1119.0,345.0,7855.0,3647.0,4208.0,846.0,2013.0,211.0,5289.0,31.0,428.0,31.0,125.0
Yaksu-dong,Jung-gu,834.0,360.0,3478.0,1616.0,1862.0,699.0,1955.0,92.0,922.0,21.0,484.0,22.0,117.0
Cheonggu-dong,Jung-gu,702.0,218.0,3274.0,2059.0,1215.0,572.0,1206.0,95.0,1624.0,18.0,343.0,17.0,101.0
Donghwa-dong,Jung-gu,943.0,282.0,3294.0,1714.0,1580.0,810.0,1933.0,97.0,889.0,21.0,419.0,15.0,53.0
Huam-dong,Yongsan-gu,819.0,303.0,5239.0,2153.0,3086.0,713.0,1983.0,57.0,2580.0,28.0,586.0,21.0,90.0
Yongsan 2-ga-dong,Yongsan-gu,511.0,154.0,2934.0,1548.0,1386.0,439.0,788.0,45.0,646.0,21.0,1396.0,6.0,104.0
Namyeong-dong,Yongsan-gu,1612.0,597.0,20356.0,13110.0,7246.0,1086.0,2999.0,404.0,15551.0,68.0,1517.0,54.0,289.0
Wonhyoro 2(i)-dong,Yongsan-gu,1190.0,296.0,6812.0,4574.0,2238.0,781.0,1687.0,361.0,4386.0,24.0,638.0,24.0,101.0
Hyochang-dong,Yongsan-gu,535.0,151.0,2603.0,1483.0,1120.0,363.0,825.0,110.0,1150.0,33.0,405.0,29.0,223.0
Yongmun-dong,Yongsan-gu,637.0,262.0,1600.0,852.0,748.0,566.0,1105.0,50.0,391.0,7.0,47.0,14.0,57.0
Ichon 1(il)-dong,Yongsan-gu,805.0,384.0,3486.0,1559.0,1927.0,656.0,1771.0,73.0,594.0,27.0,699.0,49.0,422.0
Ichon 2(i)-dong,Yongsan-gu,337.0,89.0,876.0,579.0,297.0,298.0,595.0,16.0,116.0,6.0,73.0,17.0,92.0
Itaewon 1(il)-dong,Yongsan-gu,1584.0,690.0,7121.0,3945.0,3176.0,1350.0,3017.0,198.0,2044.0,19.0,1946.0,17.0,114.0
Itaewon 2(i)-dong,Yongsan-gu,597.0,231.0,2215.0,1269.0,946.0,505.0,1070.0,67.0,947.0,9.0,138.0,16.0,60.0
Seobinggo-dong,Yongsan-gu,405.0,124.0,4616.0,2780.0,1836.0,285.0,587.0,87.0,2017.0,21.0,1466.0,12.0,546.0
Bogwang-dong,Yongsan-gu,772.0,303.0,2091.0,1128.0,963.0,728.0,1577.0,21.0,156.0,11.0,293.0,12.0,65.0
Cheongpa-dong,Yongsan-gu,1890.0,644.0,10019.0,4445.0,5574.0,1623.0,4223.0,158.0,1798.0,63.0,3683.0,46.0,315.0
Wonhyoro 1(il)-dong,Yongsan-gu,1725.0,489.0,8110.0,5388.0,2722.0,1204.0,2873.0,466.0,4303.0,23.0,683.0,32.0,251.0
Hangangno-dong,Yongsan-gu,4988.0,1234.0,33136.0,19926.0,13210.0,3062.0,6869.0,1725.0,19524.0,127.0,5971.0,74.0,772.0
Hannam-dong,Yongsan-gu,1660.0,611.0,15937.0,8562.0,7375.0,1134.0,3337.0,438.0,9666.0,44.0,2372.0,44.0,562.0
Wangsimni 2(i)-dong,Seongdong-gu,746.0,254.0,1926.0,912.0,1014.0,658.0,1293.0,50.0,323.0,8.0,142.0,30.0,168.0
Majang-dong,Seongdong-gu,3146.0,765.0,10974.0,7387.0,3587.0,2502.0,4898.0,533.0,3648.0,54.0,2085.0,57.0,343.0
Sageun-dong,Seongdong-gu,963.0,321.0,9219.0,4452.0,4767.0,796.0,2035.0,82.0,685.0,65.0,6383.0,20.0,116.0
Haengdang 1(il)-dong,Seongdong-gu,1400.0,550.0,8526.0,4529.0,3997.0,1157.0,3005.0,164.0,2634.0,40.0,2724.0,39.0,163.0
Haengdang 2(i)-dong,Seongdong-gu,571.0,237.0,2107.0,859.0,1248.0,512.0,1184.0,23.0,234.0,13.0,457.0,23.0,232.0
Eungbong-dong,Seongdong-gu,384.0,127.0,1024.0,548.0,476.0,346.0,577.0,7.0,41.0,10.0,190.0,21.0,216.0
Geumho 1(il)-ga-dong,Seongdong-gu,571.0,199.0,1658.0,796.0,862.0,495.0,1069.0,31.0,234.0,11.0,185.0,34.0,170.0
Geumho 4(sa)-ga-dong,Seongdong-gu,616.0,239.0,1963.0,1043.0,920.0,538.0,1088.0,35.0,496.0,15.0,247.0,28.0,132.0
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1336.0,323.0,6683.0,4304.0,2379.0,1062.0,2682.0,216.0,2659.0,22.0,1140.0,36.0,202.0
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,1946.0,458.0,12598.0,8205.0,4393.0,1373.0,3676.0,502.0,7564.0,27.0,1159.0,44.0,199.0
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2351.0,646.0,14571.0,9193.0,5378.0,1759.0,4483.0,538.0,8778.0,16.0,1107.0,38.0,203.0
