Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Sajik-dong,Jongno-gu,3466.0,45046.0,19554.0,2107.0,1061.0,38999.0,16346.0,2548.0,1510.0,1392,637
Samcheong-dong,Jongno-gu,650.0,3980.0,1967.0,496.0,281.0,3101.0,1386.0,256.0,200.0,127,100
Buam-dong,Jongno-gu,483.0,3590.0,1859.0,461.0,234.0,1794.0,847.0,496.0,337.0,839,441
Pyeongchang-dong,Jongno-gu,662.0,2635.0,1396.0,552.0,293.0,1732.0,912.0,273.0,154.0,78,37
Muak-dong,Jongno-gu,558.0,1388.0,665.0,560.0,144.0,671.0,438.0,107.0,51.0,50,32
Gyonam-dong,Jongno-gu,315.0,3493.0,2014.0,275.0,112.0,2856.0,1603.0,157.0,96.0,205,203
Gahoe-dong,Jongno-gu,607.0,8218.0,2610.0,538.0,302.0,7060.0,1924.0,603.0,377.0,17,7
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,97700.0,40169.0,14961.0,5749.0,73593.0,29367.0,7323.0,3969.0,1823,1084
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,24602.0,9407.0,8593.0,3457.0,14080.0,4858.0,1585.0,946.0,344,146
Ihwa-dong,Jongno-gu,1139.0,13777.0,8168.0,910.0,405.0,10050.0,5914.0,2591.0,1773.0,226,76
Changsin 1(il)-dong,Jongno-gu,2250.0,6408.0,3038.0,2918.0,1129.0,2411.0,1283.0,694.0,335.0,385,291
Changsin 2(i)-dong,Jongno-gu,858.0,2331.0,1293.0,1176.0,535.0,881.0,571.0,238.0,160.0,36,27
Changsin 3(sam)-dong,Jongno-gu,269.0,794.0,379.0,300.0,119.0,393.0,205.0,73.0,40.0,28,15
Sungin 1(il)-dong,Jongno-gu,531.0,1659.0,937.0,634.0,276.0,860.0,532.0,151.0,116.0,14,13
Sungin 2(i)-dong,Jongno-gu,1683.0,5682.0,2844.0,1819.0,655.0,2476.0,1188.0,578.0,311.0,809,690
Cheongunhyoja-dong,Jongno-gu,795.0,5625.0,2384.0,705.0,364.0,4354.0,1672.0,445.0,282.0,121,66
Hyehwa-dong,Jongno-gu,1612.0,8753.0,4463.0,1527.0,681.0,5036.0,2607.0,1954.0,1048.0,236,127
Sogong-dong,Jung-gu,3823.0,61868.0,24627.0,2308.0,935.0,55431.0,21193.0,3046.0,1846.0,1083,653
Hoehyeon-dong,Jung-gu,9869.0,47252.0,21742.0,11345.0,6453.0,31013.0,12012.0,2860.0,1771.0,2034,1506
Myeong-dong,Jung-gu,6855.0,103320.0,44495.0,4740.0,1993.0,89413.0,36759.0,7306.0,4658.0,1861,1085
Pil-dong,Jung-gu,3196.0,21901.0,8675.0,2728.0,885.0,16473.0,6203.0,2331.0,1331.0,369,256
Jangchung-dong,Jung-gu,844.0,9297.0,4572.0,647.0,254.0,7619.0,3684.0,641.0,419.0,390,215
Gwanghui-dong ,Jung-gu,10372.0,36642.0,16646.0,11144.0,4532.0,21174.0,9458.0,2938.0,1785.0,1386,871
Euljiro-dong,Jung-gu,9814.0,27740.0,8791.0,10087.0,2525.0,14364.0,4717.0,1702.0,806.0,1587,743
Sindang 5(o)-dong,Jung-gu,1156.0,4043.0,1933.0,1357.0,599.0,1705.0,763.0,848.0,487.0,133,84
Hwanghak-dong,Jung-gu,2055.0,5702.0,2214.0,2363.0,864.0,2895.0,1139.0,364.0,182.0,80,29
Jungnim-dong,Jung-gu,1045.0,8292.0,3962.0,940.0,375.0,5766.0,2614.0,666.0,433.0,920,540
Sindang-dong,Jung-gu,12219.0,26112.0,14259.0,14416.0,7790.0,8192.0,4130.0,3160.0,2235.0,344,104
Dasan-dong,Jung-gu,1119.0,7855.0,4208.0,978.0,357.0,5439.0,2932.0,1274.0,846.0,164,73
Yaksu-dong,Jung-gu,834.0,3478.0,1862.0,872.0,425.0,2129.0,1119.0,282.0,174.0,195,144
Cheonggu-dong,Jung-gu,702.0,3274.0,1215.0,625.0,232.0,2080.0,677.0,520.0,268.0,49,38
Donghwa-dong,Jung-gu,943.0,3294.0,1580.0,932.0,307.0,1587.0,783.0,340.0,226.0,435,264
Huam-dong,Yongsan-gu,819.0,5239.0,3086.0,886.0,398.0,3532.0,2123.0,787.0,545.0,34,20
Yongsan 2-ga-dong,Yongsan-gu,511.0,2934.0,1386.0,533.0,205.0,2132.0,1021.0,258.0,152.0,11,8
Namyeong-dong,Yongsan-gu,1612.0,20356.0,7246.0,1341.0,619.0,11639.0,3551.0,4311.0,1576.0,3065,1500
Wonhyoro 2(i)-dong,Yongsan-gu,1190.0,6812.0,2238.0,947.0,342.0,5299.0,1592.0,350.0,226.0,216,78
Hyochang-dong,Yongsan-gu,535.0,2603.0,1120.0,432.0,169.0,1561.0,760.0,458.0,98.0,152,93
Yongmun-dong,Yongsan-gu,637.0,1600.0,748.0,692.0,319.0,787.0,350.0,103.0,66.0,18,13
Ichon 1(il)-dong,Yongsan-gu,805.0,3486.0,1927.0,754.0,419.0,2345.0,1231.0,357.0,247.0,30,30
Ichon 2(i)-dong,Yongsan-gu,337.0,876.0,297.0,356.0,123.0,387.0,139.0,108.0,30.0,25,5
Itaewon 1(il)-dong,Yongsan-gu,1584.0,7121.0,3176.0,1561.0,764.0,4401.0,1796.0,1110.0,580.0,49,36
Itaewon 2(i)-dong,Yongsan-gu,597.0,2215.0,946.0,626.0,268.0,1413.0,588.0,172.0,88.0,4,2
Seobinggo-dong,Yongsan-gu,405.0,4616.0,1836.0,329.0,131.0,3875.0,1552.0,332.0,138.0,80,15
Bogwang-dong,Yongsan-gu,772.0,2091.0,963.0,969.0,456.0,782.0,328.0,253.0,119.0,87,60
Cheongpa-dong,Yongsan-gu,1890.0,10019.0,5574.0,2245.0,1005.0,4680.0,2327.0,2825.0,2038.0,269,204
Wonhyoro 1(il)-dong,Yongsan-gu,1725.0,8110.0,2722.0,1477.0,575.0,5800.0,1710.0,584.0,325.0,249,112
Hangangno-dong,Yongsan-gu,4988.0,33136.0,13210.0,3532.0,1229.0,26292.0,10198.0,2728.0,1396.0,584,387
Hannam-dong,Yongsan-gu,1660.0,15937.0,7375.0,1355.0,620.0,13051.0,6099.0,1261.0,565.0,270,91
Wangsimni 2(i)-dong,Seongdong-gu,746.0,1926.0,1014.0,789.0,312.0,921.0,556.0,167.0,108.0,49,38
Majang-dong,Seongdong-gu,3146.0,10974.0,3587.0,2951.0,946.0,6797.0,2166.0,1134.0,470.0,92,5
Sageun-dong,Seongdong-gu,963.0,9219.0,4767.0,995.0,409.0,6418.0,3270.0,1709.0,1026.0,97,62
Haengdang 1(il)-dong,Seongdong-gu,1400.0,8526.0,3997.0,1359.0,617.0,5747.0,2531.0,1319.0,768.0,101,81
Haengdang 2(i)-dong,Seongdong-gu,571.0,2107.0,1248.0,630.0,294.0,1200.0,782.0,202.0,119.0,75,53
Eungbong-dong,Seongdong-gu,384.0,1024.0,476.0,394.0,149.0,506.0,258.0,112.0,67.0,12,2
Geumho 1(il)-ga-dong,Seongdong-gu,571.0,1658.0,862.0,590.0,231.0,746.0,415.0,234.0,148.0,88,68
Geumho 4(sa)-ga-dong,Seongdong-gu,616.0,1963.0,920.0,681.0,310.0,1127.0,520.0,103.0,51.0,52,39
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1336.0,6683.0,2379.0,1247.0,386.0,3921.0,1379.0,971.0,380.0,544,234
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,1946.0,12598.0,4393.0,1666.0,559.0,9567.0,3264.0,1125.0,471.0,240,99
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2351.0,14571.0,5378.0,2173.0,818.0,10780.0,3733.0,933.0,399.0,685,428
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,4690.0,43517.0,15419.0,3348.0,1040.0,36510.0,12818.0,2772.0,1358.0,887,203
Songjeong-dong,Seongdong-gu,712.0,2156.0,837.0,715.0,229.0,1274.0,548.0,114.0,49.0,53,11
Yongdap-dong,Seongdong-gu,2050.0,13485.0,4933.0,1868.0,632.0,10088.0,3669.0,1001.0,387.0,528,245
WangsimniDoseon-dong,Seongdong-gu,1588.0,8254.0,3953.0,1719.0,720.0,4911.0,2236.0,820.0,422.0,804,575
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,974.0,2422.0,1368.0,1179.0,568.0,976.0,605.0,234.0,170.0,33,25
Oksu-dong,Seongdong-gu,759.0,2720.0,1448.0,718.0,339.0,1569.0,833.0,377.0,228.0,56,48
Hwayang-dong,Gwangjin-gu,2456.0,14197.0,6860.0,2686.0,1156.0,8169.0,3950.0,3155.0,1647.0,187,107
Gunja-dong,Gwangjin-gu,1572.0,7832.0,3556.0,1615.0,692.0,4160.0,1778.0,1771.0,884.0,286,202
Junggok 1(il)-dong,Gwangjin-gu,1601.0,6943.0,2970.0,1749.0,756.0,3992.0,1554.0,827.0,460.0,375,200
Junggok 2(i)-dong,Gwangjin-gu,1748.0,5699.0,2988.0,1863.0,816.0,2896.0,1509.0,636.0,417.0,304,246
Junggok 3(sam)-dong,Gwangjin-gu,1359.0,4778.0,2196.0,1542.0,659.0,1976.0,956.0,1012.0,417.0,248,164
Junggok 4(sa)-dong,Gwangjin-gu,1572.0,4959.0,2159.0,1717.0,680.0,1974.0,914.0,1240.0,549.0,28,16
Neung-dong,Gwangjin-gu,698.0,4466.0,2291.0,599.0,253.0,2803.0,1319.0,485.0,324.0,579,395
Guui 1(il)-dong,Gwangjin-gu,1838.0,6361.0,2620.0,1858.0,781.0,3446.0,1423.0,858.0,363.0,199,53
Guui 2(i)-dong,Gwangjin-gu,1314.0,5211.0,2234.0,1411.0,569.0,2866.0,1193.0,628.0,339.0,306,133
Guui 3(sam)-dong,Gwangjin-gu,2596.0,19699.0,6543.0,2395.0,963.0,11072.0,4181.0,5779.0,1114.0,453,285
Gwangjang-dong,Gwangjin-gu,1361.0,10953.0,4923.0,1129.0,561.0,7182.0,3124.0,1994.0,985.0,648,253
Jayang 1(il)-dong,Gwangjin-gu,1694.0,8364.0,3346.0,1738.0,760.0,5494.0,1932.0,854.0,448.0,278,206
Jayang 2(i)-dong,Gwangjin-gu,1517.0,7311.0,3048.0,1539.0,579.0,4324.0,1769.0,1160.0,564.0,288,136
Jayang 3(sam)-dong,Gwangjin-gu,1317.0,6244.0,3107.0,1202.0,503.0,3693.0,1832.0,1244.0,708.0,105,64
Jayang 4(sa)-dong,Gwangjin-gu,2033.0,6948.0,2938.0,2317.0,1015.0,3335.0,1317.0,1173.0,547.0,123,59
Hoegi-dong,Dongdaemun-gu,990.0,10029.0,5212.0,1163.0,540.0,6454.0,3303.0,2202.0,1181.0,210,188
Hwigyeong 1(il)-dong,Dongdaemun-gu,1041.0,3869.0,1942.0,1176.0,499.0,2050.0,1015.0,383.0,216.0,260,212
Hwigyeong 2(i)-dong,Dongdaemun-gu,1092.0,4462.0,2325.0,1132.0,339.0,3001.0,1780.0,279.0,169.0,50,37
Cheongnyangni-dong,Dongdaemun-gu,1687.0,8301.0,3746.0,1841.0,809.0,5270.0,2038.0,674.0,402.0,516,497
Yongsin-dong,Dongdaemun-gu,5504.0,27882.0,11832.0,5272.0,1965.0,17501.0,6731.0,2724.0,1452.0,2385,1684
Jegi-dong,Dongdaemun-gu,4697.0,11249.0,5075.0,5407.0,2339.0,4724.0,2009.0,577.0,325.0,541,402
Jeonnong 1(il)-dong,Dongdaemun-gu,2244.0,7761.0,3963.0,2569.0,1177.0,3669.0,1838.0,1291.0,866.0,232,82
