Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Sajik-dong,Jongno-gu,3466.0,1118.0,45046.0,25492.0,19554.0,2377.0,5062.0,631.0,4020.0,241.0,3239.0,119,3502,40,2626,30,4870,15,5571,6,3854,7,12302
Samcheong-dong,Jongno-gu,650.0,300.0,3980.0,2013.0,1967.0,511.0,1067.0,92.0,584.0,25.0,309.0,14,363,7,537,-,-,-,-,-,-,1,1120
Buam-dong,Jongno-gu,483.0,192.0,3590.0,1731.0,1859.0,391.0,691.0,45.0,289.0,30.0,394.0,11,348,3,250,2,253,-,-,-,-,1,1365
Pyeongchang-dong,Jongno-gu,662.0,319.0,2635.0,1239.0,1396.0,543.0,920.0,69.0,459.0,28.0,355.0,16,453,5,309,1,139,-,-,-,-,-,-
Muak-dong,Jongno-gu,558.0,134.0,1388.0,723.0,665.0,514.0,696.0,30.0,186.0,10.0,124.0,2,41,1,61,1,280,-,-,-,-,-,-
Gyonam-dong,Jongno-gu,315.0,97.0,3493.0,1479.0,2014.0,257.0,479.0,27.0,165.0,17.0,232.0,8,224,1,87,4,832,-,-,-,-,1,1474
Gahoe-dong,Jongno-gu,607.0,288.0,8218.0,5608.0,2610.0,456.0,872.0,87.0,547.0,31.0,399.0,13,412,7,548,6,852,5,1840,1,910,1,1838
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,15713.0,4834.0,97700.0,57531.0,40169.0,13213.0,22697.0,1514.0,9451.0,545.0,7122.0,262,7788,74,5131,65,10786,18,6848,12,7615,10,20262
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,7735.0,2568.0,24602.0,15195.0,9407.0,7075.0,12733.0,456.0,2803.0,126.0,1650.0,49,1358,14,1013,7,1224,5,2017,3,1804,-,-
Ihwa-dong,Jongno-gu,1139.0,373.0,13777.0,5609.0,8168.0,798.0,1609.0,200.0,1313.0,82.0,1056.0,41,1171,6,478,8,1056,1,406,2,1210,1,5478
