Dong,산업_공중위생업현황_Autonomous Gu_Autonomous Gu,산업_공중위생업현황_Grand Total_Grand Total,산업_공중위생업현황_Public sanitary business_Total,산업_공중위생업현황_Public sanitary business_Accomodations ,산업_공중위생업현황_Public sanitary business_Barber shop,산업_공중위생업현황_Public sanitary business_Beauty shop,산업_공중위생업현황_Public sanitary business_Bath houses,산업_공중위생업현황_Public sanitary business_Laundry,산업_공중위생업현황_Public sanitary business_Sanitary management service,"산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Total","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Sanitary cleaning industry","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Solvent Cleaner munufacturing","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Other manufacturing industry for sanitation"
Sajik-dong,Jongno-gu,88.0,88.0,7,7,36.0,4,13.0,21,-,-,-,-
Samcheong-dong,Jongno-gu,3.0,3.0,-,-,1.0,1,1.0,-,-,-,-,-
Buam-dong,Jongno-gu,19.0,19.0,2,1,9.0,1,5.0,1,-,-,-,-
Pyeongchang-dong,Jongno-gu,39.0,39.0,2,2,23.0,1,11.0,-,-,-,-,-
Muak-dong,Jongno-gu,30.0,30.0,7,4,12.0,2,4.0,1,-,-,-,-
Gyonam-dong,Jongno-gu,26.0,26.0,5,3,9.0,1,5.0,3,-,-,-,-
Gahoe-dong,Jongno-gu,17.0,17.0,-,2,9.0,1,4.0,1,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,249.0,249.0,97,43,56.0,9,22.0,22,-,-,-,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,67.0,67.0,26,12,19.0,1,5.0,4,-,-,-,-
Ihwa-dong,Jongno-gu,20.0,20.0,-,3,9.0,-,5.0,3,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,85.0,85.0,28,11,32.0,5,6.0,3,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,25.0,25.0,4,2,16.0,-,3.0,-,-,-,-,-
Changsin 3(sam)-dong,Jongno-gu,9.0,9.0,-,-,7.0,-,2.0,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,51.0,51.0,5,10,23.0,3,6.0,4,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,50.0,50.0,32,6,6.0,1,4.0,1,-,-,-,-
Cheongunhyoja-dong,Jongno-gu,34.0,34.0,-,3,19.0,2,10.0,-,-,-,-,-
Hyehwa-dong,Jongno-gu,59.0,59.0,7,2,37.0,2,9.0,2,-,-,-,-
Sogong-dong,Jung-gu,86.0,86.0,16,16,29.0,5,5.0,15,-,-,-,-
