Dong,至穣_韻穣貢薦繕穣薄伐_Gu_Gu_Gu,至穣_韻穣貢薦繕穣薄伐_Total_No. ofestablish-ments_No. ofestablish-ments,至穣_韻穣貢薦繕穣薄伐_Total_No. ofworkers_No. ofworkers,至穣_韻穣貢薦繕穣薄伐_Total_Wages andsalaries_Wages andsalaries,至穣_韻穣貢薦繕穣薄伐_Total_Grossoutput_Grossoutput,至穣_韻穣貢薦繕穣薄伐_Total_Value of shipments_Value of shipments,至穣_韻穣貢薦繕穣薄伐_Total_Value of inventories_At beginningof year,至穣_韻穣貢薦繕穣薄伐_Total_Value of inventories_At endof year,至穣_韻穣貢薦繕穣薄伐_Total_Majorproductioncosts_Majorproductioncosts,至穣_韻穣貢薦繕穣薄伐_Total_CensusValue added_CensusValue added,至穣_韻穣貢薦繕穣薄伐_Total_Amount of tang-ible assetsat end of year_Amount of tang-ible assetsat end of year,至穣_韻穣貢薦繕穣薄伐_Mining_No. ofestablish-ments_No. ofestablish-ments,至穣_韻穣貢薦繕穣薄伐_Mining_No. ofworkers_No. ofworkers,至穣_韻穣貢薦繕穣薄伐_Mining_Wages andsalaries_Wages andsalaries,至穣_韻穣貢薦繕穣薄伐_Mining_Grossoutput_Grossoutput,至穣_韻穣貢薦繕穣薄伐_Mining_Value of shipments_Value of shipments,至穣_韻穣貢薦繕穣薄伐_Mining_Value of inventories_At beginningof year,至穣_韻穣貢薦繕穣薄伐_Mining_Value of inventories_At endof year,至穣_韻穣貢薦繕穣薄伐_Mining_Majorproductioncosts_Majorproductioncosts,至穣_韻穣貢薦繕穣薄伐_Mining_CensusValue added_CensusValue added,至穣_韻穣貢薦繕穣薄伐_Mining_Amount of tang-ible assetsat end of year_Amount of tang-ible assetsat end of year,至穣_韻穣貢薦繕穣薄伐_Manufacturing_No. ofestablish-ments_No. ofestablish-ments,至穣_韻穣貢薦繕穣薄伐_Manufacturing_No. ofworkers_No. ofworkers,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Wages andsalaries_Wages andsalaries,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Grossoutput_Grossoutput,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Value of shipments_Value of shipments,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Value of inventories_At beginningof year,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Value of inventories_At endof year,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Majorproductioncosts_Majorproductioncosts,至穣_韻穣貢薦繕穣薄伐_Manufacturing_CensusValue added_CensusValue added,至穣_韻穣貢薦繕穣薄伐_Manufacturing_Amount of tang-ible assetsat end of year_Amount of tang-ible assetsat end of year
Sajik-dong,Jongno-gu,3,43,1500,5439,5439,・,・,2018,3421,407,-,-,-,-,-,-,-,-,-,-,3,43,1500,5439,5439,・,・,2018,3421,407
Samcheong-dong,Jongno-gu,-,-,-,-,-,・,・,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・,・,-,-,-
Buam-dong,Jongno-gu,2,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,2,X,X,X,X,・,・,X,X,X
Pyeongchang-dong,Jongno-gu,1,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,1,X,X,X,X,・,・,X,X,X
Muak-dong,Jongno-gu,-,-,-,-,-,・,・,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・,・,-,-,-
Gyonam-dong,Jongno-gu,-,-,-,-,-,・,・,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・,・,-,-,-
Gahoe-dong,Jongno-gu,2,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,2,X,X,X,X,・,・,X,X,X
Jongno 1，2，3，4(ilisamsa)-ga-dong,Jongno-gu,38,2102,96783,1466677,1474626,・,・,996410,470267,208831,-,-,-,-,-,-,-,-,-,-,38,2102,96783,1466677,1474626,・,・,996410,470267,208831
Jongno 5，6(oryuk)-ga-dong,Jongno-gu,32,490,6443,51781,51795,・,・,32933,18848,1999,-,-,-,-,-,-,-,-,-,-,32,490,6443,51781,51795,・,・,32933,18848,1999
Ihwa-dong,Jongno-gu,4,88,1846,13519,13269,・,・,9979,3540,732,-,-,-,-,-,-,-,-,-,-,4,88,1846,13519,13269,・,・,9979,3540,732
Changsin 1(il)-dong,Jongno-gu,1,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,1,X,X,X,X,・,・,X,X,X
Changsin 2(i)-dong,Jongno-gu,2,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,2,X,X,X,X,・,・,X,X,X
Changsin 3(sam)-dong,Jongno-gu,-,-,-,-,-,・,・,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・,・,-,-,-
Sungin 1(il)-dong,Jongno-gu,1,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,1,X,X,X,X,・,・,X,X,X
Sungin 2(i)-dong,Jongno-gu,3,41,493,1288,1288,・,・,413,875,121,-,-,-,-,-,-,-,-,-,-,3,41,493,1288,1288,・,・,413,875,121
Cheongunhyoja-dong,Jongno-gu,1,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,1,X,X,X,X,・,・,X,X,X
Hyehwa-dong,Jongno-gu,2,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,2,X,X,X,X,・,・,X,X,X
Sogong-dong,Jung-gu,7,366,19089,57087,57030,・,・,7756,49331,1260,-,-,-,-,-,-,-,-,-,-,7,366,19089,57087,57030,・,・,7756,49331,1260
Hoehyeon-dong,Jung-gu,2,X,X,X,X,・,・,X,X,X,-,-,-,-,-,-,-,-,-,-,2,X,X,X,X,・,・,X,X,X
Myeong-dong,Jung-gu,11,351,13928,100032,99783,・,・,72020,28012,47992,-,-,-,-,-,-,-,-,-,-,11,351,13928,100032,99783,・,・,72020,28012,47992
Pil-dong,Jung-gu,75,1451,45457,234227,231866,・,・,115437,118790,88087,-,-,-,-,-,-,-,-,-,-,75,1451,45457,234227,231866,・,・,115437,118790,88087
Jangchung-dong,Jung-gu,10,174,5392,31468,30437,・,・,19679,11789,9253,-,-,-,-,-,-,-,-,-,-,10,174,5392,31468,30437,・,・,19679,11789,9253
Gwanghui-dong ,Jung-gu,53,848,22929,142993,142454,・,・,83553,59440,46326,-,-,-,-,-,-,-,-,-,-,53,848,22929,142993,142454,・,・,83553,59440,46326
Euljiro-dong,Jung-gu,50,850,25967,133827,132997,・,・,66539,67288,61108,-,-,-,-,-,-,-,-,-,-,50,850,25967,133827,132997,・,・,66539,67288,61108
Sindang 5(o)-dong,Jung-gu,7,78,1355,4781,4751,・,・,2523,2258,269,-,-,-,-,-,-,-,-,-,-,7,78,1355,4781,4751,・,・,2523,2258,269
Hwanghak-dong,Jung-gu,-,-,-,-,-,・,・,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・,・,-,-,-
Jungnim-dong,Jung-gu,3,144,1905,10051,10266,・,・,4152,5899,989,-,-,-,-,-,-,-,-,-,-,3,144,1905,10051,10266,・,・,4152,5899,989
