Dong,산업_금융기관_Autonomous Gu_Autonomous Gu_Autonomous Gu,산업_금융기관_Financial Institutions_Total_Total,산업_금융기관_Financial Institutions_Bank of Korea_Bank of Korea,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Wooribank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Standard Chartered First Bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Kookmin,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Korea Exchange bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Shinhan bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Citibank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Hanabank,산업_금융기관_Financial Institutions_Localbank_Localbank,산업_금융기관_Financial Institutions_Chartered bank_Industrial bank of korea,산업_금융기관_Financial Institutions_Chartered bank_N.A.C.F.,산업_금융기관_Financial Institutions_Chartered bank_N.F.F.C.,산업_금융기관_Financial Institutions_Chartered bank_Korea Develop-ment bank,산업_금융기관_Financial Institutions_Other banks_Exports Imports bank,산업_금융기관_Financial Institutions_Other banks_Foreign bank in korea
Sajik-dong,Jongno-gu,24.0,-,2,1,2,3,2,2,2,-,1,4,-,1,-,4
Samcheong-dong,Jongno-gu,5.0,-,2,-,-,-,-,-,1,-,-,2,-,-,-,-
Buam-dong,Jongno-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Pyeongchang-dong,Jongno-gu,5.0,-,1,-,1,1,1,-,1,-,-,-,-,-,-,-
Muak-dong,Jongno-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Gyonam-dong,Jongno-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Gahoe-dong,Jongno-gu,4.0,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,59.0,-,9,7,11,4,5,1,4,-,4,6,-,1,-,7
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,12.0,-,3,-,2,2,2,-,1,-,1,-,1,-,-,-
Ihwa-dong,Jongno-gu,6.0,-,-,-,1,-,2,-,-,-,1,2,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,5.0,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,2.0,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
