Dong,至穣_獣舌薄伐_Autonomous Gu_Autonomous Gu_Autonomous Gu,至穣_獣舌薄伐_Total_Total_place,至穣_獣舌薄伐_Total_Total_No. of shops,至穣_獣舌薄伐_Total_Total_area,至穣_獣舌薄伐_Market_Registered Market_place,至穣_獣舌薄伐_Market_Registered Market_No. of shops,至穣_獣舌薄伐_Market_Registered Market_Area,至穣_獣舌薄伐_Market_穿搭獣舌_place,至穣_獣舌薄伐_Market_穿搭獣舌_No. of shops,至穣_獣舌薄伐_Market_穿搭獣舌_Area,至穣_獣舌薄伐_Market_Arcade_place,至穣_獣舌薄伐_Market_Arcade_No. of shops,至穣_獣舌薄伐_Market_Arcade_Area
Jongno 1，2，3，4(ilisamsa)-ga-dong,Jongno-gu,6,7152,99066,3,2896,44628,2,255,5054,1,4001,49384
Jongno 5，6(oryuk)-ga-dong,Jongno-gu,6,4710,74996,2,4227,60084,3,452,10912,1,31,4000
Changsin 2(i)-dong,Jongno-gu,1,130,6452,1,130,6452,-,-,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,1,74,3210,1,74,3210,-,-,-,-,-,-
Cheongunhyoja-dong,Jongno-gu,1,77,3241,-,-,-,1,77,3241,-,-,-
Sogong-dong,Jung-gu,2,283,8699,-,-,-,1,99,5154,1,184,3545
Hoehyeon-dong,Jung-gu,5,7368,115099,3,6882,101454,2,486,13645,-,-,-
Myeong-dong,Jung-gu,5,733,18999,-,-,-,3,349,9454,2,384,9545
Gwanghui-dong ,Jung-gu,7,4597,103450,4,3957,85421,2,319,9245,1,321,8784
Euljiro-dong,Jung-gu,3,5485,120074,1,1076,42658,1,52,2314,1,4357,75102
Sindang-dong,Jung-gu,7,6918,94006,5,4270,51715,2,2648,42291,-,-,-
Yaksu-dong,Jung-gu,1,67,5954,-,-,-,1,67,5954,-,-,-
Hwanghak-dong,Jung-gu,1,582,21546,1,582,21546,-,-,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,1,101,-,-,-,-,1,101,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,1,82,4484,1,82,4484,-,-,-,-,-,-
Bogwang-dong,Yongsan-gu,1,18,3352,1,18,3352,-,-,-,-,-,-
Cheongpa-dong,Yongsan-gu,1,31,7682,1,31,7682,-,-,-,-,-,-
Majang-dong,Seongdong-gu,1,1550,26313,-,-,-,1,1550,26313,-,-,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,1,131,5141,1,131,5141,-,-,-,-,-,-
Yongdap-dong,Seongdong-gu,1,183,29118,-,-,-,1,183,29118,-,-,-
WangsimniDoseon-dong,Seongdong-gu,1,62,-,-,-,-,-,-,-,1,62,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,1,113,1283,1,113,1283,-,-,-,-,-,-
Hwayang-dong,Gwangjin-gu,2,・,・,1,・,・,1,・,11281,-,-,-
Gunja-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Junggok 1(il)-dong,Gwangjin-gu,3,・,・,2,・,・,1,・,14684,-,-,-
Junggok 2(i)-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Junggok 3(sam)-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Junggok 4(sa)-dong,Gwangjin-gu,1,・,・,1,・,・,-,・,-,-,-,-
Neung-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Guui 1(il)-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Guui 2(i)-dong,Gwangjin-gu,1,・,・,1,・,・,-,・,-,-,-,-
Guui 3(sam)-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Gwangjang-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
Jayang 1(il)-dong,Gwangjin-gu,1,・,・,-,・,・,1,・,16400,-,-,-
Jayang 2(i)-dong,Gwangjin-gu,-,・,・,-,・,・,-,・,-,-,-,-
