Dong,至穣_縦念是持穣薄伐_Gu_Gu,至穣_縦念是持穣薄伐_Total_Total,至穣_縦念是持穣薄伐_Food Premises_Sub Total,至穣_縦念是持穣薄伐_Food Premises_Restaurants,至穣_縦念是持穣薄伐_Food Premises_General restaurant,至穣_縦念是持穣薄伐_Food Premises_Bakeries,至穣_縦念是持穣薄伐_Food Premises_Public barkaraokes,至穣_縦念是持穣薄伐_Food Premises_Amusement restaurant,至穣_縦念是持穣薄伐_Food Premises_Contracted catering service,至穣_縦念是持穣薄伐_Food service_Food service,至穣_縦念是持穣薄伐_Food manufacturing and processing business_Sub Total,至穣_縦念是持穣薄伐_Food manufacturing and processing business_Food manu-facturing and processing,至穣_縦念是持穣薄伐_Food manufacturing and processing business_Instant sale manufacturing and processing,至穣_縦念是持穣薄伐_Food manufacturing and processing business_Food additives,"至穣_縦念是持穣薄伐_Food sales, tran portation, others_Sub Total","至穣_縦念是持穣薄伐_Food sales, tran portation, others_Food transportation","至穣_縦念是持穣薄伐_Food sales, tran portation, others_Food sales","至穣_縦念是持穣薄伐_Food sales, tran portation, others_Food preservation","至穣_縦念是持穣薄伐_Food sales, tran portation, others_Container, packaging manufacturing","至穣_縦念是持穣薄伐_An aid to good health manufacturing, _Sub Total","至穣_縦念是持穣薄伐_An aid to good health manufacturing, _Functional  food income","至穣_縦念是持穣薄伐_An aid to good health manufacturing, _Functional  food sales","至穣_縦念是持穣薄伐_An aid to good health manufacturing, _Functional food manufacturing"
Sajik-dong,Jongno-gu,1425,1175,161,962,13,12,16,11,25,19,4,15,-,138,-,138,-,-,68,-,68,-
Samcheong-dong,Jongno-gu,360,316,76,232,5,-,-,3,7,1,-,1,-,28,-,28,-,-,8,-,8,-
Buam-dong,Jongno-gu,228,183,51,122,6,-,-,4,9,7,1,6,-,16,-,16,-,-,13,1,12,-
Pyeongchang-dong,Jongno-gu,286,218,43,159,7,6,2,1,8,8,-,8,-,28,-,28,-,-,24,1,23,-
Muak-dong,Jongno-gu,106,71,8,61,2,-,-,-,6,8,-,8,-,8,-,8,-,-,13,-,13,-
Gyonam-dong,Jongno-gu,210,150,23,114,4,3,5,1,4,6,2,4,-,38,-,38,-,-,12,1,11,-
Gahoe-dong,Jongno-gu,287,233,38,184,6,1,1,3,9,7,-,7,-,27,-,27,-,-,11,1,10,-
Jongno 1，2，3，4(ilisamsa)-ga-dong,Jongno-gu,3257,2702,373,2095,33,93,91,17,31,35,7,28,-,317,-,317,-,-,172,1,171,-
Jongno 5，6(oryuk)-ga-dong,Jongno-gu,825,680,74,504,8,9,81,4,9,21,3,18,-,58,-,58,-,-,57,1,56,-
Ihwa-dong,Jongno-gu,547,446,74,359,7,-,-,6,17,6,1,5,-,50,-,49,-,1,28,1,27,-
Changsin 1(il)-dong,Jongno-gu,502,386,42,328,2,4,10,-,7,37,7,30,-,38,-,38,-,-,34,-,34,-
Changsin 2(i)-dong,Jongno-gu,98,78,7,67,4,-,-,-,2,4,1,3,-,5,-,5,-,-,9,1,8,-
Changsin 3(sam)-dong,Jongno-gu,39,31,7,22,1,-,1,-,2,-,-,-,-,1,-,1,-,-,5,-,5,-
Sungin 1(il)-dong,Jongno-gu,412,310,31,253,4,7,13,2,7,17,-,17,-,39,-,39,-,-,39,1,38,-
Sungin 2(i)-dong,Jongno-gu,136,90,6,77,-,5,2,-,2,4,-,4,-,21,-,21,-,-,19,1,18,-
Cheongunhyoja-dong,Jongno-gu,309,223,54,160,4,-,-,5,24,16,2,14,-,33,-,33,-,-,13,-,13,-
Hyehwa-dong,Jongno-gu,921,786,96,674,11,-,-,5,17,23,6,17,-,57,-,57,-,-,38,-,38,-
Sogong-dong,Jung-gu,1241,938,241,605,31,19,34,8,20,60,5,55,-,131,1,130,-,-,92,1,91,-
Hoehyeon-dong,Jung-gu,1766,1182,408,704,28,8,17,17,20,94,3,91,-,205,1,204,-,-,265,4,261,-
Myeong-dong,Jung-gu,2098,1647,393,1145,25,17,44,23,45,40,7,33,-,184,1,183,-,-,182,8,174,-
Pil-dong,Jung-gu,808,630,99,481,7,3,34,6,15,6,3,3,-,95,-,90,-,5,62,3,59,-
Jangchung-dong,Jung-gu,237,157,17,133,3,2,-,2,5,3,1,2,-,46,-,45,-,1,26,-,26,-
Gwanghui-dong ,Jung-gu,1150,834,162,591,10,9,55,7,10,39,6,33,-,176,1,161,-,14,91,3,88,-
Euljiro-dong,Jung-gu,894,659,117,471,5,11,51,4,9,13,3,10,-,158,-,147,-,11,55,4,51,-
Sindang 5(o)-dong,Jung-gu,240,179,26,141,1,7,3,1,4,13,3,10,-,35,-,35,-,-,9,9,-,-
Hwanghak-dong,Jung-gu,518,341,41,273,6,8,11,2,4,108,26,82,-,46,-,46,-,-,19,2,17,-
Jungnim-dong,Jung-gu,299,234,35,183,3,4,5,4,9,15,2,13,-,31,-,31,-,-,10,10,-,-
Sindang-dong,Jung-gu,940,714,127,555,11,8,7,6,15,52,3,49,-,82,-,79,-,3,77,1,76,-
Dasan-dong,Jung-gu,207,121,18,98,3,1,-,1,6,10,6,4,-,44,-,44,-,-,26,-,26,-
Yaksu-dong,Jung-gu,195,105,16,86,1,2,-,-,8,13,2,11,-,31,-,31,-,-,38,-,38,-
Cheonggu-dong,Jung-gu,129,74,13,56,3,2,-,-,6,3,1,2,-,21,-,21,-,-,25,-,25,-
Donghwa-dong,Jung-gu,144,100,25,73,-,2,-,-,4,3,-,3,-,15,-,14,-,1,22,-,22,-
Huam-dong,Yongsan-gu,・,159,26,128,3,1,-,1,12,・,1,・,-,-,-,-,-,-,・,・,・,-
Yongsan 2-ga-dong,Yongsan-gu,・,126,20,99,4,-,-,3,8,・,3,・,-,-,-,-,-,-,・,・,・,-
Namyeong-dong,Yongsan-gu,・,434,66,339,6,11,8,4,8,・,3,・,-,1,-,-,-,1,・,・,・,-
Wonhyoro 2(i)-dong,Yongsan-gu,・,132,19,102,2,4,1,4,11,・,3,・,-,3,1,-,-,2,・,・,・,-
Hyochang-dong,Yongsan-gu,・,65,19,44,2,-,-,-,7,・,-,・,-,3,1,1,-,1,・,・,・,-
Yongmun-dong,Yongsan-gu,・,115,18,91,5,1,-,-,4,・,3,・,-,-,-,-,-,-,・,・,・,-
Ichon 1(il)-dong,Yongsan-gu,・,250,49,189,7,2,1,2,15,・,1,・,-,-,-,-,-,-,・,・,・,-
Ichon 2(i)-dong,Yongsan-gu,・,13,2,10,1,-,-,-,-,・,-,・,-,-,-,-,-,-,・,・,・,-
Itaewon 1(il)-dong,Yongsan-gu,・,704,68,597,6,23,9,1,10,・,3,・,-,-,-,-,-,-,・,・,・,-
Itaewon 2(i)-dong,Yongsan-gu,・,91,8,80,-,1,1,1,2,・,2,・,-,-,-,-,-,-,・,・,・,-
Seobinggo-dong,Yongsan-gu,・,72,12,58,-,2,-,-,6,・,4,・,-,-,-,-,-,-,・,・,・,-
Bogwang-dong,Yongsan-gu,・,171,8,156,2,4,-,1,6,・,2,・,-,-,-,-,-,-,・,・,・,-
Cheongpa-dong,Yongsan-gu,・,413,71,326,5,6,-,5,16,・,7,・,-,-,-,-,-,-,・,・,・,-
Wonhyoro 1(il)-dong,Yongsan-gu,・,319,34,262,4,11,6,2,7,・,5,・,-,1,-,1,-,-,・,・,・,-
Hangangno-dong,Yongsan-gu,・,731,160,527,11,23,3,7,19,・,5,・,-,-,-,-,-,-,・,・,・,-
Hannam-dong,Yongsan-gu,・,615,68,481,14,39,6,7,17,・,5,・,-,-,-,-,-,-,・,・,・,-
Wangsimni 2(i)-dong,Seongdong-gu,109,72,9,57,5,1,-,-,6,5,-,5,-,15,-,15,-,-,11,1,10,-
Majang-dong,Seongdong-gu,324,211,19,184,4,3,1,-,17,24,11,13,-,51,1,50,-,-,21,1,20,-
Sageun-dong,Seongdong-gu,407,342,34,291,5,1,2,9,19,11,1,10,-,21,-,21,-,-,14,1,13,-
Haengdang 1(il)-dong,Seongdong-gu,486,345,93,237,8,2,-,5,17,34,5,29,-,40,-,40,-,-,50,1,49,-
Haengdang 2(i)-dong,Seongdong-gu,146,78,22,47,7,1,-,1,8,22,1,21,-,12,-,12,-,-,26,-,26,-
Eungbong-dong,Seongdong-gu,81,46,8,35,3,-,-,-,6,6,2,4,-,10,-,10,-,-,13,-,13,-
Geumho 1(il)-ga-dong,Seongdong-gu,131,91,10,75,2,4,-,-,10,8,2,6,-,9,-,9,-,-,13,-,13,-
Geumho 4(sa)-ga-dong,Seongdong-gu,156,111,14,94,2,1,-,-,8,9,-,9,-,13,-,13,-,-,15,1,14,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,340,242,25,206,5,3,-,3,14,21,9,12,-,31,-,30,-,1,32,1,31,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,253,162,29,125,3,1,-,4,8,17,7,10,-,45,1,40,-,4,21,2,19,-
