Dong,산업_유통업체현황_Gu_Gu_Gu_Gu,산업_유통업체현황_Total_Total_Number_Number,산업_유통업체현황_Total_Total_Floor space_Business,산업_유통업체현황_Total_Total_Floor space_Store,산업_유통업체현황_Total_Total_Floor space_Establish ment,산업_유통업체현황_Discounter Store_Discounter Store_Number_Number,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Business,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Store,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Establish ment,산업_유통업체현황_Department Store_Department Store_Number_Number,산업_유통업체현황_Department Store_Department Store_Floor space_Business,산업_유통업체현황_Department Store_Department Store_Floor space_Store,산업_유통업체현황_Department Store_Department Store_Floor space_Establish ment,산업_유통업체현황_Specialty Store_Specialty Store_Number_Number,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Business,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Store,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Establish ment,산업_유통업체현황_Shopping centers_Shopping centers_Number_Number,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Business,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Store,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Establish ment,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Number_Number,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Business,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Store,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Establish ment
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,5,45728,37027,352195,-,-,-,-,-,-,-,-,4,38998,30077,268394,-,-,-,-,1,6730,6950,83801
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,6,35851,72853,124515,-,-,-,-,-,-,-,-,-,-,-,-,3,20718,49415,56174,3,15133,23438,68341
Changsin 1(il)-dong,Jongno-gu,1,2492,3393,16754,-,-,-,-,-,-,-,-,1,2492,3393,16754,-,-,-,-,-,-,-,-
Sogong-dong,Jung-gu,2,94972,73696,367631,-,-,-,-,2,94972,73696,367631,-,-,-,-,-,-,-,-,-,-,-,-
Hoehyeon-dong,Jung-gu,9,191973,132985,276908,1,18707,10618,26069,1,18549,12976,18549,-,-,-,-,3,58471,31836,88415,4,96246,77555,143875
Myeong-dong,Jung-gu,7,87026,57975,166823,-,-,-,-,-,-,-,-,-,-,-,-,1,9041,5545,27421,6,77985,52430,139402
Gwanghui-dong ,Jung-gu,12,345363,200884,579808,-,-,-,-,-,-,-,-,-,-,-,-,2,89017,46999,131532,10,256346,153885,448276
Euljiro-dong,Jung-gu,2,33683,25567,47900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,33683,25567,47900
Hwanghak-dong,Jung-gu,3,149912,57844,789595,1,26276,15861,382536,-,-,-,-,-,-,-,-,-,-,-,-,2,123636,41983,407059
Jungnim-dong,Jung-gu,1,2182,754,4958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2182,754,4958
