Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Sajik-dong,Jongno-gu,56,344,32,488,3,8,-,-,17,89,1,1,-,-
Samcheong-dong,Jongno-gu,7,24,5,9,-,-,1,3,1,1,1,1,-,-
Buam-dong,Jongno-gu,4,13,-,-,-,-,-,-,1,4,-,-,-,-
Pyeongchang-dong,Jongno-gu,6,17,5,22,-,-,-,-,-,-,-,-,-,-
Muak-dong,Jongno-gu,1,1,-,-,-,-,-,-,2,6,-,-,-,-
Gyonam-dong,Jongno-gu,5,12,-,-,-,-,-,-,1,3,-,-,-,-
Gahoe-dong,Jongno-gu,8,31,1,4,-,-,-,-,2,7,1,1,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,89,972,48,1357,5,10,3,10,64,288,10,26,-,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,22,480,18,116,-,-,-,-,5,8,4,5,-,-
Ihwa-dong,Jongno-gu,15,167,10,34,1,1,-,-,1,2,2,31,-,-
Changsin 1(il)-dong,Jongno-gu,4,16,-,-,1,2,1,2,90,165,5,17,-,-
Sungin 1(il)-dong,Jongno-gu,2,4,1,1,1,2,-,-,2,8,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,8,10,4,8,-,-,-,-,8,14,1,3,-,-
Cheongunhyoja-dong,Jongno-gu,7,20,3,17,-,-,1,2,2,11,1,2,-,-
Hyehwa-dong,Jongno-gu,14,294,3,38,-,-,-,-,1,2,-,-,-,-
