Dong,세금_지방세징수_2012_Gu_Gu_Gu,세금_지방세징수_2012_total_total_total,세금_지방세징수_2012_total_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_total_Gu taxes_Gu taxes,세금_지방세징수_2012_General tax_Metropolitan City taxes_Acquisition tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Leisure tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Auto mobile tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Tobacco Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Property tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Income tax,세금_지방세징수_2012_General tax_Gu taxes_Registration license tax,세금_지방세징수_2012_General tax_Gu taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Gu taxes_Property tax,세금_지방세징수_2012_General tax_Gu taxes_Aggregate Land tax,세금_지방세징수_2012_General tax_Gu taxes_Local Income tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Regional Resource Facility tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Local Education tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_City Planning tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Group Facilities tax,세금_지방세징수_2012_Objective taxes_Gu taxes_Business Office tax,세금_지방세징수_2012_Revenue from previous year_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_Revenue from previous year_Gu taxes_Gu taxes
Sajik-dong,Jongno-gu,84998,70579.0,14419,13129.0,-,270,1387.0,-,11872,-,36875,2259,2,12048,-,-2,1169,5301.0,-,-,-4,576.0,116
Samcheong-dong,Jongno-gu,13835,11108.0,2727,1508.0,-,53,186.0,-,2255,-,5826,428,1,2289,-,-,222,1007.0,-,-,-1,51.0,10
Buam-dong,Jongno-gu,13909,11784.0,2125,2647.0,-,51,651.0,-,1592,-,5817,478,-,1615,-,-,157,711.0,-,-,-,158.0,32
Pyeongchang-dong,Jongno-gu,32937,27353.0,5584,8935.0,-,91,1604.0,-,4576,-,9312,872,1,4644,-2,-,451,2043.0,-,-,-,341.0,69
Muak-dong,Jongno-gu,9127,7536.0,1591,1305.0,-,30,493.0,-,1194,-,3762,360,-,1212,-,-,118,533.0,-,-,-1,101.0,20
Gyonam-dong,Jongno-gu,13268,10784.0,2484,1747.0,-,52,325.0,-,1791,-,5801,649,-,1817,-,-,176,800.0,-,-,-1,92.0,19
Gahoe-dong,Jongno-gu,18751,16544.0,2207,3864.0,-,90,309.0,-,1791,-,9415,370,-,1817,-,-,176,800.0,-,-,-,99.0,20
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,193980,164524.0,29456,36483.0,-,869,1420.0,-,24936,-,85898,3880,5,25309,-,-3,2454,11131.0,-,-,-6,1333.0,271
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,78292,72977.0,5315,10949.0,-,427,583.0,-,4311,-,54265,925,2,4375,-1,-2,424,1925.0,-,-,-3,93.0,19
Ihwa-dong,Jongno-gu,20860,18667.0,2193,3662.0,-,113,357.0,-,1791,-,11664,355,1,1817,-,-1,176,800.0,-,-,-,104.0,21
Changsin 1(il)-dong,Jongno-gu,20469,17231.0,3238,1292.0,-,145,219.0,-,1857,-,12622,1338,1,1885,-,-1,183,829.0,-,-,-2,84.0,17
Changsin 2(i)-dong,Jongno-gu,10068,9199.0,869,809.0,-,55,276.0,-,597,-,7065,250,-,606,-1,-,59,267.0,-,-,-,71.0,14
Changsin 3(sam)-dong,Jongno-gu,7243,6510.0,733,799.0,-,34,356.0,-,464,-,4552,251,-,471,-,-,46,207.0,-,-,-,52.0,11
Sungin 1(il)-dong,Jongno-gu,8532,7353.0,1179,750.0,-,48,279.0,-,730,-,5092,428,1,740,-,-,72,326.0,-,-,-1,56.0,11
Sungin 2(i)-dong,Jongno-gu,26603,24144.0,2459,3815.0,4909,118,389.0,-,2056,-,11661,357,1,2087,-,-1,202,918.0,-,-,-,76.0,15
Cheongunhyoja-dong,Jongno-gu,19314,16833.0,2481,3598.0,-,86,732.0,-,2056,-,9032,351,1,2087,-,-,202,918.0,-,-,-,209.0,42
Hyehwa-dong,Jongno-gu,24340,21341.0,2999,3824.0,-,145,731.0,-,2454,-,12689,479,2,2490,-,-2,242,1096.0,-,-,-3,160.0,33
Sogong-dong,Jung-gu,357167,327602.0,29565,13502.0,-,422,1807.0,-,21770,-,278836,9186,2,20320,-,-,2598,8171.0,-,-,-2,496.0,59
Hoehyeon-dong,Jung-gu,261845,250643.0,11203,19495.0,-,520,2427.0,-,10452,-,209012,2038,2,9066,-,-,1648,6856.0,-,-,-,233.0,98
