Dong,외국인_등록외국인현황체류자격별_Period,외국인_등록외국인현황체류자격별_Gu,외국인_등록외국인현황체류자격별_Total,외국인_등록외국인현황체류자격별_문화예술(D-1),외국인_등록외국인현황체류자격별_유학(D-2),외국인_등록외국인현황체류자격별_산업연수(D-3),외국인_등록외국인현황체류자격별_일반연수(D-4),외국인_등록외국인현황체류자격별_취재(D-5),외국인_등록외국인현황체류자격별_종교(D-6),외국인_등록외국인현황체류자격별_상사주재(D-7),외국인_등록외국인현황체류자격별_기업투자(D-8),외국인_등록외국인현황체류자격별_무역경영(D-9),외국인_등록외국인현황체류자격별_구직(D-10),외국인_등록외국인현황체류자격별_교수(E-1),외국인_등록외국인현황체류자격별_회화지도(E-2),외국인_등록외국인현황체류자격별_연구(E-3),외국인_등록외국인현황체류자격별_기술지도(E-4),외국인_등록외국인현황체류자격별_전문직업(E-5),외국인_등록외국인현황체류자격별_예술흥행(E-6),외국인_등록외국인현황체류자격별_특정활동(E-7),외국인_등록외국인현황체류자격별_비전문취업(E-9),외국인_등록외국인현황체류자격별_선원취업(E-10),외국인_등록외국인현황체류자격별_방문동거(F-1),외국인_등록외국인현황체류자격별_거주(F-2),외국인_등록외국인현황체류자격별_동반(F-3),외국인_등록외국인현황체류자격별_영주(F-5),외국인_등록외국인현황체류자격별_결혼이민(F-6),외국인_등록외국인현황체류자격별_기타(G-1),외국인_등록외국인현황체류자격별_관광취업(H-1),외국인_등록외국인현황체류자격별_방문취업(H-2)
Sajik-dong,2014.1/4,Jongno-gu,393.0,1,15,-,11,13,5,10,22,7,4,7,8,-,-,-,5,119,6,-,22,14,52,28,15,9,1,19
Samcheong-dong,2014.1/4,Jongno-gu,142.0,-,3,-,-,1,47,1,2,1,-,-,1,-,-,-,-,26,-,-,18,4,9,10,7,2,-,10
Buam-dong,2014.1/4,Jongno-gu,396.0,-,218,-,5,-,-,1,1,1,6,1,3,3,-,-,1,77,1,-,11,5,10,14,22,4,1,11
Pyeongchang-dong,2014.1/4,Jongno-gu,222.0,-,7,-,1,1,2,1,10,1,2,5,8,2,-,-,-,15,3,-,41,14,28,35,35,4,-,7
Muak-dong,2014.1/4,Jongno-gu,51.0,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,1,1,-,3,5,9,10,8,1,-,7
Gyonam-dong,2014.1/4,Jongno-gu,96.0,-,5,2,-,-,-,-,1,-,2,-,7,-,-,-,-,1,6,-,4,8,-,19,11,3,1,26
Gahoe-dong,2014.1/4,Jongno-gu,133.0,-,6,-,1,-,-,3,13,5,-,-,1,-,-,-,-,9,2,-,16,10,26,24,9,-,-,8
Jongno 1·2·3·4(ilisamsa)-ga-dong,2014.1/4,Jongno-gu,955.0,1,37,-,9,4,24,47,74,151,4,15,34,-,-,-,2,131,19,-,34,38,137,53,28,10,11,92
Jongno 5·6(oryuk)-ga-dong,2014.1/4,Jongno-gu,314.0,-,19,-,5,-,4,1,2,4,2,-,2,-,-,-,-,20,9,-,18,14,10,46,21,12,6,119
Ihwa-dong,2014.1/4,Jongno-gu,440.0,-,165,-,66,-,-,-,2,2,10,6,5,4,-,-,1,24,1,-,12,21,23,25,24,2,3,44
