Dong,의료_의료기관_Gu_Gu,의료_의료기관_Total_Number,의료_의료기관_Total_Beds,의료_의료기관_General hospitals_Number,의료_의료기관_General hospitals_Beds,의료_의료기관_Hospitals_Number,의료_의료기관_Hospitals_Beds,의료_의료기관_Clinics_Number,의료_의료기관_Clinics_Beds,의료_의료기관_Attached clinics_Number,의료_의료기관_Attached clinics_Beds,의료_의료기관_Long-term hospitals_Number,의료_의료기관_Long-term hospitals_Beds,의료_의료기관_Nursing Home _Number,의료_의료기관_Nursing Home _Beds,의료_의료기관_tuberculosis hospital_Number,의료_의료기관_tuberculosis hospital_Beds,의료_의료기관_mental hospital_Number,의료_의료기관_mental hospital_Beds,의료_의료기관_Dental hospital_Number,의료_의료기관_Dental hospital_Beds,의료_의료기관_Dental clinics_Number,의료_의료기관_Dental clinics_Beds,의료_의료기관_Oriental medicine hotpital_Number,의료_의료기관_Oriental medicine hotpital_Beds,의료_의료기관_Oriental medicine clinics_Number,의료_의료기관_Oriental medicine clinics_Beds,의료_의료기관_Midwife clinics_Number,의료_의료기관_Midwife clinics_Beds
Sajik-dong,Jongno-gu,76,11,-,-,-,-,25,11,2,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,18,-,-,-
Samcheong-dong,Jongno-gu,8,30,-,-,1,30,2,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-
Buam-dong,Jongno-gu,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Pyeongchang-dong,Jongno-gu,13,88,-,-,1,87,6,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Muak-dong,Jongno-gu,7,207,1,207,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Gyonam-dong,Jongno-gu,6,929,2,929,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
Gahoe-dong,Jongno-gu,11,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,140,61,-,-,-,-,48,30,2,-,-,-,-,-,-,-,-,-,-,-,62,-,1,31,27,-,-,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,89,3,-,-,-,-,17,3,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,42,-,-,-
Ihwa-dong,Jongno-gu,10,1761,1,1719,-,-,5,2,-,-,-,-,-,-,-,-,-,-,1,40,3,-,-,-,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,28,48,-,-,-,-,17,48,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Changsin 2(i)-dong,Jongno-gu,12,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6,-,-,-
Changsin 3(sam)-dong,Jongno-gu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,15,30,-,-,-,-,7,30,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
Sungin 2(i)-dong,Jongno-gu,11,3,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Cheongunhyoja-dong,Jongno-gu,12,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
Hyehwa-dong,Jongno-gu,32,17,-,-,-,-,14,17,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
Sogong-dong,Jung-gu,68,10,-,-,-,-,18,10,9,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,10,-,-,-
Hoehyeon-dong,Jung-gu,54,5,-,-,-,-,20,5,3,-,-,-,-,-,-,-,-,-,1,-,22,-,-,-,8,-,-,-
Myeong-dong,Jung-gu,154,11,-,-,-,-,61,11,6,-,-,-,-,-,-,-,-,-,3,-,54,-,-,-,30,-,-,-
Pil-dong,Jung-gu,24,330,1,330,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,4,-,-,-
Jangchung-dong,Jung-gu,7,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Gwanghui-dong ,Jung-gu,34,522,1,522,-,-,13,-,-,-,-,-,-,-,-,-,-,-,1,-,16,-,-,-,3,-,-,-
Euljiro-dong,Jung-gu,42,354,1,351,-,-,12,3,-,-,-,-,-,-,-,-,-,-,1,-,21,-,-,-,7,-,-,-
Sindang 5(o)-dong,Jung-gu,26,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,8,-,-,-
Hwanghak-dong,Jung-gu,16,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,2,-,-,-
Jungnim-dong,Jung-gu,17,26,-,-,-,-,4,26,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
Sindang-dong,Jung-gu,27,19,-,-,-,-,13,19,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,4,-,-,-
Dasan-dong,Jung-gu,22,62,-,-,-,-,12,62,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,4,-,-,-
Yaksu-dong,Jung-gu,35,236,-,-,2,218,13,18,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,7,-,-,-
Cheonggu-dong,Jung-gu,8,23,-,-,-,-,2,23,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Donghwa-dong,Jung-gu,15,22,-,-,-,-,7,22,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
Huam-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,-,-
Yongsan 2-ga-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Namyeong-dong,Yongsan-gu,…,11,-,-,-,-,…,11,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,4,-,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Hyochang-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
Yongmun-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-
Ichon 1(il)-dong,Yongsan-gu,…,80,-,-,1,80,…,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,6,-,-,-
Ichon 2(i)-dong,Yongsan-gu,…,-,-,-,-,-,…,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
