Dong,의료_의료기관종사의료인력_Autonomous Gu_Autonomous Gu,의료_의료기관종사의료인력_Total_Total,의료_의료기관종사의료인력_Physicians_Full－time,의료_의료기관종사의료인력_Physicians_Part－time,의료_의료기관종사의료인력_Dentists_Dentists,의료_의료기관종사의료인력_Oriental medical doctors_Oriental medical doctors,의료_의료기관종사의료인력_Pharmacists_Pharmacists,의료_의료기관종사의료인력_Midwives_Midwives,의료_의료기관종사의료인력_Nurses_Nurses,의료_의료기관종사의료인력_Nurse aids_Nurse aids,의료_의료기관종사의료인력_Medical technicians_Medical technicians,의료_의료기관종사의료인력_Medical record technicians_Medical record technicians
Sajik-dong,Jongno-gu,204,38,-,28,22,-,-,43,43,30,-
Samcheong-dong,Jongno-gu,83,30,-,7,1,1,-,16,11,16,1
Buam-dong,Jongno-gu,16,-,-,2,2,-,-,4,6,2,-
Pyeongchang-dong,Jongno-gu,75,12,-,4,3,1,-,9,15,30,1
Muak-dong,Jongno-gu,211,35,-,3,1,2,-,122,15,32,1
Gyonam-dong,Jongno-gu,1745,431,-,19,4,22,2,629,441,191,6
Gahoe-dong,Jongno-gu,25,2,-,3,6,-,-,-,11,3,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,447,75,-,71,33,-,-,64,124,80,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,213,25,-,26,44,-,-,1,86,31,-
Ihwa-dong,Jongno-gu,4483,1322,-,224,-,129,4,2407,38,339,20
Changsin 1(il)-dong,Jongno-gu,60,21,-,7,5,-,-,5,13,9,-
Changsin 2(i)-dong,Jongno-gu,34,3,-,3,6,-,-,-,19,3,-
Changsin 3(sam)-dong,Jongno-gu,3,-,-,1,-,-,-,-,1,1,-
Sungin 1(il)-dong,Jongno-gu,29,7,-,4,4,-,-,-,10,4,-
Sungin 2(i)-dong,Jongno-gu,50,7,-,3,5,-,-,-,32,3,-
Cheongunhyoja-dong,Jongno-gu,65,9,-,5,5,-,-,1,38,7,-
Hyehwa-dong,Jongno-gu,102,21,-,10,10,-,-,1,46,14,-
Sogong-dong,Jung-gu,373,71,-,48,19,-,-,95,57,83,-
Hoehyeon-dong,Jung-gu,212,37,-,30,15,-,-,20,60,50,-
Myeong-dong,Jung-gu,592,102,-,95,26,-,-,75,169,125,-
Pil-dong,Jung-gu,220,162,-,18,4,-,-,6,20,10,-
Jangchung-dong,Jung-gu,637,4,-,11,2,6,-,375,136,98,5
Gwanghui-dong ,Jung-gu,859,210,-,42,6,-,6,357,67,150,21
Euljiro-dong,Jung-gu,745,180,-,31,9,22,3,308,82,104,6
Sindang 5(o)-dong,Jung-gu,83,12,-,8,11,-,-,6,31,15,-
Hwanghak-dong,Jung-gu,47,7,-,17,1,-,-,8,8,6,-
Jungnim-dong,Jung-gu,53,3,-,12,9,-,-,4,16,9,-
Sindang-dong,Jung-gu,75,18,-,11,6,-,-,10,20,10,-
Dasan-dong,Jung-gu,109,13,-,10,7,-,-,9,40,30,-
Yaksu-dong,Jung-gu,365,71,-,18,10,1,-,109,98,54,4
Cheonggu-dong,Jung-gu,72,2,-,6,8,-,-,9,25,22,-
Donghwa-dong,Jung-gu,52,7,-,3,4,-,-,10,17,11,-
Huam-dong,Yongsan-gu,44,7,-,5,8,-,-,-,19,5,-
Yongsan 2-ga-dong,Yongsan-gu,16,4,-,2,1,-,-,-,7,2,-
Namyeong-dong,Yongsan-gu,101,14,-,21,8,-,-,12,32,14,-
Wonhyoro 2(i)-dong,Yongsan-gu,19,3,-,3,-,-,-,-,6,7,-
Hyochang-dong,Yongsan-gu,32,6,-,6,2,-,-,-,14,4,-
Yongmun-dong,Yongsan-gu,37,2,-,6,6,-,-,-,14,9,-
Ichon 1(il)-dong,Yongsan-gu,278,44,-,17,7,1,-,52,46,110,1
Ichon 2(i)-dong,Yongsan-gu,4,1,-,-,-,-,-,1,2,-,-
Itaewon 1(il)-dong,Yongsan-gu,34,3,-,8,4,-,-,1,15,3,-
Itaewon 2(i)-dong,Yongsan-gu,25,5,-,5,2,-,-,1,8,4,-
Seobinggo-dong,Yongsan-gu,3,1,-,-,-,-,-,1,1,-,-
Bogwang-dong,Yongsan-gu,56,12,-,8,5,-,-,-,25,6,-
Cheongpa-dong,Yongsan-gu,237,47,-,7,6,4,-,86,35,51,1
Wonhyoro 1(il)-dong,Yongsan-gu,46,12,-,6,1,-,5,1,16,5,-
Hangangno-dong,Yongsan-gu,120,12,-,23,17,-,-,4,28,35,1
Hannam-dong,Yongsan-gu,1345,337,-,16,7,20,7,602,154,193,9
Wangsimni 2(i)-dong,Seongdong-gu,53,9,-,5,3,-,-,-,18,18,-
Majang-dong,Seongdong-gu,70,16,-,8,3,-,-,4,15,24,-
Sageun-dong,Seongdong-gu,28,2,-,2,1,-,-,1,9,13,-
Haengdang 1(il)-dong,Seongdong-gu,1480,588,-,19,8,24,-,605,57,167,12
Haengdang 2(i)-dong,Seongdong-gu,129,17,-,15,7,-,-,30,31,29,-
Eungbong-dong,Seongdong-gu,27,2,-,3,3,-,-,-,7,12,-
Geumho 1(il)-ga-dong,Seongdong-gu,50,11,-,4,3,-,-,-,15,17,-
Geumho 4(sa)-ga-dong,Seongdong-gu,75,15,-,11,7,-,-,-,26,16,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,41,5,-,4,3,-,-,-,13,16,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,54,2,-,10,3,-,-,-,18,21,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,92,16,-,12,4,-,-,5,28,27,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,146,19,-,11,7,2,-,37,33,37,-
Songjeong-dong,Seongdong-gu,62,7,-,-,1,1,-,10,19,24,-
Yongdap-dong,Seongdong-gu,156,34,-,15,7,1,-,31,34,33,1
WangsimniDoseon-dong,Seongdong-gu,134,18,-,19,11,1,-,12,30,43,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,123,19,-,7,11,1,-,4,49,32,-
Oksu-dong,Seongdong-gu,79,13,-,10,7,-,-,2,25,22,-
Hwayang-dong,Gwangjin-gu,1399,445,-,24,5,6,-,704,105,95,15
Gunja-dong,Gwangjin-gu,124,44,-,8,8,-,-,16,23,24,1
Junggok 1(il)-dong,Gwangjin-gu,90,18,-,7,5,-,-,11,27,21,1
Junggok 2(i)-dong,Gwangjin-gu,143,32,-,11,10,-,-,9,38,43,-
Junggok 3(sam)-dong,Gwangjin-gu,470,69,-,8,7,5,-,137,150,94,-
Junggok 4(sa)-dong,Gwangjin-gu,122,18,-,11,8,-,-,8,49,28,-
Neung-dong,Gwangjin-gu,93,18,-,7,5,-,-,5,26,32,-
Guui 1(il)-dong,Gwangjin-gu,108,12,-,9,14,-,-,7,55,10,1
Guui 2(i)-dong,Gwangjin-gu,114,6,-,10,6,-,-,6,40,46,-
Guui 3(sam)-dong,Gwangjin-gu,197,22,-,19,12,-,-,24,66,54,-
Gwangjang-dong,Gwangjin-gu,152,27,-,16,5,-,-,10,53,41,-
Jayang 1(il)-dong,Gwangjin-gu,519,50,-,17,14,2,-,118,159,155,4
Jayang 2(i)-dong,Gwangjin-gu,138,10,-,12,4,-,-,8,67,37,-
Jayang 3(sam)-dong,Gwangjin-gu,113,14,-,8,9,-,-,25,43,14,-
Jayang 4(sa)-dong,Gwangjin-gu,125,27,-,10,8,-,-,14,31,35,-
Hoegi-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Hwigyeong 1(il)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Hwigyeong 2(i)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Cheongnyangni-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Yongsin-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Jegi-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Jeonnong 1(il)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Jeonnong 2(i)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Dapsimni 1(il)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Dapsimni 2(i)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Jangan 1(il)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Jangan 2(i)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Imun 1(il)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Imun 2(i)-dong,Dongdaemun-gu,…,…,…,…,…,…,…,…,…,…,…
Myeonmok 2(i)-dong,Jungnang-gu,134,25,-,4,8,2,-,9,43,42,1
Myeonmok 4(sa)-dong,Jungnang-gu,107,6,-,3,3,1,-,2,48,44,-
Myeonmok 5(o)-dong,Jungnang-gu,107,7,-,4,1,1,-,6,39,49,-
Myeonmok 7(chil)-dong,Jungnang-gu,114,18,-,9,8,1,-,2,39,37,-
Sangbong 1(il)-dong,Jungnang-gu,96,4,-,9,4,1,-,7,46,25,-
Sangbong 2(i)-dong,Jungnang-gu,168,23,-,11,12,2,-,2,48,69,1
Junghwa 1(il)-dong,Jungnang-gu,119,14,-,8,6,1,-,1,49,40,-
Junghwa 2(i)-dong,Jungnang-gu,128,16,-,8,8,1,-,1,48,46,-
Muk 1(il)-dong,Jungnang-gu,144,20,-,16,28,1,-,1,44,34,-
Muk 2(i)-dong,Jungnang-gu,107,8,-,6,7,1,-,1,58,26,-
Mangu 3(sam)-dong,Jungnang-gu,93,4,-,4,3,1,-,1,48,32,-
Sinnae 1(il)-dong,Jungnang-gu,915,220,-,12,7,8,-,495,77,91,5
Sinnae 2(i)-dong,Jungnang-gu,141,12,-,10,5,1,-,1,54,57,1
Myeonmokbon-dong,Jungnang-gu,202,27,-,12,16,1,-,4,82,60,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,325,49,-,11,6,3,-,155,52,49,-
Mangubon-dong,Jungnang-gu,322,75,-,19,13,4,-,99,55,57,-
Donam 1(il)-dong,Seongbuk_gu,54,5,-,2,2,-,-,9,34,2,-
Donam 2(i)-dong,Seongbuk_gu,64,8,-,4,2,-,-,4,42,4,-
Anam-dong,Seongbuk_gu,1780,537,-,8,1,34,-,805,83,288,24
Bomun-dong,Seongbuk_gu,120,20,-,6,7,2,-,28,43,13,1
Jeongneung 1(il)-dong,Seongbuk_gu,80,21,-,4,5,1,-,13,25,11,-
Jeongneung 2(i)-dong,Seongbuk_gu,101,16,-,7,5,1,-,33,28,11,-
Jeongneung 3(sam)-dong,Seongbuk_gu,14,3,-,2,2,-,-,-,6,1,-
Jeongneung 4(sa)-dong,Seongbuk_gu,51,15,-,9,5,-,-,-,14,8,-
Gireum 1(il)-dong,Seongbuk_gu,117,22,-,26,10,-,-,3,33,23,-
Gireum 2(i)-dong,Seongbuk_gu,189,35,-,12,5,1,-,48,37,51,-
Wolgok 1(il)-dong,Seongbuk_gu,158,35,-,15,10,2,-,29,45,21,1
Wolgok 2(i)-dong,Seongbuk_gu,135,16,-,19,12,-,-,16,54,18,-
Jangwi 1(il)-dong,Seongbuk_gu,89,17,-,9,5,-,-,1,49,8,-
Jangwi 2(i)-dong,Seongbuk_gu,56,10,-,8,4,-,-,-,31,3,-
Jangwi 3(sam)-dong,Seongbuk_gu,183,25,-,3,2,1,-,37,63,50,2
Seongbuk-dong,Seongbuk_gu,66,18,-,8,5,-,-,2,31,2,-
Samseon-dong,Seongbuk_gu,128,39,-,15,10,-,-,4,54,6,-
Dongseon-dong,Seongbuk_gu,273,41,-,24,17,-,-,11,132,48,-
Jongam-dong,Seongbuk_gu,179,31,-,18,12,1,-,17,63,37,-
Seokgwan-dong,Seongbuk_gu,116,19,-,12,9,-,-,-,46,30,-
Beon 1(il)-dong,Gangbuk-gu,244,42,7,12,9,2,-,22,84,62,4
Beon 2(i)-dong,Gangbuk-gu,34,5,-,3,3,-,-,6,15,2,-
Beon 3(sam)-dong,Gangbuk-gu,79,11,2,3,5,-,-,11,31,16,-
Suyu 1(il)-dong,Gangbuk-gu,162,21,4,12,9,-,-,23,62,31,-
Suyu 2(i)-dong,Gangbuk-gu,123,15,3,8,6,-,-,15,52,22,2
Suyu 3(sam)-dong,Gangbuk-gu,255,30,8,22,12,-,-,36,86,61,-
Samyang-dong,Gangbuk-gu,173,24,3,13,8,-,-,26,70,28,1
Mia-dong,Gangbuk-gu,274,36,3,16,12,2,-,40,107,54,4
