Dong,의료_의약품제조및판매업현황_Autonomous Gu_Autonomous Gu,의료_의약품제조및판매업현황_ No. of manufacturers_Total,의료_의약품제조및판매업현황_ No. of manufacturers_Drugs,의료_의약품제조및판매업현황_ No. of manufacturers_Non-drug products,의료_의약품제조및판매업현황_ No. of manufacturers_Medical Instruments,의료_의약품제조및판매업현황_ No. of manufacturers_Cosmetics,의료_의약품제조및판매업현황_ No. of Sellers_Total,의료_의약품제조및판매업현황_ No. of Sellers_Pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Druggist,의료_의약품제조및판매업현황_ No. of Sellers_Wholesaler of phamaceutical goods,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine wholesalers,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine dealers,의료_의약품제조및판매업현황_ No. of Sellers_Dealers of medical instruments,의료_의약품제조및판매업현황_ No. of Sellers_Medical instruments repair supplier
Sajik-dong,Jongno-gu,1,-,-,-,1,…,10,-,-,2,-,-,24,…
Samcheong-dong,Jongno-gu,-,-,-,-,-,…,1,-,-,-,-,-,1,…
Buam-dong,Jongno-gu,-,-,-,-,-,…,2,-,-,-,-,-,5,…
Pyeongchang-dong,Jongno-gu,-,-,-,-,-,…,5,-,-,1,-,-,12,…
Muak-dong,Jongno-gu,-,-,-,-,-,…,7,-,-,-,-,-,3,…
Gyonam-dong,Jongno-gu,-,-,-,-,-,…,8,-,-,-,-,1,4,…
Gahoe-dong,Jongno-gu,2,-,-,1,1,…,3,-,-,-,-,-,1,…
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,6,-,-,6,-,…,49,-,-,8,-,-,164,…
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,5,2,-,3,-,…,27,-,-,3,3,-,66,…
Ihwa-dong,Jongno-gu,6,1,-,4,1,…,6,-,-,-,-,-,22,…
Changsin 1(il)-dong,Jongno-gu,-,-,-,-,-,…,4,-,-,-,-,-,15,…
Changsin 2(i)-dong,Jongno-gu,1,-,-,-,1,…,6,-,-,-,-,-,4,…
Changsin 3(sam)-dong,Jongno-gu,1,-,-,1,-,…,6,-,-,-,-,-,-,…
Sungin 1(il)-dong,Jongno-gu,1,-,-,1,-,…,3,-,-,-,-,-,8,…
Sungin 2(i)-dong,Jongno-gu,2,-,-,1,1,…,5,-,-,-,-,-,17,…
Cheongunhyoja-dong,Jongno-gu,-,-,-,-,-,…,7,2,-,-,-,-,3,…
Hyehwa-dong,Jongno-gu,-,-,-,-,-,…,14,-,-,1,-,-,10,…
Sogong-dong,Jung-gu,5,-,-,4,1,136,15,-,-,6,-,-,108,7
Hoehyeon-dong,Jung-gu,3,-,-,3,-,249,13,-,-,9,-,-,208,19
Myeong-dong,Jung-gu,6,-,-,1,5,66,30,-,-,3,-,-,33,-
Pil-dong,Jung-gu,1,1,-,-,-,26,8,-,-,-,-,-,17,1
Jangchung-dong,Jung-gu,2,-,-,-,2,17,9,-,-,-,-,-,8,-
Gwanghui-dong ,Jung-gu,4,-,1,2,1,55,19,-,-,-,-,-,36,-
Euljiro-dong,Jung-gu,7,-,-,5,2,46,14,-,-,-,-,-,32,-
Sindang 5(o)-dong,Jung-gu,-,-,-,-,-,11,6,-,-,-,-,-,4,1
Hwanghak-dong,Jung-gu,-,-,-,-,-,17,8,1,-,-,-,-,8,-
Jungnim-dong,Jung-gu,2,-,-,2,-,52,5,-,-,-,-,-,45,2
Sindang-dong,Jung-gu,1,-,-,1,-,21,12,-,-,-,-,-,8,1
Dasan-dong,Jung-gu,2,-,-,2,-,16,9,-,-,-,-,-,7,-
Yaksu-dong,Jung-gu,1,-,-,1,-,38,15,-,-,-,-,-,23,-
Cheonggu-dong,Jung-gu,-,-,-,-,-,5,3,-,-,-,-,-,2,-
Donghwa-dong,Jung-gu,-,-,-,-,-,17,7,-,-,1,-,-,9,-
Huam-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,1,7,2
Yongsan 2-ga-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,2,-
Namyeong-dong,Yongsan-gu,1,-,-,1,-,…,…,-,-,…,-,-,17,1
Wonhyoro 2(i)-dong,Yongsan-gu,1,-,-,1,-,…,…,-,-,…,-,-,20,-
Hyochang-dong,Yongsan-gu,1,-,-,-,1,…,…,-,-,…,-,1,7,-
Yongmun-dong,Yongsan-gu,-,-,-,-,-,…,…,1,-,…,-,-,8,-
Ichon 1(il)-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,4,-
Ichon 2(i)-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,2,-
Itaewon 1(il)-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,4,1
Itaewon 2(i)-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,3,-
Seobinggo-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,-,1
Bogwang-dong,Yongsan-gu,-,-,-,-,-,…,…,1,-,…,-,1,3,-
Cheongpa-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,19,2
Wonhyoro 1(il)-dong,Yongsan-gu,-,-,-,-,-,…,…,-,-,…,-,-,22,3
Hangangno-dong,Yongsan-gu,2,-,-,2,-,…,…,1,-,…,-,-,125,3
Hannam-dong,Yongsan-gu,2,-,-,1,1,…,…,-,-,…,-,-,18,1
Wangsimni 2(i)-dong,Seongdong-gu,-,-,-,-,-,9,5,-,-,1,-,1,2,-
Majang-dong,Seongdong-gu,-,-,-,-,-,26,11,-,-,1,-,-,13,1
Sageun-dong,Seongdong-gu,1,1,-,-,-,11,10,-,-,1,-,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,-,-,-,-,-,35,14,-,-,-,-,-,21,-
Haengdang 2(i)-dong,Seongdong-gu,-,-,-,-,-,9,4,1,-,-,-,-,4,-
Eungbong-dong,Seongdong-gu,-,-,-,-,-,3,3,-,-,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,-,-,-,-,-,10,7,1,-,-,-,-,2,-
Geumho 4(sa)-ga-dong,Seongdong-gu,-,-,-,-,-,15,7,-,-,-,-,-,8,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,4,-,-,3,1,22,7,-,-,-,-,-,13,2
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,8,1,-,6,1,48,4,2,-,2,-,-,34,6
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,8,-,-,4,4,31,14,-,-,2,-,-,13,2
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,41,2,-,29,10,86,14,-,-,1,-,-,61,10
Songjeong-dong,Seongdong-gu,-,-,-,-,-,7,6,-,-,-,-,-,1,-
Yongdap-dong,Seongdong-gu,-,-,-,-,-,37,11,-,-,4,-,-,22,-
WangsimniDoseon-dong,Seongdong-gu,2,-,-,1,1,42,12,-,-,1,-,-,28,1
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,-,-,-,-,-,15,11,1,-,-,-,-,3,-
Oksu-dong,Seongdong-gu,-,-,-,-,-,15,8,-,-,-,-,-,6,1
Hwayang-dong,Gwangjin-gu,1,-,-,1,-,35,15,-,-,-,-,-,19,1
Gunja-dong,Gwangjin-gu,4,-,-,2,2,52,14,1,-,2,-,-,34,1
Junggok 1(il)-dong,Gwangjin-gu,5,-,1,3,1,49,12,-,-,4,-,-,33,-
Junggok 2(i)-dong,Gwangjin-gu,3,-,-,2,1,53,14,-,-,3,-,1,33,2
Junggok 3(sam)-dong,Gwangjin-gu,-,-,-,-,-,20,10,-,-,-,-,-,9,1
Junggok 4(sa)-dong,Gwangjin-gu,-,-,-,-,-,22,11,-,-,-,-,-,10,1
Neung-dong,Gwangjin-gu,3,-,-,2,1,26,2,-,-,2,-,-,21,1
Guui 1(il)-dong,Gwangjin-gu,3,-,-,2,1,59,11,-,-,1,-,-,46,1
Guui 2(i)-dong,Gwangjin-gu,-,-,-,-,-,26,10,-,-,2,-,1,13,-
