Dong,인구_인구밀도_Period,인구_인구밀도_Autonomous Gu,인구_인구밀도_Population,인구_인구밀도_Area,인구_인구밀도_Population density
Sajik-dong,2013.0,Jongno-gu,10327.0,1.23,8396
Samcheong-dong,2013.0,Jongno-gu,3367.0,1.49,2260
Buam-dong,2013.0,Jongno-gu,11469.0,2.27,5052
Pyeongchang-dong,2013.0,Jongno-gu,19779.0,8.87,2230
Muak-dong,2013.0,Jongno-gu,8626.0,0.36,23961
Gyonam-dong,2013.0,Jongno-gu,5450.0,0.35,15571
Gahoe-dong,2013.0,Jongno-gu,5333.0,0.54,9876
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,8797.0,2.35,3743
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,6245.0,0.6,10408
Ihwa-dong,2013.0,Jongno-gu,9435.0,0.78,12096
Changsin 1(il)-dong,2013.0,Jongno-gu,7237.0,0.31,23345
Changsin 2(i)-dong,2013.0,Jongno-gu,11707.0,0.26,45027
Changsin 3(sam)-dong,2013.0,Jongno-gu,8310.0,0.23,36130
Sungin 1(il)-dong,2013.0,Jongno-gu,7563.0,0.23,32883
Sungin 2(i)-dong,2013.0,Jongno-gu,9944.0,0.35,28411
Cheongunhyoja-dong,2013.0,Jongno-gu,14696.0,2.57,5718
Hyehwa-dong,2013.0,Jongno-gu,19582.0,1.12,17484
Sogong-dong,2013.0,Jung-gu,1766.0,0.95,1859
Hoehyeon-dong,2013.0,Jung-gu,6563.0,0.84,7813
Myeong-dong,2013.0,Jung-gu,4013.0,0.99,4054
Pil-dong,2013.0,Jung-gu,4878.0,1.14,4279
Jangchung-dong,2013.0,Jung-gu,6296.0,1.36,4629
Gwanghui-dong ,2013.0,Jung-gu,6107.0,0.74,8253
Euljiro-dong,2013.0,Jung-gu,2022.0,0.6,3370
Sindang 5(o)-dong,2013.0,Jung-gu,10686.0,0.39,27400
Hwanghak-dong,2013.0,Jung-gu,13068.0,0.33,39600
Jungnim-dong,2013.0,Jung-gu,9944.0,0.48,20717
Sindang-dong,2013.0,Jung-gu,8951.0,0.55,16275
Dasan-dong,2013.0,Jung-gu,16545.0,0.51,32441
Yaksu-dong,2013.0,Jung-gu,19267.0,0.48,40140
Cheonggu-dong,2013.0,Jung-gu,15799.0,0.34,46468
Donghwa-dong,2013.0,Jung-gu,12085.0,0.26,46481
Huam-dong,2013.0,Yongsan-gu,20018.0,0.86,23277
Yongsan 2-ga-dong,2013.0,Yongsan-gu,13546.0,1.96,6911
Namyeong-dong,2013.0,Yongsan-gu,8442.0,1.19,7094
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,15811.0,0.71,22269
Hyochang-dong,2013.0,Yongsan-gu,11392.0,0.44,25891
Yongmun-dong,2013.0,Yongsan-gu,13034.0,0.28,46550
Ichon 1(il)-dong,2013.0,Yongsan-gu,28196.0,2.86,9859
Ichon 2(i)-dong,2013.0,Yongsan-gu,10054.0,1.22,8241
Itaewon 1(il)-dong,2013.0,Yongsan-gu,9644.0,0.57,16919
Itaewon 2(i)-dong,2013.0,Yongsan-gu,11859.0,0.86,13790
Seobinggo-dong,2013.0,Yongsan-gu,14221.0,2.8,5079
Bogwang-dong,2013.0,Yongsan-gu,17961.0,0.71,25297
Cheongpa-dong,2013.0,Yongsan-gu,23428.0,0.91,25745
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,13004.0,0.59,22041
Hangangno-dong,2013.0,Yongsan-gu,16277.0,2.9,5613
Hannam-dong,2013.0,Yongsan-gu,25038.0,3.01,8318
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,17129.0,0.41,41778
Majang-dong,2013.0,Seongdong-gu,25487.0,1.06,24044
Sageun-dong,2013.0,Seongdong-gu,11745.0,1.11,10581
Haengdang 1(il)-dong,2013.0,Seongdong-gu,17806.0,0.59,30180
Haengdang 2(i)-dong,2013.0,Seongdong-gu,26767.0,0.42,63731
Eungbong-dong,2013.0,Seongdong-gu,17370.0,0.57,30474
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,14823.0,0.46,32224
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,15236.0,0.84,18138
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,18161.0,1.98,9172
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,18537.0,0.89,20828
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,20951.0,1.18,17755
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,12431.0,1.03,12069
Songjeong-dong,2013.0,Seongdong-gu,12538.0,0.68,18438
Yongdap-dong,2013.0,Seongdong-gu,17389.0,2.32,7495
WangsimniDoseon-dong,2013.0,Seongdong-gu,12993.0,0.72,18046
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,23517.0,0.64,36745
Oksu-dong,2013.0,Seongdong-gu,23688.0,1.95,12148
Hwayang-dong,2013.0,Gwangjin-gu,24293.0,1.16,20942
Gunja-dong,2013.0,Gwangjin-gu,22136.0,0.74,29914
Junggok 1(il)-dong,2013.0,Gwangjin-gu,17021.0,0.62,27453
Junggok 2(i)-dong,2013.0,Gwangjin-gu,23156.0,0.55,42102
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,18843.0,0.6,31405
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,31966.0,2.32,13778
Neung-dong,2013.0,Gwangjin-gu,11331.0,1.1,10301
Guui 1(il)-dong,2013.0,Gwangjin-gu,23226.0,0.56,41475
Guui 2(i)-dong,2013.0,Gwangjin-gu,27787.0,1.39,19991
Guui 3(sam)-dong,2013.0,Gwangjin-gu,29808.0,1.02,29224
Gwangjang-dong,2013.0,Gwangjin-gu,37493.0,2.39,15687
Jayang 1(il)-dong,2013.0,Gwangjin-gu,25374.0,0.57,44516
Jayang 2(i)-dong,2013.0,Gwangjin-gu,28596.0,1.68,17021
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,31929.0,1.2,26608
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,28480.0,1.16,24552
Hoegi-dong,2013.0,Dongdaemun-gu,12770.0,0.76,16803
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,17352.0,0.63,27543
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,26133.0,1.05,24889
Cheongnyangni-dong,2013.0,Dongdaemun-gu,24821.0,1.2,20684
Yongsin-dong,2013.0,Dongdaemun-gu,32856.0,1.61,20407
Jegi-dong,2013.0,Dongdaemun-gu,28945.0,1.18,24530
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,33027.0,1.19,27754
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,21593.0,0.86,25108
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,20294.0,0.86,23598
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,31563.0,0.8,39454
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,37990.0,1.25,30392
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,32682.0,1.08,30261
Imun 1(il)-dong,2013.0,Dongdaemun-gu,33194.0,1.04,31917
Imun 2(i)-dong,2013.0,Dongdaemun-gu,23225.0,0.69,33659
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,28235.0,0.73,38678
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,22236.0,1.1,20215
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,13911.0,0.64,21736
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,25362.0,0.87,29152
Sangbong 1(il)-dong,2013.0,Jungnang-gu,26165.0,0.85,30782
Sangbong 2(i)-dong,2013.0,Jungnang-gu,18605.0,0.68,27360
Junghwa 1(il)-dong,2013.0,Jungnang-gu,21566.0,0.68,31715
Junghwa 2(i)-dong,2013.0,Jungnang-gu,30438.0,0.98,31059
Muk 1(il)-dong,2013.0,Jungnang-gu,36370.0,1.2,30308
Muk 2(i)-dong,2013.0,Jungnang-gu,20019.0,0.7,28599
Mangu 3(sam)-dong,2013.0,Jungnang-gu,19207.0,0.99,19401
Sinnae 1(il)-dong,2013.0,Jungnang-gu,33301.0,2.53,13162
Sinnae 2(i)-dong,2013.0,Jungnang-gu,24878.0,0.99,25129
Myeonmokbon-dong,2013.0,Jungnang-gu,37197.0,1.01,36829
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,29121.0,1.67,17438
Mangubon-dong,2013.0,Jungnang-gu,34626.0,2.88,12023
Donam 1(il)-dong,2013.0,Seongbuk-gu,16374.0,0.49,33416
Donam 2(i)-dong,2013.0,Seongbuk-gu,23797.0,0.48,49577
Anam-dong,2013.0,Seongbuk-gu,18255.0,1.33,13726
Bomun-dong,2013.0,Seongbuk-gu,14285.0,0.56,25509
Jeongneung 1(il)-dong,2013.0,Seongbuk-gu,20191.0,0.44,45889
Jeongneung 2(i)-dong,2013.0,Seongbuk-gu,24182.0,1.17,20668
Jeongneung 3(sam)-dong,2013.0,Seongbuk-gu,18371.0,3.71,4952
Jeongneung 4(sa)-dong,2013.0,Seongbuk-gu,28050.0,3.13,8962
Gireum 1(il)-dong,2013.0,Seongbuk-gu,37951.0,0.79,48039
Gireum 2(i)-dong,2013.0,Seongbuk-gu,20815.0,0.58,35888
Wolgok 1(il)-dong,2013.0,Seongbuk-gu,29199.0,0.81,36048
Wolgok 2(i)-dong,2013.0,Seongbuk-gu,21611.0,1.36,15890
Jangwi 1(il)-dong,2013.0,Seongbuk-gu,25420.0,0.7,36314
Jangwi 2(i)-dong,2013.0,Seongbuk-gu,22150.0,0.67,33060
Jangwi 3(sam)-dong,2013.0,Seongbuk-gu,18804.0,0.65,28929
Seongbuk-dong,2013.0,Seongbuk-gu,19316.0,2.86,6754
Samseon-dong,2013.0,Seongbuk-gu,28551.0,0.92,31034
Dongseon-dong,2013.0,Seongbuk-gu,16963.0,0.73,23237
Jongam-dong,2013.0,Seongbuk-gu,43664.0,1.46,29907
Seokgwan-dong,2013.0,Seongbuk-gu,37398.0,1.73,21617
Beon 1(il)-dong,2013.0,Gangbuk-gu,21013.0,0.55,38205
Beon 2(i)-dong,2013.0,Gangbuk-gu,19457.0,1.25,15566
Beon 3(sam)-dong,2013.0,Gangbuk-gu,21018.0,0.86,24440
Suyu 1(il)-dong,2013.0,Gangbuk-gu,23300.0,1.07,21776
Suyu 2(i)-dong,2013.0,Gangbuk-gu,22965.0,0.73,31459
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,24295.0,0.86,28250
Samyang-dong,2013.0,Gangbuk-gu,31165.0,0.95,32805
Mia-dong,2013.0,Gangbuk-gu,24116.0,0.73,33036
Songjung-dong,2013.0,Gangbuk-gu,32963.0,1.22,27019
Songcheon-dong,2013.0,Gangbuk-gu,31507.0,0.88,35803
Samgaksan-dong,2013.0,Gangbuk-gu,35035.0,0.62,56508
Ui-dong,2013.0,Gangbuk-gu,21436.0,10.95,1958
Insu-dong,2013.0,Gangbuk-gu,33651.0,2.93,11485
Ssangmun 1(il)-dong,2013.0,Dobong-gu,22731.0,1.24,18331
