Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
Sajik-dong,Jongno-gu,1665.0,1872.0,406.0,360.0,828.0,990.0,431.0,522.0
Samcheong-dong,Jongno-gu,431.0,538.0,85.0,123.0,228.0,267.0,118.0,148.0
Buam-dong,Jongno-gu,1668.0,1802.0,473.0,391.0,750.0,845.0,445.0,566.0
Pyeongchang-dong,Jongno-gu,2534.0,2559.0,502.0,372.0,1315.0,1301.0,717.0,886.0
Muak-dong,Jongno-gu,1249.0,1256.0,228.0,117.0,742.0,801.0,279.0,338.0
Gyonam-dong,Jongno-gu,849.0,3676.0,144.0,364.0,417.0,2625.0,288.0,687.0
Gahoe-dong,Jongno-gu,671.0,845.0,129.0,147.0,330.0,451.0,212.0,247.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,1686.0,1756.0,183.0,218.0,839.0,926.0,664.0,612.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,892.0,1069.0,203.0,258.0,374.0,519.0,315.0,292.0
Ihwa-dong,Jongno-gu,1694.0,1739.0,330.0,317.0,754.0,916.0,610.0,506.0
Changsin 1(il)-dong,Jongno-gu,932.0,1210.0,312.0,320.0,393.0,605.0,227.0,285.0
Changsin 2(i)-dong,Jongno-gu,1029.0,1405.0,343.0,335.0,403.0,718.0,283.0,352.0
Changsin 3(sam)-dong,Jongno-gu,1004.0,1247.0,286.0,334.0,479.0,595.0,239.0,318.0
Sungin 1(il)-dong,Jongno-gu,1096.0,1205.0,360.0,292.0,498.0,606.0,238.0,307.0
Sungin 2(i)-dong,Jongno-gu,2054.0,1732.0,239.0,167.0,1114.0,1056.0,701.0,509.0
Cheongunhyoja-dong,Jongno-gu,2057.0,2622.0,418.0,592.0,980.0,1269.0,659.0,761.0
Hyehwa-dong,Jongno-gu,3165.0,3474.0,280.0,214.0,1359.0,1915.0,1526.0,1345.0
Sogong-dong,Jung-gu,356.0,392.0,24.0,10.0,206.0,239.0,126.0,143.0
Hoehyeon-dong,Jung-gu,1003.0,995.0,60.0,64.0,625.0,618.0,318.0,313.0
Myeong-dong,Jung-gu,438.0,545.0,22.0,55.0,252.0,311.0,164.0,179.0
Pil-dong,Jung-gu,773.0,861.0,102.0,109.0,339.0,425.0,332.0,327.0
Jangchung-dong,Jung-gu,1029.0,1079.0,176.0,187.0,316.0,518.0,537.0,374.0
Gwanghui-dong ,Jung-gu,726.0,955.0,118.0,175.0,331.0,445.0,277.0,335.0
Euljiro-dong,Jung-gu,299.0,369.0,37.0,30.0,156.0,207.0,106.0,132.0
