Dong,인구_주민등록인구_내국인각세별_Autonomous Gu_Autonomous Gu,인구_주민등록인구_내국인각세별_Households_Households,인구_주민등록인구_내국인각세별_Total_Population ,인구_주민등록인구_내국인각세별_Total_Male,인구_주민등록인구_내국인각세별_Total_Female,인구_주민등록인구_내국인각세별_Korean_Population ,인구_주민등록인구_내국인각세별_Korean_Male,인구_주민등록인구_내국인각세별_Korean_Female,인구_주민등록인구_내국인각세별_Foreigner_Population ,인구_주민등록인구_내국인각세별_Foreigner_Male,인구_주민등록인구_내국인각세별_Foreigner_Female,인구_주민등록인구_내국인각세별_Persons per Households_Persons per Households,인구_주민등록인구_내국인각세별_Person 65 years and over_Person 65 years and over
Sajik-dong,Jongno-gu,4495,10365.0,4881.0,5484,9920,4618,5302,445.0,263.0,182,2.21,1642
Samcheong-dong,Jongno-gu,1555,3421.0,1650.0,1771,3285,1576,1709,136.0,74.0,62,2.11,626
Buam-dong,Jongno-gu,4608,11527.0,5651.0,5876,11247,5538,5709,280.0,113.0,167,2.44,1683
Pyeongchang-dong,Jongno-gu,7376,19752.0,9433.0,10319,19493,9303,10190,259.0,130.0,129,2.64,2765
Muak-dong,Jongno-gu,3229,8664.0,4117.0,4547,8613,4095,4518,51.0,22.0,29,2.67,1177
Gyonam-dong,Jongno-gu,2893,5859.0,2912.0,2947,5738,2860,2878,121.0,52.0,69,1.98,902
Gahoe-dong,Jongno-gu,2373,5413.0,2540.0,2873,5298,2491,2807,115.0,49.0,66,2.23,882
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,5253,8856.0,5136.0,3720,7861,4565,3296,995.0,571.0,424,1.5,1681
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,3140,6311.0,3391.0,2920,5993,3255,2738,318.0,136.0,182,1.91,1007
Ihwa-dong,Jongno-gu,4536,9503.0,4528.0,4975,9048,4323,4725,455.0,205.0,250,1.99,1139
Changsin 1(il)-dong,Jongno-gu,3438,7483.0,3922.0,3561,6536,3476,3060,947.0,446.0,501,1.9,1025
Changsin 2(i)-dong,Jongno-gu,4843,11860.0,5973.0,5887,10843,5524,5319,1017.0,449.0,568,2.24,1481
Changsin 3(sam)-dong,Jongno-gu,3068,8406.0,4210.0,4196,8296,4163,4133,110.0,47.0,63,2.7,1013
Sungin 1(il)-dong,Jongno-gu,3244,7652.0,3830.0,3822,7265,3662,3603,387.0,168.0,219,2.24,947
Sungin 2(i)-dong,Jongno-gu,4954,9728.0,5072.0,4656,9330,4898,4432,398.0,174.0,224,1.88,1418
Cheongunhyoja-dong,Jongno-gu,5939,14906.0,7145.0,7761,14778,7086,7692,128.0,59.0,69,2.49,2095
Hyehwa-dong,Jongno-gu,9148,19588.0,9546.0,10042,17941,8875,9066,1647.0,671.0,976,1.96,2374
Sogong-dong,Jung-gu,687,1820.0,1028.0,792,1352,720,632,468.0,308.0,160,1.97,174
