Dong,인구_출생사망_Gu_Gu,인구_출생사망_Birth_Total,인구_출생사망_Birth_Man,인구_출생사망_Birth_Woman,인구_출생사망_Death_Total,인구_출생사망_Death_Man,인구_출생사망_Death_Woman
Sajik-dong,종로구,80,45,35,50,26,24
Samcheong-dong,종로구,18,5,13,19,8,11
Buam-dong,종로구,60,29,31,61,35,26
Pyeongchang-dong,종로구,92,47,45,102,49,53
Muak-dong,종로구,65,38,27,33,20,13
Gyonam-dong,종로구,27,9,18,42,24,18
Gahoe-dong,종로구,23,12,11,27,13,14
Jongno 1·2·3·4(ilisamsa)-ga-dong,종로구,27,12,15,66,54,12
Jongno 5·6(oryuk)-ga-dong,종로구,21,7,14,36,27,9
Ihwa-dong,종로구,49,22,27,52,28,24
Changsin 1(il)-dong,종로구,28,13,15,54,41,13
Changsin 2(i)-dong,종로구,41,23,18,55,31,24
Changsin 3(sam)-dong,종로구,52,27,25,28,11,17
Sungin 1(il)-dong,종로구,48,24,24,46,30,16
Sungin 2(i)-dong,종로구,59,24,35,41,24,17
Cheongunhyoja-dong,종로구,96,59,37,72,41,31
Hyehwa-dong,종로구,87,44,43,56,35,21
Sogong-dong,중구,17,10,7,2,-,2
Hoehyeon-dong,중구,36,10,26,53,43,10
Myeong-dong,중구,16,8,8,21,11,10
Pil-dong,중구,46,26,20,43,29,14
Jangchung-dong,중구,25,14,11,15,10,5
Gwanghui-dong ,중구,24,15,9,32,20,12
Euljiro-dong,중구,3,-,3,14,8,6
Sindang 5(o)-dong,중구,106,51,55,37,20,17
Hwanghak-dong,중구,128,66,62,59,33,26
Jungnim-dong,중구,91,48,43,63,39,24
Sindang-dong,중구,46,23,23,75,50,25
Dasan-dong,중구,113,60,53,66,40,26
Yaksu-dong,중구,156,90,66,82,51,31
Cheonggu-dong,중구,110,60,50,72,40,32
Donghwa-dong,중구,105,50,55,51,23,28
Huam-dong,용산구,164,83,81,92,61,31
Yongsan 2-ga-dong,용산구,121,58,63,64,33,31
Namyeong-dong,용산구,42,23,19,64,51,13
Wonhyoro 2(i)-dong,용산구,138,70,68,69,39,30
Hyochang-dong,용산구,110,61,49,42,27,15
Yongmun-dong,용산구,151,69,82,54,31,23
Ichon 1(il)-dong,용산구,263,134,129,92,47,45
Ichon 2(i)-dong,용산구,111,56,55,55,30,25
Itaewon 1(il)-dong,용산구,50,23,27,35,20,15
Itaewon 2(i)-dong,용산구,79,37,42,55,32,23
Seobinggo-dong,용산구,89,47,42,57,35,22
Bogwang-dong,용산구,108,59,49,89,51,38
Cheongpa-dong,용산구,165,82,83,93,47,46
Wonhyoro 1(il)-dong,용산구,195,106,89,45,24,21
Hangangno-dong,용산구,147,72,75,48,33,15
Hannam-dong,용산구,196,111,85,104,60,44
Wangsimni 2(i)-dong,성동구,138,70,68,70,48,22
Majang-dong,성동구,190,107,83,119,72,47
Sageun-dong,성동구,56,32,24,56,31,25
Haengdang 1(il)-dong,성동구,118,58,60,76,41,35
Haengdang 2(i)-dong,성동구,317,171,146,90,54,36
Eungbong-dong,성동구,169,74,95,73,41,32
Geumho 1(il)-ga-dong,성동구,142,78,64,79,52,27
Geumho 4(sa)-ga-dong,성동구,223,104,119,67,39,28
Seongsu 1(il)-ga1(il)-dong,성동구,176,97,79,79,46,33
Seongsu 1(il)-ga2(i)-dong,성동구,211,110,101,55,33,22
Seongsu 2(i)-ga1(il)-dong,성동구,163,87,76,88,57,31
Seongsu 2(i)-ga 3(sam)-dong,성동구,95,50,45,54,27,27
Songjeong-dong,성동구,95,52,43,59,36,23
Yongdap-dong,성동구,86,45,41,80,47,33
WangsimniDoseon-dong,성동구,98,52,46,67,34,33
Geumho 2.3(i.sam)-ga-dong,성동구,279,137,142,97,52,45
Oksu-dong,성동구,282,152,130,84,43,41
Hwayang-dong,광진구,116,60,56,87,46,41
Gunja-dong,광진구,162,83,79,72,41,31
Junggok 1(il)-dong,광진구,175,97,78,83,51,32
Junggok 2(i)-dong,광진구,199,97,102,82,45,37
Junggok 3(sam)-dong,광진구,138,68,70,79,43,36
Junggok 4(sa)-dong,광진구,261,143,118,114,62,52
Neung-dong,광진구,122,67,55,36,22,14
Guui 1(il)-dong,광진구,202,106,96,100,62,38
Guui 2(i)-dong,광진구,226,118,108,118,65,53
Guui 3(sam)-dong,광진구,259,118,141,82,45,37
Gwangjang-dong,광진구,232,122,110,80,36,44
Jayang 1(il)-dong,광진구,210,106,104,103,56,47
Jayang 2(i)-dong,광진구,245,131,114,108,59,49
Jayang 3(sam)-dong,광진구,308,151,157,89,52,37
Jayang 4(sa)-dong,광진구,135,72,63,97,60,37
Hoegi-dong,동대문구,91,42,49,46,25,21
Hwigyeong 1(il)-dong,동대문구,109,65,44,73,48,25
Hwigyeong 2(i)-dong,동대문구,189,103,86,81,40,41
Cheongnyangni-dong,동대문구,111,63,48,176,110,66
Yongsin-dong,동대문구,255,135,120,179,106,73
Jegi-dong,동대문구,173,89,84,190,119,71
Jeonnong 1(il)-dong,동대문구,210,109,101,187,113,74
Jeonnong 2(i)-dong,동대문구,149,74,75,102,52,50
Dapsimni 1(il)-dong,동대문구,185,86,99,114,67,47
Dapsimni 2(i)-dong,동대문구,234,122,112,157,91,66
Jangan 1(il)-dong,동대문구,325,166,159,159,88,71
Jangan 2(i)-dong,동대문구,253,114,139,127,77,50
Imun 1(il)-dong,동대문구,191,108,83,130,73,57
Imun 2(i)-dong,동대문구,176,92,84,84,47,37
Myeonmok 2(i)-dong,중랑구,252,144,108,161,104,57
Myeonmok 4(sa)-dong,중랑구,192,99,93,113,64,49
Myeonmok 5(o)-dong,중랑구,94,45,49,71,44,27
Myeonmok 7(chil)-dong,중랑구,185,94,91,99,56,43
Sangbong 1(il)-dong,중랑구,174,85,89,112,74,38
Sangbong 2(i)-dong,중랑구,147,80,67,90,51,39
Junghwa 1(il)-dong,중랑구,208,111,97,105,60,45
Junghwa 2(i)-dong,중랑구,204,103,101,147,94,53
Muk 1(il)-dong,중랑구,355,184,171,155,78,77
Muk 2(i)-dong,중랑구,152,78,74,101,62,39
Mangu 3(sam)-dong,중랑구,133,73,60,113,69,44
Sinnae 1(il)-dong,중랑구,271,132,139,157,79,78
Sinnae 2(i)-dong,중랑구,216,108,108,117,52,65
Myeonmokbon-dong,중랑구,251,139,112,164,95,69
Myeonmok 3.8(sam.pal)-dong,중랑구,182,97,85,130,87,43
Mangubon-dong,중랑구,249,121,128,190,95,95
Donam 1(il)-dong,성북구,124,55,69,85,44,41
Donam 2(i)-dong,성북구,199,96,103,86,48,38
Anam-dong,성북구,86,51,35,67,36,31
Bomun-dong,성북구,80,41,39,67,36,31
Jeongneung 1(il)-dong,성북구,237,119,118,127,57,70
Jeongneung 2(i)-dong,성북구,176,95,81,84,41,43
Jeongneung 3(sam)-dong,성북구,125,69,56,92,54,38
Jeongneung 4(sa)-dong,성북구,258,124,134,117,62,55
Gireum 1(il)-dong,성북구,467,241,226,137,78,59
Gireum 2(i)-dong,성북구,157,84,73,89,42,47
Wolgok 1(il)-dong,성북구,277,137,140,109,64,45
Wolgok 2(i)-dong,성북구,201,106,95,113,61,52
Jangwi 1(il)-dong,성북구,151,66,85,137,77,60
Jangwi 2(i)-dong,성북구,120,55,65,81,43,38
Jangwi 3(sam)-dong,성북구,110,47,63,98,52,46
Seongbuk-dong,성북구,141,66,75,86,46,40
Samseon-dong,성북구,197,97,100,137,71,66
Dongseon-dong,성북구,109,52,57,54,25,29
Jongam-dong,성북구,351,180,171,224,129,95
Seokgwan-dong,성북구,265,134,131,181,109,72
Beon 1(il)-dong,강북구,145,81,64,122,79,43
Beon 2(i)-dong,강북구,115,66,49,101,58,43
Beon 3(sam)-dong,강북구,136,80,56,130,80,50
Suyu 1(il)-dong,강북구,156,86,70,125,76,49
Suyu 2(i)-dong,강북구,172,86,86,137,75,62
Suyu 3(sam)-dong,강북구,193,105,88,90,54,36
Samyang-dong,강북구,239,129,110,144,89,55
Mia-dong,강북구,180,87,93,172,102,70
Songjung-dong,강북구,212,109,103,143,83,60
Songcheon-dong,강북구,229,117,112,166,97,69
Samgaksan-dong,강북구,374,184,190,111,61,50
Ui-dong,강북구,119,69,50,103,58,45
Insu-dong,강북구,221,125,96,168,96,72
Ssangmun 1(il)-dong,도봉구,151,76,75,122,68,54
Ssangmun 2(i)-dong,도봉구,158,79,79,102,49,53
Ssangmun 3(sam)-dong,도봉구,107,67,40,85,44,41
Ssangmun 4(sa)-dong,도봉구,114,63,51,81,37,44
Banghak 1(il)-dong,도봉구,165,89,76,200,112,88
Banghak 2(i)-dong,도봉구,147,71,76,122,83,39
Banghak 3(sam)-dong,도봉구,203,115,88,155,83,72
Chang 1(il)-dong,도봉구,264,125,139,124,69,55
Chang 2(i)-dong,도봉구,266,146,120,125,71,54
Chang 3(sam)-dong,도봉구,109,61,48,54,31,23
Chang 4(sa)-dong,도봉구,229,113,116,100,63,37
Chang 5(o)-dong,도봉구,219,118,101,113,72,41
Dobong 1(il)-dong,도봉구,147,67,80,173,103,70
Dobong 2(i)-dong,도봉구,251,128,123,155,83,72
Wolgye 1(il)-dong,노원구,195,111,84,118,63,55
Wolgye 2(i)-dong,노원구,239,112,127,168,88,80
Wolgye 3(sam)-dong,노원구,427,200,227,158,95,63
Gongneung 2(i)-dong,노원구,388,195,193,148,85,63
Hagye 1(il)-dong,노원구,141,80,61,155,90,65
Hagye 2(i)-dong,노원구,140,61,79,87,42,45
Junggyebon-dong,노원구,91,50,41,97,44,53
Junggye 1(il)-dong,노원구,66,34,32,82,48,34
Junggye 4(sa)-dong,노원구,153,82,71,119,68,51
Sanggye 1(il)-dong,노원구,306,166,140,214,116,98
Sanggye 2(i)-dong,노원구,142,73,69,93,54,39
Sanggye 5(o)-dong,노원구,173,83,90,120,64,56
Sanggye 8(pal)-dong,노원구,501,270,231,68,38,30
Sanggye 9(gu)-dong,노원구,231,123,108,70,35,35
Sanggye 10(sip)-dong,노원구,232,118,114,71,35,36
Sanggye 3.4(sam.sa)-dong,노원구,239,127,112,224,129,95
Sanggye 6.7(yuk.chil)-dong,노원구,322,167,155,125,77,48
Junggye 2.3(i.sam)-dong,노원구,331,175,156,228,117,111
Gongneung 1(il)-dong,노원구,351,177,174,186,101,85
Nokbeon-dong,은평구,291,166,125,135,71,64
Bulgwang 1(il)-dong,은평구,442,242,200,196,113,83
Galhyeon 1(il)-dong,은평구,181,93,88,148,86,62
Galhyeon 2(i)-dong,은평구,225,110,115,111,67,44
Gusan-dong,은평구,243,124,119,217,163,54
Daejo-dong,은평구,229,117,112,140,82,58
Eungam 1(il)-dong,은평구,280,152,128,175,101,74
Eungam 2(i)-dong,은평구,271,146,125,98,61,37
Sinsa 1(il)-dong,은평구,269,123,146,119,65,54
Sinsa 2(i)-dong,은평구,182,89,93,87,57,30
Jeungsan-dong,은평구,144,74,70,108,57,51
Susaek-dong,은평구,141,76,65,127,68,59
Jingwan-dong,은평구,387,203,184,198,97,101
Bulgwang 2(i)-dong,은평구,196,103,93,131,73,58
Eungam 3(sam)-dong,은평구,193,97,96,101,59,42
Yeokchon-dong,은평구,483,263,220,234,146,88
Cheonyeon-dong,서대문구,193,89,104,88,45,43
Hongje 1(il)-dong,서대문구,224,114,110,134,75,59
Hongje 3(sam)-dong,서대문구,136,69,67,98,53,45
Hongje 2(i)-dong,서대문구,128,61,67,66,35,31
Hongeun 1(il)-dong,서대문구,168,90,78,140,76,64
Hongeun 2(i)-dong,서대문구,212,113,99,126,74,52
Namgajwa 1(il)-dong,서대문구,35,21,14,51,28,23
Namgajwa 2(i)-dong,서대문구,188,100,88,114,74,40
Bukgajwa 1(il)-dong,서대문구,248,123,125,105,61,44
Bukgajwa 2(i)-dong,서대문구,272,149,123,125,70,55
Chunghyeon-dong,서대문구,102,47,55,74,43,31
Bugahyeon-dong,서대문구,65,33,32,83,52,31
Sinchon-dong,서대문구,130,69,61,71,40,31
Yeonhui-dong,서대문구,257,135,122,191,89,102
Yonggang-dong,마포구,164,78,86,57,27,30
Daeheung-dong,마포구,53,24,29,76,48,28
Yeomni-dong,마포구,90,46,44,78,49,29
Sinsu-dong,마포구,205,114,91,96,58,38
Seogyo-dong,마포구,194,105,89,84,41,43
Hapjeong-dong,마포구,183,79,104,79,45,34
Mangwon 1(il)-dong,마포구,190,97,93,117,66,51
Mangwon 2(i)-dong,마포구,178,89,89,65,39,26
Yeonnam-dong,마포구,151,74,77,88,41,47
Seongsan 1(il)-dong,마포구,175,82,93,94,57,37
Seongsan 2(i)-dong,마포구,436,218,218,170,97,73
Sangam-dong,마포구,318,167,151,105,49,56
Dohwa-dong,마포구,226,109,117,91,57,34
Seogang-dong,마포구,203,109,94,77,39,38
gongdeok-dong,마포구,318,154,164,163,93,70
Ahyeon-dong,마포구,236,119,117,74,42,32
Mok 1(il)-dong,양천구,223,117,106,94,50,44
Mok 2(i)-dong,양천구,297,164,133,96,47,49
Mok 3(sam)-dong,양천구,195,102,93,97,53,44
Mok 4(sa)-dong,양천구,144,72,72,89,46,43
Sinwol 1(il)-dong,양천구,220,117,103,148,91,57
Sinwol 2(i)-dong,양천구,183,88,95,96,60,36
Sinwol 3(sam)-dong,양천구,116,62,54,80,43,37
Sinwol 4(sa)-dong,양천구,181,86,95,93,55,38
Sinwol 5(o)-dong,양천구,133,77,56,61,31,30
Sinwol 6(yuk)-dong,양천구,66,40,26,52,32,20
Sinwol 7(chil)-dong,양천구,248,139,109,107,64,43
Sinjeong 1(il)-dong,양천구,101,51,50,89,48,41
Sinjeong 2(i)-dong,양천구,91,51,40,68,36,32
Sinjeong 3(sam)-dong,양천구,512,269,243,205,117,88
Sinjeong 6(yuk)-dong,양천구,169,85,84,67,40,27
Sinjeong 7(chil)-dong,양천구,166,93,73,118,64,54
Mok 5(o)-dong,양천구,171,77,94,98,46,52
Sinjeong 4(sa)-dong,양천구,331,176,155,155,100,55
Yeomchang-dong,강서구,409,211,198,107,53,54
Deungchon 1(il)-dong,강서구,246,117,129,116,73,43
Deungchon 2(i)-dong,강서구,164,93,71,70,35,35
Deungchon 3(sam)-dong,강서구,286,148,138,218,123,95
Hwagokbon-dong,강서구,495,217,278,148,79,69
Hwagok 2(i)-dong,강서구,192,99,93,85,49,36
Hwagok 3(sam)-dong,강서구,160,84,76,92,39,53
Hwagok 4(sa)-dong,강서구,181,88,93,110,73,37
Hwagok 6(yuk)-dong,강서구,251,145,106,79,43,36
Hwagok 8(pal)-dong,강서구,276,134,142,108,50,58
Gayang 1(il)-dong,강서구,210,113,97,104,55,49
Gayang 2(i)-dong,강서구,111,57,54,130,62,68
Gayang 3(sam)-dong,강서구,229,103,126,119,59,60
Balsan 1(il)-dong,강서구,254,104,150,112,60,52
Gonghang-dong,강서구,204,101,103,88,52,36
Banghwa 1(il)-dong,강서구,289,140,149,146,76,70
Banghwa 2(i)-dong,강서구,206,103,103,142,85,57
Banghwa 3(sam)-dong,강서구,289,152,137,141,67,74
Hwagok 1(il)-dong,강서구,480,252,228,211,123,88
Ujangsan-dong,강서구,292,145,147,103,54,49
Sindorim-dong,구로구,544,269,275,100,49,51
Guro 1(il)-dong,구로구,320,159,161,78,46,32
Guro 3(sam)-dong,구로구,319,164,155,82,50,32
Guro 4(sa)-dong,구로구,318,141,177,106,62,44
Guro 5(o)-dong,구로구,333,170,163,109,64,45
Gocheok 1(il)-dong,구로구,205,96,109,105,56,49
Gocheok 2(i)-dong,구로구,236,126,110,113,70,43
Gaebong 2(i)-dong,구로구,389,218,171,130,59,71
Gaebong 3(sam)-dong,구로구,214,117,97,108,65,43
Oryu 1(il)-dong,구로구,210,102,108,103,63,40
Oryu 2(i)-dong,구로구,472,235,237,146,76,70
Sugung-dong,구로구,302,158,144,108,54,54
Garibong-dong,구로구,69,39,30,86,57,29
Guro 2(i)-dong,구로구,236,98,138,144,89,55
Gaebong 1(il)-dong,구로구,301,157,144,147,82,65
Gasan-dong,금천구,138,67,71,87,48,39
Doksan 1(il)-dong,금천구,290,150,140,163,89,74
Doksan 2(i)-dong,금천구,135,63,72,92,60,32
Doksan 3(sam)-dong,금천구,157,82,75,114,74,40
Doksan 4(sa)-dong,금천구,98,44,54,81,48,33
Siheung 1(il)-dong,금천구,357,175,182,192,111,81
Siheung 2(i)-dong,금천구,170,84,86,132,74,58
Siheung 3(sam)-dong,금천구,110,50,60,59,28,31
Siheung 4(sa)-dong,금천구,143,74,69,76,36,40
Siheung 5(o)-dong,금천구,140,69,71,92,49,43
Yeouido-dong,영등포구,274,132,142,126,73,53
Dangsan 1(il)-dong,영등포구,200,109,91,78,50,28
Dangsan2(i)-dong,영등포구,396,192,204,111,53,58
Yangpyeong 1(il)-dong,영등포구,282,166,116,62,35,27
Yangpyeong 2(i)-dong,영등포구,256,142,114,70,38,32
Singil 1(il)-dong,영등포구,115,57,58,126,71,55
Singil 3(sam)-dong,영등포구,84,42,42,73,36,37
Singil 4(sa)-dong,영등포구,64,39,25,58,35,23
Singil 5(o)-dong,영등포구,78,35,43,85,50,35
Singil 6(yuk)-dong,영등포구,163,72,91,91,55,36
Singil 7(chil)-dong,영등포구,96,58,38,52,29,23
Daerim 1(il)-dong,영등포구,93,44,49,89,54,35
Daerim 2(i)-dong,영등포구,139,75,64,92,50,42
Daerim 3(sam)-dong,영등포구,222,116,106,92,61,31
Yeongdeungpobon-dong,영등포구,216,110,106,105,59,46
Yeongdeungpo-dong,영등포구,129,67,62,117,88,29
