Dong,인구_평균연령_Period,인구_평균연령_Gu,인구_평균연령_Average age of total,인구_평균연령_Male,인구_평균연령_Female
Sajik-dong,2013.2/4,Jongno-gu,42.6,41.6,43.6
Samcheong-dong,2013.2/4,Jongno-gu,44.5,43.1,45.8
Buam-dong,2013.2/4,Jongno-gu,41.3,39.9,42.7
Pyeongchang-dong,2013.2/4,Jongno-gu,41.4,39.7,42.8
Muak-dong,2013.2/4,Jongno-gu,40.2,39.7,40.7
Gyonam-dong,2013.2/4,Jongno-gu,42.7,41.7,43.6
Gahoe-dong,2013.2/4,Jongno-gu,42.7,41.4,43.9
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.2/4,Jongno-gu,48.3,48.1,48.5
Jongno 5·6(oryuk)-ga-dong,2013.2/4,Jongno-gu,44.1,43.5,44.8
Ihwa-dong,2013.2/4,Jongno-gu,40.2,39.4,41.0
Changsin 1(il)-dong,2013.2/4,Jongno-gu,44.3,43.7,45.1
Changsin 2(i)-dong,2013.2/4,Jongno-gu,42.3,41.3,43.3
Changsin 3(sam)-dong,2013.2/4,Jongno-gu,40.1,39.3,41.0
Sungin 1(il)-dong,2013.2/4,Jongno-gu,41.2,40.2,42.2
Sungin 2(i)-dong,2013.2/4,Jongno-gu,43.3,42.8,43.9
Cheongunhyoja-dong,2013.2/4,Jongno-gu,40.0,38.2,41.7
Hyehwa-dong,2013.2/4,Jongno-gu,39.4,38.1,40.7
Sogong-dong,2013.2/4,Jung-gu,40.8,40.5,41.2
Hoehyeon-dong,2013.2/4,Jung-gu,48.0,48.3,47.7
Myeong-dong,2013.2/4,Jung-gu,46.7,45.1,47.9
Pil-dong,2013.2/4,Jung-gu,43.4,41.7,45.2
Jangchung-dong,2013.2/4,Jung-gu,39.4,38.4,40.6
Gwanghui-dong ,2013.2/4,Jung-gu,45.9,45.5,46.2
Euljiro-dong,2013.2/4,Jung-gu,49.6,49.6,49.5
Sindang-dong,2013.2/4,Jung-gu,42.7,42.0,43.5
Dasan-dong,2013.2/4,Jung-gu,40.9,39.7,42.1
Yaksu-dong,2013.2/4,Jung-gu,41.7,40.5,42.8
Cheonggu-dong,2013.2/4,Jung-gu,40.6,39.1,42.0
Sindang 5(o)-dong,2013.2/4,Jung-gu,40.9,39.7,42.1
Donghwa-dong,2013.2/4,Jung-gu,39.8,38.9,40.7
Hwanghak-dong,2013.2/4,Jung-gu,41.3,40.4,42.2
Jungnim-dong,2013.2/4,Jung-gu,42.6,42.1,43.0
Huam-dong,2013.2/4,Yongsan-gu,40.7,39.2,42.2
Yongsan 2-ga-dong,2013.2/4,Yongsan-gu,42.0,40.3,43.5
Namyeong-dong,2013.2/4,Yongsan-gu,45.7,46.2,44.9
Wonhyoro 2(i)-dong,2013.2/4,Yongsan-gu,39.8,39.0,40.5
Hyochang-dong,2013.2/4,Yongsan-gu,39.9,38.5,41.2
Yongmun-dong,2013.2/4,Yongsan-gu,40.0,38.9,41.0
Ichon 1(il)-dong,2013.2/4,Yongsan-gu,38.8,37.8,39.6
Ichon 2(i)-dong,2013.2/4,Yongsan-gu,42.2,40.4,43.8
Itaewon 1(il)-dong,2013.2/4,Yongsan-gu,44.1,42.0,45.8
Itaewon 2(i)-dong,2013.2/4,Yongsan-gu,42.9,41.3,44.3
Seobinggo-dong,2013.2/4,Yongsan-gu,39.9,38.8,40.8
Bogwang-dong,2013.2/4,Yongsan-gu,42.0,40.2,43.8
Cheongpa-dong,2013.2/4,Yongsan-gu,40.1,39.1,41.0
Wonhyoro 1(il)-dong,2013.2/4,Yongsan-gu,39.4,38.8,39.9
Hangangno-dong,2013.2/4,Yongsan-gu,43.5,42.7,44.3
Hannam-dong,2013.2/4,Yongsan-gu,41.8,40.6,42.8
Wangsimni 2(i)-dong,2013.2/4,Seongdong-gu,39.7,38.9,40.4
Majang-dong,2013.2/4,Seongdong-gu,39.6,38.7,40.4
Sageun-dong,2013.2/4,Seongdong-gu,38.2,37.0,39.6
Haengdang 1(il)-dong,2013.2/4,Seongdong-gu,40.3,39.5,41.1
Haengdang 2(i)-dong,2013.2/4,Seongdong-gu,38.0,37.5,38.5
Eungbong-dong,2013.2/4,Seongdong-gu,39.0,38.1,39.8
Geumho 1(il)-ga-dong,2013.2/4,Seongdong-gu,40.6,39.1,41.9
Geumho 4(sa)-ga-dong,2013.2/4,Seongdong-gu,39.4,38.2,40.4
Seongsu 1(il)-ga1(il)-dong,2013.2/4,Seongdong-gu,38.6,38.1,39.1
Seongsu 1(il)-ga2(i)-dong,2013.2/4,Seongdong-gu,39.0,38.5,39.6
Seongsu 2(i)-ga1(il)-dong,2013.2/4,Seongdong-gu,40.3,39.6,41.1
Seongsu 2(i)-ga 3(sam)-dong,2013.2/4,Seongdong-gu,40.9,40.7,41.0
Songjeong-dong,2013.2/4,Seongdong-gu,40.4,39.8,41.1
Yongdap-dong,2013.2/4,Seongdong-gu,41.3,40.8,41.9
WangsimniDoseon-dong,2013.2/4,Seongdong-gu,41.8,40.9,42.8
Geumho 2.3(i.sam)-ga-dong,2013.2/4,Seongdong-gu,40.0,38.9,41.0
Oksu-dong,2013.2/4,Seongdong-gu,39.4,38.5,40.3
Hwayang-dong,2013.2/4,Gwangjin-gu,37.5,37.4,37.6
Gunja-dong,2013.2/4,Gwangjin-gu,39.2,38.6,39.9
Junggok 1(il)-dong,2013.2/4,Gwangjin-gu,40.0,39.4,40.6
Junggok 2(i)-dong,2013.2/4,Gwangjin-gu,38.9,38.2,39.6
Junggok 3(sam)-dong,2013.2/4,Gwangjin-gu,39.8,39.0,40.6
Junggok 4(sa)-dong,2013.2/4,Gwangjin-gu,39.5,38.4,40.5
Neung-dong,2013.2/4,Gwangjin-gu,38.8,38.1,39.4
Guui 1(il)-dong,2013.2/4,Gwangjin-gu,39.2,38.4,39.9
Guui 2(i)-dong,2013.2/4,Gwangjin-gu,39.4,38.4,40.3
Guui 3(sam)-dong,2013.2/4,Gwangjin-gu,38.2,37.7,38.8
Gwangjang-dong,2013.2/4,Gwangjin-gu,35.7,35.1,36.3
Jayang 1(il)-dong,2013.2/4,Gwangjin-gu,39.6,38.8,40.4
Jayang 2(i)-dong,2013.2/4,Gwangjin-gu,38.8,37.9,39.6
Jayang 3(sam)-dong,2013.2/4,Gwangjin-gu,37.8,37.2,38.3
Jayang 4(sa)-dong,2013.2/4,Gwangjin-gu,41.4,40.8,42.1
Hoegi-dong,2013.2/4,Dongdaemun-gu,38.3,37.1,39.3
Hwigyeong 1(il)-dong,2013.2/4,Dongdaemun-gu,40.8,40.0,41.6
Hwigyeong 2(i)-dong,2013.2/4,Dongdaemun-gu,38.5,37.8,39.3
Cheongnyangni-dong,2013.2/4,Dongdaemun-gu,44.2,42.8,45.6
Yongsin-dong,2013.2/4,Dongdaemun-gu,42.3,41.5,43.2
Jegi-dong,2013.2/4,Dongdaemun-gu,42.3,41.2,43.5
Jeonnong 1(il)-dong,2013.2/4,Dongdaemun-gu,41.7,40.8,42.7
Jeonnong 2(i)-dong,2013.2/4,Dongdaemun-gu,39.9,39.1,40.7
Dapsimni 1(il)-dong,2013.2/4,Dongdaemun-gu,40.9,39.9,41.8
Dapsimni 2(i)-dong,2013.2/4,Dongdaemun-gu,40.3,39.5,41.2
Jangan 1(il)-dong,2013.2/4,Dongdaemun-gu,40.1,39.6,40.6
Jangan 2(i)-dong,2013.2/4,Dongdaemun-gu,39.2,38.3,40.1
Imun 1(il)-dong,2013.2/4,Dongdaemun-gu,40.0,38.7,41.2
Imun 2(i)-dong,2013.2/4,Dongdaemun-gu,39.4,38.5,40.3
Myeonmok 2(i)-dong,2013.2/4,Jungnang-gu,40.1,39.1,41.0
Myeonmok 4(sa)-dong,2013.2/4,Jungnang-gu,40.0,39.2,40.9
Myeonmok 5(o)-dong,2013.2/4,Jungnang-gu,40.7,40.1,41.4
Myeonmok 7(chil)-dong,2013.2/4,Jungnang-gu,40.5,39.6,41.5
Sangbong 1(il)-dong,2013.2/4,Jungnang-gu,38.7,37.5,39.9
Sangbong 2(i)-dong,2013.2/4,Jungnang-gu,41.6,40.8,42.4
Junghwa 1(il)-dong,2013.2/4,Jungnang-gu,39.5,38.7,40.3
Junghwa 2(i)-dong,2013.2/4,Jungnang-gu,42.2,41.3,43.2
Muk 1(il)-dong,2013.2/4,Jungnang-gu,39.4,38.7,40.0
Muk 2(i)-dong,2013.2/4,Jungnang-gu,40.4,39.4,41.3
Mangu 3(sam)-dong,2013.2/4,Jungnang-gu,40.7,40.2,41.1
Sinnae 1(il)-dong,2013.2/4,Jungnang-gu,39.0,38.1,39.9
Sinnae 2(i)-dong,2013.2/4,Jungnang-gu,38.9,37.7,40.1
Myeonmokbon-dong,2013.2/4,Jungnang-gu,40.5,39.7,41.3
Myeonmok 3.8(sam.pal)-dong,2013.2/4,Jungnang-gu,40.9,40.1,41.7
Mangubon-dong,2013.2/4,Jungnang-gu,40.9,40.1,41.7
Donam 1(il)-dong,2013.2/4,Seongbuk-gu,40.4,39.4,41.3
Donam 2(i)-dong,2013.2/4,Seongbuk-gu,37.7,36.9,38.5
Anam-dong,2013.2/4,Seongbuk-gu,38.8,37.6,40.1
Bomun-dong,2013.2/4,Seongbuk-gu,41.0,40.1,41.9
Jeongneung 1(il)-dong,2013.2/4,Seongbuk-gu,39.2,38.3,40.1
Jeongneung 2(i)-dong,2013.2/4,Seongbuk-gu,40.2,39.0,41.4
Jeongneung 3(sam)-dong,2013.2/4,Seongbuk-gu,41.7,40.1,43.3
Jeongneung 4(sa)-dong,2013.2/4,Seongbuk-gu,39.5,38.5,40.5
Gireum 1(il)-dong,2013.2/4,Seongbuk-gu,36.4,35.6,37.2
Gireum 2(i)-dong,2013.2/4,Seongbuk-gu,41.1,39.8,42.5
Wolgok 1(il)-dong,2013.2/4,Seongbuk-gu,39.2,38.4,39.9
Wolgok 2(i)-dong,2013.2/4,Seongbuk-gu,40.0,39.3,40.6
