Dong,牢备_去牢捞去_Period,牢备_去牢捞去_Autonomous Gu,牢备_去牢捞去_Marriage,牢备_去牢捞去_Divorce
Sajik-dong,2013.0,Jongno-gu,53.0,18.0
Samcheong-dong,2013.0,Jongno-gu,14.0,6.0
Buam-dong,2013.0,Jongno-gu,68.0,14.0
Pyeongchang-dong,2013.0,Jongno-gu,87.0,38.0
Muak-dong,2013.0,Jongno-gu,44.0,12.0
Gyonam-dong,2013.0,Jongno-gu,28.0,11.0
Gahoe-dong,2013.0,Jongno-gu,29.0,5.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,54.0,31.0
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,26.0,22.0
Ihwa-dong,2013.0,Jongno-gu,73.0,16.0
Changsin 1(il)-dong,2013.0,Jongno-gu,78.0,51.0
Changsin 2(i)-dong,2013.0,Jongno-gu,14.0,13.0
Changsin 3(sam)-dong,2013.0,Jongno-gu,25.0,9.0
Sungin 1(il)-dong,2013.0,Jongno-gu,95.0,47.0
Sungin 2(i)-dong,2013.0,Jongno-gu,20.0,6.0
Cheongunhyoja-dong,2013.0,Jongno-gu,66.0,22.0
Hyehwa-dong,2013.0,Jongno-gu,103.0,27.0
Sogong-dong,2013.0,Jung-gu,19.0,6.0
Hoehyeon-dong,2013.0,Jung-gu,40.0,21.0
Myeong-dong,2013.0,Jung-gu,11.0,8.0
Pil-dong,2013.0,Jung-gu,43.0,19.0
Jangchung-dong,2013.0,Jung-gu,28.0,13.0
Gwanghui-dong ,2013.0,Jung-gu,18.0,15.0
Euljiro-dong,2013.0,Jung-gu,11.0,12.0
Sindang 5(o)-dong,2013.0,Jung-gu,158.0,37.0
Hwanghak-dong,2013.0,Jung-gu,95.0,34.0
Jungnim-dong,2013.0,Jung-gu,78.0,22.0
Sindang-dong,2013.0,Jung-gu,225.0,87.0
Dasan-dong,2013.0,Jung-gu,45.0,24.0
Yaksu-dong,2013.0,Jung-gu,41.0,13.0
Cheonggu-dong,2013.0,Jung-gu,35.0,3.0
Donghwa-dong,2013.0,Jung-gu,13.0,6.0
Huam-dong,2013.0,Yongsan-gu,153.0,38.0
Yongsan 2-ga-dong,2013.0,Yongsan-gu,85.0,34.0
Namyeong-dong,2013.0,Yongsan-gu,58.0,24.0
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,110.0,23.0
Hyochang-dong,2013.0,Yongsan-gu,79.0,19.0
Yongmun-dong,2013.0,Yongsan-gu,104.0,26.0
Ichon 1(il)-dong,2013.0,Yongsan-gu,180.0,33.0
Ichon 2(i)-dong,2013.0,Yongsan-gu,65.0,8.0
Itaewon 1(il)-dong,2013.0,Yongsan-gu,68.0,24.0
Itaewon 2(i)-dong,2013.0,Yongsan-gu,60.0,7.0
Seobinggo-dong,2013.0,Yongsan-gu,58.0,18.0
Bogwang-dong,2013.0,Yongsan-gu,116.0,40.0
Cheongpa-dong,2013.0,Yongsan-gu,171.0,59.0
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,131.0,21.0
Hangangno-dong,2013.0,Yongsan-gu,167.0,28.0
Hannam-dong,2013.0,Yongsan-gu,190.0,48.0
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,74.0,24.0
Majang-dong,2013.0,Seongdong-gu,168.0,43.0
Sageun-dong,2013.0,Seongdong-gu,59.0,23.0
Haengdang 1(il)-dong,2013.0,Seongdong-gu,141.0,40.0
Haengdang 2(i)-dong,2013.0,Seongdong-gu,191.0,41.0
Eungbong-dong,2013.0,Seongdong-gu,120.0,36.0
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,110.0,32.0
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,148.0,27.0
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,178.0,30.0
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,161.0,34.0
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,140.0,45.0
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,112.0,36.0
Songjeong-dong,2013.0,Seongdong-gu,55.0,30.0
Yongdap-dong,2013.0,Seongdong-gu,122.0,41.0
WangsimniDoseon-dong,2013.0,Seongdong-gu,109.0,39.0
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,226.0,54.0
Oksu-dong,2013.0,Seongdong-gu,318.0,38.0
Hwayang-dong,2013.0,Gwangjin-gu,185.0,46.0
Gunja-dong,2013.0,Gwangjin-gu,176.0,46.0
Junggok 1(il)-dong,2013.0,Gwangjin-gu,218.0,77.0
Junggok 2(i)-dong,2013.0,Gwangjin-gu,151.0,54.0
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,120.0,32.0
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,207.0,48.0
Neung-dong,2013.0,Gwangjin-gu,136.0,30.0
Guui 1(il)-dong,2013.0,Gwangjin-gu,282.0,77.0
