Dong,행정_도시가스이용현황_Gu_Gu_Gu,행정_도시가스이용현황_도시가스이용가구(용도별)_Total_Total,행정_도시가스이용현황_도시가스이용가구(용도별)_Home use_Sub-total,행정_도시가스이용현황_도시가스이용가구(용도별)_Home use_Cooking use,행정_도시가스이용현황_도시가스이용가구(용도별)_General use_General use,행정_도시가스이용현황_도시가스이용가구(용도별)_Office use_Office use,행정_도시가스이용현황_도시가스이용가구(용도별)_Industry use_Industry use,행정_도시가스이용현황_도시가스이용가구(용도별)_열병합_열병합,행정_도시가스이용현황_도시가스이용가구(용도별)_Transport_Transport
Sajik-dong,Jongno-gu,7341.0,5030.0,5030,1470,831,7,3,-
Samcheong-dong,Jongno-gu,1927.0,1465.0,1465,332,128,2,-,-
Buam-dong,Jongno-gu,4147.0,3762.0,25,160,225,-,-,-
Pyeongchang-dong,Jongno-gu,6640.0,6194.0,120,207,228,-,11,-
Muak-dong,Jongno-gu,2842.0,2697.0,2697,99,40,5,1,-
Gyonam-dong,Jongno-gu,3718.0,3505.0,3505,147,62,4,-,-
Gahoe-dong,Jongno-gu,2642.0,2327.0,2327,225,86,4,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,6481.0,3754.0,3754,2198,517,11,1,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,3601.0,2726.0,2726,635,210,30,-,-
Ihwa-dong,Jongno-gu,5299.0,4502.0,4502,444,341,10,2,-
Changsin 1(il)-dong,Jongno-gu,2928.0,2657.0,2657,213,52,6,-,-
Changsin 2(i)-dong,Jongno-gu,5156.0,4902.0,4902,201,45,8,-,-
Changsin 3(sam)-dong,Jongno-gu,3019.0,2935.0,2935,54,21,9,-,-
Sungin 1(il)-dong,Jongno-gu,2847.0,2661.0,2661,102,78,6,-,-
Sungin 2(i)-dong,Jongno-gu,6122.0,5803.0,5803,276,40,3,-,-
Cheongunhyoja-dong,Jongno-gu,5730.0,5288.0,5288,258,177,7,-,-
Hyehwa-dong,Jongno-gu,11693.0,10734.0,10734,739,213,7,-,-
Sogong-dong,Jung-gu,2633.0,687.0,687,1643,302,-,-,1
Hoehyeon-dong,Jung-gu,3712.0,2799.0,2799,642,269,2,-,-
Myeong-dong,Jung-gu,2647.0,1040.0,1040,1149,444,4,10,-
Pil-dong,Jung-gu,2256.0,1426.0,1426,485,332,13,-,-
Jangchung-dong,Jung-gu,4576.0,4047.0,4047,310,213,6,-,-
Gwanghui-dong ,Jung-gu,3902.0,2285.0,2285,735,867,9,6,-
Euljiro-dong,Jung-gu,1324.0,790.0,790,325,203,6,-,-
Sindang 5(o)-dong,Jung-gu,4374.0,4023.0,4023,268,62,21,-,-
Hwanghak-dong,Jung-gu,6216.0,5618.0,5618,460,132,6,-,-
Jungnim-dong,Jung-gu,5908.0,5178.0,5178,599,114,17,-,-
Sindang-dong,Jung-gu,4966.0,4001.0,4001,540,419,6,-,-
Dasan-dong,Jung-gu,7209.0,6749.0,6749,272,168,20,-,-
Yaksu-dong,Jung-gu,7664.0,7316.0,7316,224,114,10,-,-
Cheonggu-dong,Jung-gu,6224.0,5985.0,5985,129,105,5,-,-
Donghwa-dong,Jung-gu,4204.0,3928.0,3928,175,94,7,-,-
Huam-dong,Yongsan-gu,8592.0,8168.0,8168,267,134,23,-,-
Yongsan 2-ga-dong,Yongsan-gu,6512.0,6221.0,6221,176,67,48,-,-
Namyeong-dong,Yongsan-gu,3909.0,3427.0,3427,347,112,23,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,6205.0,5742.0,572,190,271,2,-,-
Hyochang-dong,Yongsan-gu,4578.0,4230.0,12,104,244,-,-,-
Yongmun-dong,Yongsan-gu,5159.0,4859.0,19,149,151,-,-,-
Ichon 1(il)-dong,Yongsan-gu,8810.0,8423.0,8230,269,118,-,-,-
Ichon 2(i)-dong,Yongsan-gu,4299.0,4139.0,2655,75,85,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,5089.0,4627.0,4627,391,64,4,3,-
Itaewon 2(i)-dong,Yongsan-gu,6509.0,6178.0,6178,248,79,4,-,-
Seobinggo-dong,Yongsan-gu,5585.0,5294.0,4554,132,155,4,-,-
Bogwang-dong,Yongsan-gu,8548.0,8252.0,8252,242,45,9,-,-
Cheongpa-dong,Yongsan-gu,12002.0,10973.0,59,529,500,-,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,6644.0,5955.0,954,298,388,-,3,-
Hangangno-dong,Yongsan-gu,10160.0,9001.0,4945,575,583,1,-,-
Hannam-dong,Yongsan-gu,13432.0,12369.0,12369,683,362,14,4,-
Wangsimni 2(i)-dong,Seongdong-gu,6908.0,6711.0,6711,135,49,13,-,-
Majang-dong,Seongdong-gu,10546.0,10095.0,10095,321,108,22,-,-
Sageun-dong,Seongdong-gu,4379.0,4280.0,4280,81,14,4,-,-
Haengdang 1(il)-dong,Seongdong-gu,11397.0,10570.0,10570,618,201,8,-,-
Haengdang 2(i)-dong,Seongdong-gu,9121.0,8915.0,8915,138,62,6,-,-
Eungbong-dong,Seongdong-gu,5788.0,5671.0,5671,89,22,6,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,6440.0,6204.0,6204,171,52,10,3,-
Geumho 4(sa)-ga-dong,Seongdong-gu,6090.0,5862.0,5862,168,52,8,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,7059.0,6798.0,6798,165,73,22,-,1
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,8696.0,8227.0,8227,347,105,17,-,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,9072.0,8538.0,8538,395,110,29,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,5707.0,4785.0,4785,463,347,112,-,-
Songjeong-dong,Seongdong-gu,6304.0,6158.0,6158,101,39,6,-,-
Yongdap-dong,Seongdong-gu,8426.0,7969.0,7969,312,125,20,-,-
WangsimniDoseon-dong,Seongdong-gu,5966.0,5459.0,5459,381,115,11,-,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,8868.0,8496.0,8496,306,55,11,-,-
Oksu-dong,Seongdong-gu,8994.0,8727.0,8727,185,66,10,6,-
Hwayang-dong,Gwangjin-gu,18319.0,17090.0,17090,1067,160,2,-,-
Gunja-dong,Gwangjin-gu,12021.0,11426.0,11426,446,134,15,-,-
Junggok 1(il)-dong,Gwangjin-gu,7679.0,7255.0,7255,336,85,3,-,-
Junggok 2(i)-dong,Gwangjin-gu,9977.0,9484.0,9484,377,108,8,-,-
Junggok 3(sam)-dong,Gwangjin-gu,8409.0,8025.0,8025,300,74,10,-,-
Junggok 4(sa)-dong,Gwangjin-gu,12802.0,12280.0,12280,409,100,13,-,-
Neung-dong,Gwangjin-gu,6047.0,5774.0,5774,190,79,3,1,-
Guui 1(il)-dong,Gwangjin-gu,11729.0,11075.0,11075,428,219,7,-,-
Guui 2(i)-dong,Gwangjin-gu,11016.0,10457.0,10457,397,133,29,-,-
Guui 3(sam)-dong,Gwangjin-gu,11586.0,10880.0,10880,554,143,9,-,-
Gwangjang-dong,Gwangjin-gu,11859.0,11406.0,11406,325,114,14,-,-
Jayang 1(il)-dong,Gwangjin-gu,11495.0,11013.0,11013,378,97,7,-,-
Jayang 2(i)-dong,Gwangjin-gu,11101.0,10676.0,10676,318,97,10,-,-
Jayang 3(sam)-dong,Gwangjin-gu,10949.0,10515.0,10515,325,96,13,-,-
Jayang 4(sa)-dong,Gwangjin-gu,14653.0,14039.0,14039,521,79,14,-,-
Hoegi-dong,Dongdaemun-gu,8211.0,7594.0,7594,511,104,2,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,9411.0,9023.0,9023,328,49,11,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,11580.0,11259.0,11259,217,85,19,-,-
Cheongnyangni-dong,Dongdaemun-gu,10506.0,9949.0,9949,390,151,14,2,-
Yongsin-dong,Dongdaemun-gu,2.0,2.0,2,-,-,-,-,-
