Dong,楳舛_爽託舌_Gu_Gu_Gu_Gu,楳舛_爽託舌_Total_Total_Total_Number,楳舛_爽託舌_Total_Total_Total_Space,楳舛_爽託舌_Total_Public_Public_Number,楳舛_爽託舌_Total_Public_Public_Space,楳舛_爽託舌_Total_Private_Private_Number,楳舛_爽託舌_Total_Private_Private_Space,楳舛_爽託舌_Street parking_Total_Total_Number,楳舛_爽託舌_Street parking_Total_Total_Space,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Space,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Space,楳舛_爽託舌_Non-Street parking_Total_Total_Number,楳舛_爽託舌_Non-Street parking_Total_Total_Space,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Number,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Space,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Number,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Space,楳舛_爽託舌_Non-Street parking_Private_Private_Number,楳舛_爽託舌_Non-Street parking_Private_Private_Space,楳舛_爽託舌_Attached to buildings_Total_Total_Number,楳舛_爽託舌_Attached to buildings_Total_Total_Space,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Number,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Space,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Number,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Space,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Number,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Space
Sajik-dong,Jongno-gu,400,13082,17,234,383,12848,16,214,16,214,-,-,1,22,15,192,-,-,9,305,-,-,1,20,8,285,375,12563,105,213,71,2470,199,9880
Samcheong-dong,Jongno-gu,199,1909,16,167,183,1742,14,133,14,133,-,-,-,-,14,133,-,-,6,101,-,-,2,34,4,67,179,1675,83,176,12,75,84,1424
Buam-dong,Jongno-gu,584,3270,8,126,576,3144,8,126,8,126,-,-,-,-,8,126,-,-,2,27,-,-,-,-,2,27,574,3117,303,611,151,1199,120,1307
Pyeongchang-dong,Jongno-gu,1581,9197,20,309,1561,8888,18,234,18,234,-,-,-,-,18,234,-,-,3,285,1,38,1,37,1,210,1560,8678,1053,2047,280,4687,227,1944
Muak-dong,Jongno-gu,34,2888,-,-,34,2888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,2888,5,10,13,2708,16,170
Gyonam-dong,Jongno-gu,267,1860,15,193,252,1667,13,149,13,149,-,-,-,-,13,149,-,-,3,54,-,-,2,44,1,10,251,1657,79,170,101,414,71,1073
Gahoe-dong,Jongno-gu,262,2958,10,241,252,2717,10,241,10,241,-,-,-,-,10,241,-,-,1,4,-,-,-,-,1,4,251,2713,90,215,93,399,68,2099
Jongno 1，2，3，4(ilisamsa)-ga-dong,Jongno-gu,637,17435,26,1890,611,15545,24,427,24,427,-,-,4,116,20,311,-,-,33,2455,1,1418,1,45,31,992,580,14553,37,104,8,1153,535,13296
Jongno 5，6(oryuk)-ga-dong,Jongno-gu,432,4508,9,241,423,4267,9,241,9,241,-,-,1,103,8,138,-,-,11,360,-,-,-,-,11,360,412,3907,80,163,25,110,307,3634
Ihwa-dong,Jongno-gu,440,6174,20,293,420,5881,17,156,17,156,-,-,-,-,17,156,-,-,6,208,-,-,3,137,3,71,417,5810,106,271,107,589,204,4950
Changsin 1(il)-dong,Jongno-gu,166,2213,5,95,161,2118,4,9,4,9,-,-,-,-,4,9,-,-,7,172,-,-,1,86,6,86,155,2032,46,97,14,576,95,1359
Changsin 2(i)-dong,Jongno-gu,246,998,10,165,236,833,9,145,9,145,-,-,-,-,9,145,-,-,2,36,-,-,1,20,1,16,235,817,75,150,112,463,48,204
Changsin 3(sam)-dong,Jongno-gu,53,1608,6,207,47,1401,3,54,3,54,-,-,-,-,3,54,-,-,6,185,-,-,3,153,3,32,44,1369,14,26,9,850,21,493
Sungin 1(il)-dong,Jongno-gu,148,1616,5,83,143,1533,4,45,4,45,-,-,-,-,4,45,-,-,3,73,-,-,1,38,2,35,141,1498,49,108,45,1124,47,266
Sungin 2(i)-dong,Jongno-gu,351,3303,12,138,339,3165,10,108,10,108,-,-,1,38,9,70,-,-,11,268,-,-,2,30,9,238,330,2927,41,102,142,1151,147,1674
Cheongunhyoja-dong,Jongno-gu,665,6955,19,1652,646,5303,15,1408,15,1408,-,-,2,1173,13,235,-,-,5,249,-,-,4,244,1,5,645,5298,250,529,279,1772,116,2997
Hyehwa-dong,Jongno-gu,861,6334,14,343,847,5991,9,182,9,182,-,-,-,-,9,182,-,-,11,356,-,-,5,161,6,195,841,5796,391,1003,206,2037,244,2756
Sogong-dong,Jung-gu,169,15250,13,230,156,15020,9,127,9,127,-,-,2,58,7,69,-,-,13,629,3,51,1,52,9,526,147,14494,5,10,5,931,137,13553
Hoehyeon-dong,Jung-gu,226,12559,10,252,216,12307,9,225,9,225,-,-,1,65,8,160,-,-,13,648,-,-,1,27,12,621,204,11686,31,90,18,1402,155,10194
Myeong-dong,Jung-gu,290,16397,14,239,276,16158,12,176,12,176,-,-,2,74,10,102,-,-,14,715,-,-,2,63,12,652,264,15506,31,128,5,43,228,15335
Pil-dong,Jung-gu,398,5757,10,428,388,5329,7,261,7,261,-,-,1,50,6,211,-,-,14,559,2,119,1,48,11,392,377,4937,70,196,20,307,287,4434
Jangchung-dong,Jung-gu,328,5918,7,241,321,5677,6,135,6,135,-,-,-,-,6,135,-,-,3,218,-,-,1,106,2,112,319,5565,73,238,84,642,162,4685
Gwanghui-dong ,Jung-gu,272,8639,9,858,263,7781,8,356,8,356,-,-,1,68,7,288,-,-,8,1158,-,-,1,502,7,656,256,7125,42,74,9,768,205,6283
Euljiro-dong,Jung-gu,162,4440,12,255,150,4185,11,182,11,182,-,-,1,74,10,108,-,-,13,1366,-,-,1,73,12,1293,138,2892,-,-,1,80,137,2812
Sindang 5(o)-dong,Jung-gu,280,2970,15,125,265,2845,13,52,13,52,-,-,-,-,13,52,-,-,2,73,-,-,2,73,-,-,265,2845,107,241,42,1586,116,1018
Hwanghak-dong,Jung-gu,321,4946,-,-,321,4946,-,-,-,-,-,-,-,-,-,-,-,-,9,278,-,-,-,-,9,278,312,4668,120,249,20,3729,172,690
Jungnim-dong,Jung-gu,187,4986,12,517,175,4469,10,99,10,99,-,-,1,19,9,80,-,-,5,674,-,-,2,418,3,256,172,4213,63,117,44,1442,65,2654
Sindang-dong,Jung-gu,439,5214,14,1340,425,3874,11,210,11,210,-,-,4,96,7,114,-,-,6,1264,2,1103,1,27,3,134,422,3740,132,272,38,341,252,3127
Dasan-dong,Jung-gu,641,4054,18,330,623,3724,12,52,12,52,-,-,-,-,12,52,-,-,8,369,-,-,6,278,2,91,621,3633,194,535,216,1510,211,1588
Yaksu-dong,Jung-gu,199,6119,14,103,185,6016,13,13,13,13,-,-,-,-,13,13,-,-,1,90,-,-,1,90,-,-,185,6016,39,114,84,5066,62,836
Cheonggu-dong,Jung-gu,238,4937,12,133,226,4804,10,49,10,49,-,-,-,-,10,49,-,-,2,84,-,-,2,84,-,-,226,4804,95,266,39,3803,92,735
Donghwa-dong,Jung-gu,308,4394,12,98,296,4296,11,19,11,19,-,-,-,-,11,19,-,-,1,79,-,-,1,79,-,-,296,4296,107,296,48,2781,141,1219
Huam-dong,Yongsan-gu,256,・,・,・,・,・,・,・,・,・,-,-,・,・,22,245,-,-,7,165,-,-,2,51,5,114,114,・,・,・,64,445,109,4239
Yongsan 2-ga-dong,Yongsan-gu,348,・,・,・,・,・,・,・,・,・,-,-,・,・,21,123,-,-,7,159,1,24,2,82,4,53,53,・,・,・,68,775,61,584
Namyeong-dong,Yongsan-gu,280,・,・,・,・,・,・,・,・,・,-,-,・,・,17,205,-,-,3,98,-,-,1,35,2,63,63,・,・,・,79,4187,65,2333
