Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Sajik-dong,Jongno-gu,1.23,0.2,1.0,12,16.0,104.0
Samcheong-dong,Jongno-gu,1.49,0.25,1.0,7,10.0,50.0
Buam-dong,Jongno-gu,2.27,0.38,1.0,3,18.0,118.0
Pyeongchang-dong,Jongno-gu,8.87,1.47,1.0,2,19.0,150.0
Muak-dong,Jongno-gu,0.36,0.06,1.0,1,12.0,81.0
Gyonam-dong,Jongno-gu,0.35,0.06,1.0,6,9.0,57.0
Gahoe-dong,Jongno-gu,0.54,0.09,1.0,4,11.0,70.0
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,2.35,0.39,1.0,28,21.0,69.0
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,0.6,0.1,1.0,5,15.0,87.0
Ihwa-dong,Jongno-gu,0.78,0.13,1.0,3,15.0,99.0
Changsin 1(il)-dong,Jongno-gu,0.31,0.05,1.0,1,13.0,75.0
Changsin 2(i)-dong,Jongno-gu,0.26,0.04,1.0,-,19.0,127.0
Changsin 3(sam)-dong,Jongno-gu,0.23,0.04,1.0,-,14.0,89.0
Sungin 1(il)-dong,Jongno-gu,0.23,0.04,1.0,1,11.0,81.0
Sungin 2(i)-dong,Jongno-gu,0.35,0.06,1.0,-,16.0,101.0
Cheongunhyoja-dong,Jongno-gu,2.57,0.42,1.0,9,22.0,152.0
Hyehwa-dong,Jongno-gu,1.12,0.19,1.0,5,29.0,198.0
Sogong-dong,Jung-gu,0.95,0.16,1.0,11,6.0,31.0
Hoehyeon-dong,Jung-gu,0.84,0.14,1.0,7,16.0,98.0
Myeong-dong,Jung-gu,0.99,0.16,1.0,18,14.0,65.0
Pil-dong,Jung-gu,1.14,0.19,1.0,7,12.0,65.0
Jangchung-dong,Jung-gu,1.36,0.22,1.0,3,9.0,48.0
Gwanghui-dong ,Jung-gu,0.74,0.12,1.0,10,16.0,108.0
Euljiro-dong,Jung-gu,0.6,0.1,1.0,10,10.0,54.0
Sindang 5(o)-dong,Jung-gu,0.39,0.06,1.0,-,20.0,126.0
Hwanghak-dong,Jung-gu,0.33,0.05,1.0,1,25.0,152.0
Jungnim-dong,Jung-gu,0.48,0.08,1.0,4,20.0,153.0
Sindang-dong,Jung-gu,0.55,0.09,1.0,3,17.0,90.0
Dasan-dong,Jung-gu,0.51,0.08,1.0,-,20.0,125.0
Yaksu-dong,Jung-gu,0.48,0.08,1.0,-,31.0,201.0
Cheonggu-dong,Jung-gu,0.34,0.06,1.0,-,20.0,165.0
Donghwa-dong,Jung-gu,0.26,0.04,1.0,-,18.0,118.0
Huam-dong,Yongsan-gu,0.86,0.14,1.0,1,23.0,179.0
Yongsan 2-ga-dong,Yongsan-gu,1.96,0.32,1.0,2,20.0,127.0
Namyeong-dong,Yongsan-gu,1.19,0.2,1.0,4,13.0,92.0
Wonhyoro 2(i)-dong,Yongsan-gu,0.71,0.12,1.0,5,22.0,148.0
Hyochang-dong,Yongsan-gu,0.44,0.07,1.0,1,13.0,103.0
Yongmun-dong,Yongsan-gu,0.28,0.05,1.0,2,17.0,130.0
Ichon 1(il)-dong,Yongsan-gu,2.86,0.47,1.0,1,33.0,250.0
Ichon 2(i)-dong,Yongsan-gu,1.22,0.2,1.0,-,14.0,96.0
Itaewon 1(il)-dong,Yongsan-gu,0.57,0.09,1.0,1,15.0,102.0
Itaewon 2(i)-dong,Yongsan-gu,0.86,0.14,1.0,-,17.0,131.0
Seobinggo-dong,Yongsan-gu,2.8,0.46,1.0,4,15.0,137.0
Bogwang-dong,Yongsan-gu,0.71,0.12,1.0,1,25.0,198.0
Cheongpa-dong,Yongsan-gu,0.91,0.15,1.0,4,31.0,247.0
Wonhyoro 1(il)-dong,Yongsan-gu,0.59,0.1,1.0,4,19.0,121.0
Hangangno-dong,Yongsan-gu,2.9,0.48,1.0,5,35.0,211.0
Hannam-dong,Yongsan-gu,3.01,0.5,1.0,1,38.0,284.0
Wangsimni 2(i)-dong,Seongdong-gu,0.41,0.07,1.0,1,20.0,146.0
Majang-dong,Seongdong-gu,1.06,0.18,1.0,1,34.0,255.0
Sageun-dong,Seongdong-gu,1.11,0.18,1.0,1,20.0,153.0
Haengdang 1(il)-dong,Seongdong-gu,0.59,0.1,1.0,1,26.0,198.0
Haengdang 2(i)-dong,Seongdong-gu,0.42,0.07,1.0,-,27.0,152.0
Eungbong-dong,Seongdong-gu,0.57,0.09,1.0,1,21.0,177.0
Geumho 1(il)-ga-dong,Seongdong-gu,0.46,0.08,1.0,1,25.0,142.0
Geumho 4(sa)-ga-dong,Seongdong-gu,0.84,0.14,1.0,1,21.0,139.0
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1.98,0.33,1.0,1,25.0,204.0
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,0.89,0.15,1.0,-,23.0,181.0
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,1.18,0.19,1.0,1,34.0,271.0
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,1.03,0.17,1.0,-,20.0,149.0
Songjeong-dong,Seongdong-gu,0.68,0.11,1.0,1,23.0,171.0
Yongdap-dong,Seongdong-gu,2.32,0.38,1.0,1,25.0,208.0
WangsimniDoseon-dong,Seongdong-gu,0.72,0.12,1.0,3,17.0,147.0
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,0.64,0.11,1.0,2,30.0,237.0
Oksu-dong,Seongdong-gu,1.95,0.32,1.0,1,30.0,192.0
Hwayang-dong,Gwangjin-gu,1.16,0.19,1.0,1,29.0,244.0
Gunja-dong,Gwangjin-gu,0.74,0.12,1.0,1,27.0,225.0
Junggok 1(il)-dong,Gwangjin-gu,0.62,0.1,1.0,1,18.0,144.0
Junggok 2(i)-dong,Gwangjin-gu,0.55,0.09,1.0,-,21.0,173.0
Junggok 3(sam)-dong,Gwangjin-gu,0.6,0.1,1.0,-,21.0,169.0
Junggok 4(sa)-dong,Gwangjin-gu,2.32,0.38,1.0,-,28.0,216.0
Neung-dong,Gwangjin-gu,1.1,0.18,1.0,1,10.0,84.0
Guui 1(il)-dong,Gwangjin-gu,0.56,0.09,1.0,1,23.0,206.0
Guui 2(i)-dong,Gwangjin-gu,1.39,0.23,1.0,-,21.0,186.0
