Dong,화재_원인별화재발생_Autonomous Gu_Autonomous Gu,화재_원인별화재발생_Total_Total,화재_원인별화재발생_Accident_Electrical distribution,화재_원인별화재발생_Accident_Machinery,화재_원인별화재발생_Accident_Chemicals,화재_원인별화재발생_Accident_Gas,화재_원인별화재발생_Accident_Traffic accident,화재_원인별화재발생_Accident_Careless,화재_원인별화재발생_Accident_Other,화재_원인별화재발생_By natural_By natural,화재_원인별화재발생_Arson_Arson,화재_원인별화재발생_Arson_Incendiary suspicious,화재_원인별화재발생_Unknown_Unknown
Sajik-dong,Jongno-gu,16.0,5,-,-,-,-,9,-,-,-,-,2
Samcheong-dong,Jongno-gu,7.0,1,-,-,-,-,6,-,-,-,-,-
Buam-dong,Jongno-gu,6.0,2,-,-,-,1,3,-,-,-,-,-
Pyeongchang-dong,Jongno-gu,12.0,6,1,-,-,-,4,-,-,-,-,1
Muak-dong,Jongno-gu,4.0,-,-,-,-,-,3,1,-,-,-,-
Gyonam-dong,Jongno-gu,10.0,1,-,-,-,-,7,-,-,-,2,-
Gahoe-dong,Jongno-gu,5.0,2,1,-,-,-,2,-,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,78.0,31,5,-,-,-,31,1,-,5,1,4
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,19.0,8,1,-,-,-,10,-,-,-,-,-
Ihwa-dong,Jongno-gu,18.0,4,-,-,-,-,11,-,-,1,1,1
Changsin 1(il)-dong,Jongno-gu,12.0,-,2,-,-,-,6,-,-,-,1,3
Changsin 2(i)-dong,Jongno-gu,11.0,2,1,-,-,-,5,-,-,-,-,3
Changsin 3(sam)-dong,Jongno-gu,2.0,-,-,-,-,-,2,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,7.0,1,-,-,-,-,2,-,-,-,-,4
Sungin 2(i)-dong,Jongno-gu,15.0,2,1,-,-,-,11,-,-,-,-,1
Cheongunhyoja-dong,Jongno-gu,11.0,3,-,-,-,-,5,-,-,3,-,-
Hyehwa-dong,Jongno-gu,21.0,1,-,-,-,-,15,-,-,1,1,3
Sogong-dong,Jung-gu,10.0,5,-,-,-,-,3,-,-,1,-,1
Hoehyeon-dong,Jung-gu,14.0,6,-,-,-,-,4,1,-,1,-,2
Myeong-dong,Jung-gu,24.0,9,-,-,-,-,4,3,-,3,-,5
Pil-dong,Jung-gu,18.0,8,-,-,-,-,7,-,-,-,-,3
Jangchung-dong,Jung-gu,4.0,1,1,-,-,-,-,1,-,1,-,-
Gwanghui-dong ,Jung-gu,18.0,8,-,-,-,-,6,2,-,-,-,2
Euljiro-dong,Jung-gu,26.0,6,1,-,-,-,9,3,-,-,1,6
Sindang 5(o)-dong,Jung-gu,10.0,4,-,-,-,-,5,-,-,-,-,1
Hwanghak-dong,Jung-gu,12.0,4,-,-,-,-,5,1,-,-,1,1
Jungnim-dong,Jung-gu,5.0,1,-,-,-,-,3,-,-,1,-,-
Sindang-dong,Jung-gu,16.0,6,-,-,-,-,9,-,-,-,-,1
Dasan-dong,Jung-gu,8.0,2,-,-,-,-,4,1,-,-,-,1
Yaksu-dong,Jung-gu,11.0,2,1,-,-,-,6,-,-,-,-,2
Cheonggu-dong,Jung-gu,6.0,-,-,-,-,-,2,-,-,1,-,3
Donghwa-dong,Jung-gu,8.0,4,-,-,-,-,4,-,-,-,-,-
Huam-dong,Yongsan-gu,8.0,1,-,-,-,-,4,-,1,1,-,1
Yongsan 2-ga-dong,Yongsan-gu,10.0,4,1,-,-,-,5,-,-,-,-,-
Namyeong-dong,Yongsan-gu,12.0,1,-,-,-,-,8,-,-,2,-,1
Wonhyoro 2(i)-dong,Yongsan-gu,2.0,-,-,-,-,-,2,-,-,-,-,-
Hyochang-dong,Yongsan-gu,6.0,1,-,-,-,-,4,-,-,-,-,1
Yongmun-dong,Yongsan-gu,5.0,1,1,-,-,-,2,-,-,-,-,1
Ichon 1(il)-dong,Yongsan-gu,5.0,1,-,-,-,1,3,-,-,-,-,-
Ichon 2(i)-dong,Yongsan-gu,11.0,4,2,-,-,-,5,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,13.0,2,2,-,-,-,4,1,-,-,1,3
Itaewon 2(i)-dong,Yongsan-gu,3.0,1,-,-,-,-,2,-,-,-,-,-
Seobinggo-dong,Yongsan-gu,12.0,2,2,-,-,-,5,-,-,-,2,1
Bogwang-dong,Yongsan-gu,15.0,4,-,-,-,-,7,-,-,1,1,2
Cheongpa-dong,Yongsan-gu,13.0,2,-,-,-,-,8,-,-,-,1,2
Wonhyoro 1(il)-dong,Yongsan-gu,10.0,3,-,-,-,-,7,-,-,-,-,-
Hangangno-dong,Yongsan-gu,15.0,3,1,-,-,-,7,-,-,1,1,2
Hannam-dong,Yongsan-gu,30.0,9,1,-,-,1,11,-,-,-,1,7
Wangsimni 2(i)-dong,Seongdong-gu,7.0,1,-,-,-,-,5,-,-,-,1,-
Majang-dong,Seongdong-gu,24.0,14,3,1,-,-,6,-,-,-,-,-
Sageun-dong,Seongdong-gu,9.0,1,2,-,-,-,5,-,-,-,1,-
Haengdang 1(il)-dong,Seongdong-gu,14.0,3,1,-,-,-,7,-,-,-,-,3
Haengdang 2(i)-dong,Seongdong-gu,5.0,3,-,-,-,-,2,-,-,-,-,-
Eungbong-dong,Seongdong-gu,2.0,1,-,-,-,-,1,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,5.0,3,-,-,-,-,1,-,-,-,1,-
Geumho 4(sa)-ga-dong,Seongdong-gu,2.0,-,-,-,-,1,-,-,-,-,-,1
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,9.0,4,1,-,1,-,3,-,-,-,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,13.0,5,-,-,-,-,5,-,-,-,1,2
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,11.0,2,1,-,-,-,8,-,-,-,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,29.0,7,2,-,-,-,15,1,-,1,-,3
Songjeong-dong,Seongdong-gu,12.0,2,-,2,-,-,6,-,-,-,-,2
Yongdap-dong,Seongdong-gu,13.0,3,2,-,-,1,6,-,-,-,1,-
WangsimniDoseon-dong,Seongdong-gu,13.0,2,-,-,-,1,9,-,-,1,-,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,8.0,3,1,-,-,-,4,-,-,-,-,-
Oksu-dong,Seongdong-gu,9.0,2,2,-,-,-,3,-,-,-,1,1
Hwayang-dong,Gwangjin-gu,37.0,14,2,1,-,-,18,-,-,-,-,2
Gunja-dong,Gwangjin-gu,12.0,5,-,-,-,-,4,-,-,-,-,3
Junggok 1(il)-dong,Gwangjin-gu,12.0,3,-,-,-,-,8,-,-,-,-,1
Junggok 2(i)-dong,Gwangjin-gu,12.0,3,-,-,-,-,9,-,-,-,-,-
Junggok 3(sam)-dong,Gwangjin-gu,9.0,-,1,-,1,-,5,-,-,-,1,1
Junggok 4(sa)-dong,Gwangjin-gu,10.0,3,-,-,-,-,6,-,-,1,-,-
Neung-dong,Gwangjin-gu,6.0,1,-,-,-,-,5,-,-,-,-,-
Guui 1(il)-dong,Gwangjin-gu,18.0,7,-,-,-,-,9,-,-,-,1,1
Guui 2(i)-dong,Gwangjin-gu,7.0,2,-,-,-,-,3,-,-,-,2,-
