Dong,화재_장소별화재발생_Autonomous Gu_Autonomous Gu,화재_장소별화재발생_Total_Total,화재_장소별화재발생_Hou-sing_Detached dwelling,화재_장소별화재발생_Hou-sing_공동주택,화재_장소별화재발생_Hou-sing_기타주택,화재_장소별화재발생_비주거_학교,화재_장소별화재발생_비주거_일반업무,화재_장소별화재발생_비주거_판매시설,화재_장소별화재발생_비주거_숙박시설,화재_장소별화재발생_비주거_종교시설,화재_장소별화재발생_비주거_의료시설,화재_장소별화재발생_비주거_공장 및 창고,화재_장소별화재발생_비주거_작업장,화재_장소별화재발생_비주거_위락오락시설,화재_장소별화재발생_비주거_음식점,화재_장소별화재발생_비주거_일반서비스시설,화재_장소별화재발생_비주거_Others,"화재_장소별화재발생_위험물(가스, 제조소 등)_위험물(가스, 제조소 등)","화재_장소별화재발생_운송(차량, 철도 등)_운송(차량, 철도 등)",화재_장소별화재발생_임야_임야,화재_장소별화재발생_Others_Others
Sajik-dong,Jongno-gu,16.0,1,1,-,-,2,1,-,-,1,-,-,-,4,1,1,-,2,-,2
Samcheong-dong,Jongno-gu,7.0,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,1
Buam-dong,Jongno-gu,6.0,1,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
Pyeongchang-dong,Jongno-gu,12.0,4,3,-,-,1,-,-,1,-,-,-,-,1,-,1,-,1,-,-
Muak-dong,Jongno-gu,4.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Gyonam-dong,Jongno-gu,10.0,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,5
Gahoe-dong,Jongno-gu,5.0,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,1
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,78.0,1,2,-,-,5,4,3,-,-,-,10,-,23,1,5,-,8,-,16
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,19.0,1,1,-,-,2,3,-,-,-,-,2,-,3,4,-,-,1,-,2
Ihwa-dong,Jongno-gu,18.0,6,3,-,1,1,-,-,-,-,-,-,-,3,-,-,-,-,-,4
Changsin 1(il)-dong,Jongno-gu,12.0,-,2,-,-,-,-,-,-,-,-,2,-,-,4,-,-,3,-,1
Changsin 2(i)-dong,Jongno-gu,11.0,2,3,-,-,-,-,-,-,-,-,2,-,-,2,-,-,1,-,1
Changsin 3(sam)-dong,Jongno-gu,2.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,7.0,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,15.0,2,4,1,-,1,-,-,-,-,-,1,-,4,1,1,-,-,-,-
Cheongunhyoja-dong,Jongno-gu,11.0,2,4,-,-,1,1,-,1,-,-,-,-,-,-,-,-,2,-,-
Hyehwa-dong,Jongno-gu,21.0,7,2,-,-,-,1,-,-,-,-,-,-,4,-,3,-,2,-,2
Sogong-dong,Jung-gu,10.0,-,-,-,-,3,-,1,-,-,-,-,1,2,-,2,-,-,-,1
Hoehyeon-dong,Jung-gu,14.0,-,-,-,-,2,2,-,-,-,1,-,-,3,1,-,-,-,-,5
Myeong-dong,Jung-gu,24.0,-,-,-,-,4,2,2,-,-,-,-,1,5,1,2,-,1,-,6
Pil-dong,Jung-gu,18.0,-,1,-,1,4,-,-,-,1,3,-,-,4,1,1,-,-,-,2
Jangchung-dong,Jung-gu,4.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-
Gwanghui-dong ,Jung-gu,18.0,1,1,-,-,3,-,-,-,-,1,3,1,3,-,1,-,-,-,4
Euljiro-dong,Jung-gu,26.0,-,-,-,-,6,1,-,-,-,3,9,-,2,1,-,-,1,-,3
Sindang 5(o)-dong,Jung-gu,10.0,3,1,-,-,1,-,-,-,-,-,-,-,2,1,2,-,-,-,-
Hwanghak-dong,Jung-gu,12.0,2,1,1,-,-,2,-,-,-,1,-,1,2,1,-,-,-,-,1
Jungnim-dong,Jung-gu,5.0,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2
Sindang-dong,Jung-gu,16.0,5,1,1,1,1,2,-,-,-,-,-,-,-,2,-,-,2,-,1
Dasan-dong,Jung-gu,8.0,3,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,1
Yaksu-dong,Jung-gu,11.0,-,4,-,-,-,1,-,-,-,-,-,-,2,1,1,-,1,-,1
Cheonggu-dong,Jung-gu,6.0,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
Donghwa-dong,Jung-gu,8.0,2,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,3
Huam-dong,Yongsan-gu,8.0,3,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2
Yongsan 2-ga-dong,Yongsan-gu,10.0,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1
Namyeong-dong,Yongsan-gu,12.0,2,3,1,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,1
Wonhyoro 2(i)-dong,Yongsan-gu,2.0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hyochang-dong,Yongsan-gu,6.0,-,2,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1
