Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Sajik-dong,Jongno-gu,16.0,14.0,-,2,-,-,17,20952,3114,17838,62809,-,-,-,-,-
Samcheong-dong,Jongno-gu,7.0,7.0,-,-,1,-,-,3275,1012,2263,213265,-,-,-,-,-
Buam-dong,Jongno-gu,6.0,6.0,-,-,-,-,-,3962,785,3177,1420,1,-,1,-,3
Pyeongchang-dong,Jongno-gu,12.0,11.0,-,1,-,-,53,40149,34255,5894,529092,-,-,-,-,-
Muak-dong,Jongno-gu,4.0,4.0,-,-,-,-,-,945,-,945,3465,-,-,-,-,-
Gyonam-dong,Jongno-gu,10.0,8.0,2,-,1,-,-,933,22,911,180,-,-,-,-,-
Gahoe-dong,Jongno-gu,5.0,5.0,-,-,-,-,22,11953,5326,6627,52638,-,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,78.0,68.0,6,4,4,-,1326,567314,247934,319380,10441021,-,-,-,-,-
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,19.0,19.0,-,-,1,-,5,4696,307,4389,1294415,-,-,-,-,-
Ihwa-dong,Jongno-gu,18.0,15.0,2,1,-,-,-,10160,2478,7682,76454,-,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,12.0,8.0,1,3,1,-,120,93803,14093,79710,241919,-,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,11.0,8.0,-,3,-,-,130,203175,15122,188053,520953,-,-,-,-,-
Changsin 3(sam)-dong,Jongno-gu,2.0,2.0,-,-,-,-,-,95,-,95,45,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,7.0,3.0,-,4,-,-,22,15010,5255,9755,5491196,-,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,15.0,14.0,-,1,-,-,55,20209,10502,9707,852186,2,1,1,-,-
Cheongunhyoja-dong,Jongno-gu,11.0,8.0,3,-,-,-,297,146065,29095,116970,268987,-,-,-,-,-
Hyehwa-dong,Jongno-gu,21.0,16.0,2,3,-,-,44,23063,12041,11022,312726,-,-,-,-,-
Sogong-dong,Jung-gu,10.0,8.0,1,1,3,-,35,96395,74364,22031,-,-,-,-,-,-
Hoehyeon-dong,Jung-gu,14.0,11.0,1,2,1,-,46,29233,12158,17075,-,2,2,-,-,-
Myeong-dong,Jung-gu,24.0,16.0,3,5,1,-,43,125028,24558,100470,-,-,-,-,-,-
Pil-dong,Jung-gu,18.0,15.0,-,3,2,-,38,628931,9974,618957,73135,-,-,-,-,-
Jangchung-dong,Jung-gu,4.0,3.0,1,-,-,-,-,14581,-,14581,-,1,1,-,-,-
Gwanghui-dong ,Jung-gu,18.0,16.0,-,2,1,-,45,42441,6139,36302,98530,-,-,-,-,-
Euljiro-dong,Jung-gu,26.0,19.0,1,6,9,-,636,324350,78667,245683,-,1,-,1,-,-
Sindang 5(o)-dong,Jung-gu,10.0,9.0,-,1,1,-,10,6007,1531,4476,-,-,-,-,-,-
Hwanghak-dong,Jung-gu,12.0,10.0,1,1,3,-,108,67367,18101,49266,141215,3,-,3,-,6
Jungnim-dong,Jung-gu,5.0,4.0,1,-,-,-,10,8258,2745,5513,-,2,2,-,-,-
Sindang-dong,Jung-gu,16.0,15.0,-,1,5,-,533,206859,64858,142001,-,2,-,2,-,-
Dasan-dong,Jung-gu,8.0,7.0,-,1,-,3,102,129191,25321,103870,-,-,-,-,7,-
Yaksu-dong,Jung-gu,11.0,9.0,-,2,-,-,20,27466,16731,10735,-,1,-,1,-,5
Cheonggu-dong,Jung-gu,6.0,2.0,1,3,-,-,-,4611,79,4532,-,-,-,-,-,-
Donghwa-dong,Jung-gu,8.0,8.0,-,-,-,-,30,111489,21338,90151,-,-,-,-,-,-
Huam-dong,Yongsan-gu,8.0,6.0,1,1,3,-,45,18299,12210,6089,130453,-,-,-,-,-
Yongsan 2-ga-dong,Yongsan-gu,10.0,10.0,-,-,1,-,40,26784,17000,9784,3739735,1,-,1,-,9
Namyeong-dong,Yongsan-gu,12.0,9.0,2,1,2,-,29,17542,7518,10024,347241,1,-,1,-,1
Wonhyoro 2(i)-dong,Yongsan-gu,2.0,2.0,-,-,-,-,-,85,15,70,35,-,-,-,-,-
Hyochang-dong,Yongsan-gu,6.0,5.0,-,1,-,-,-,949,-,949,128363,-,-,-,-,-
Yongmun-dong,Yongsan-gu,5.0,4.0,-,1,-,-,10,4243,1595,2648,193804,-,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,5.0,5.0,-,-,-,-,40,95840,15593,80247,1327377,1,1,-,-,-
Ichon 2(i)-dong,Yongsan-gu,11.0,11.0,-,-,3,-,70,49498,11810,37688,20512465,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,13.0,8.0,1,4,-,-,267,255444,38912,216532,1526831,-,-,-,-,-
Itaewon 2(i)-dong,Yongsan-gu,3.0,3.0,-,-,-,-,-,773,-,773,148,-,-,-,-,-
Seobinggo-dong,Yongsan-gu,12.0,9.0,2,1,-,-,5,19761,1599,18162,25604,1,-,1,-,1
Bogwang-dong,Yongsan-gu,15.0,11.0,2,2,1,-,48,29607,13558,16049,90395,-,-,-,-,-
Cheongpa-dong,Yongsan-gu,13.0,10.0,1,2,-,-,-,3286,238,3048,273800,-,-,-,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,10.0,10.0,-,-,-,-,-,2157,418,1739,104218140,-,-,-,-,-
Hangangno-dong,Yongsan-gu,15.0,11.0,2,2,-,-,3,3585,2067,1518,890,-,-,-,-,-
Hannam-dong,Yongsan-gu,30.0,22.0,1,7,2,-,44,88162,9179,78983,3293946,-,-,-,-,-
Wangsimni 2(i)-dong,Seongdong-gu,7.0,6.0,1,-,-,-,13,72454,10197,62257,2321,-,-,-,-,-
Majang-dong,Seongdong-gu,24.0,24.0,-,-,4,1,160,107126,34735,72391,1507465,-,-,-,3,2
Sageun-dong,Seongdong-gu,9.0,8.0,1,-,-,-,1,2228,131,2097,-,-,-,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,14.0,11.0,-,3,1,-,806,227454,210523,16931,814344876,4,-,4,-,2
Haengdang 2(i)-dong,Seongdong-gu,5.0,5.0,-,-,-,-,-,601,78,523,566967,-,-,-,-,-
Eungbong-dong,Seongdong-gu,2.0,2.0,-,-,-,-,2,1290,529,761,-,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,5.0,4.0,1,-,-,-,7,589,411,178,32191,-,-,-,-,-
