Sajik-dong,Sajik-dong
Samcheong-dong,Samcheong-dong
Buam-dong,Buam-dong
Pyeongchang-dong,Pyeongchang-dong
Muak-dong,Muak-dong
Gyonam-dong,Gyonam-dong
Gahoe-dong,Gahoe-dong
Jongno 1，2，3，4(ilisamsa)-ga-dong,Jongno 1.2.3.4-ga-dong
Jongno 5，6(oryuk)-ga-dong,Jongno 5.6-ga-dong
Ihwa-dong,Ihwa-dong
Changsin 1(il)-dong,Changsin 1-dong
Changsin 2(i)-dong,Changsin 2-dong
Changsin 3(sam)-dong,Changsin 3-dong
Sungin 1(il)-dong,Sungin 1-dong
Sungin 2(i)-dong,Sungin 2-dong
Cheongunhyoja-dong,Cheongunhyoja-dong
Hyehwa-dong,Hyehwa-dong
Sogong-dong,Sogong-dong
Hoehyeon-dong,Hoehyeon-dong
Myeong-dong,Myeong-dong
Pil-dong,Pil-dong
Jangchung-dong,Jangchung-dong
Gwanghui-dong ,Gwanghui-dong
Euljiro-dong,Euljiro-dong
Sindang 5(o)-dong,Sindang 5-dong
Hwanghak-dong,Hwanghak-dong
Jungnim-dong,Jungnim-dong
Sindang-dong,Sindang 1-dong
Dasan-dong,Sindang 2-dong
Yaksu-dong,Sindang 3-dong
Cheonggu-dong,Sindang 4-dong
Donghwa-dong,Sindang 6-dong
Huam-dong,Huam-dong
Yongsan 2-ga-dong,Yongsan 2-ga-dong
Namyeong-dong,Namyeong-dong
Wonhyoro 2(i)-dong,Wonhyoro 2-dong
Hyochang-dong,Hyochang-dong
Yongmun-dong,Yongmun-dong
Ichon 1(il)-dong,Ichon 1-dong
Ichon 2(i)-dong,Ichon 2-dong
Itaewon 1(il)-dong,Itaewon 1-dong
Itaewon 2(i)-dong,Itaewon 2-dong
Seobinggo-dong,Seobinggo-dong
Bogwang-dong,Bogwang-dong
Cheongpa-dong,Cheongpa-dong
Wonhyoro 1(il)-dong,Wonhyoro 1-dong
Hangangno-dong,Hangangro-dong
Hannam-dong,Hannam-dong
Wangsimni 2(i)-dong,Wangsimni 2-dong
Majang-dong,Majang-dong
Sageun-dong,Sageun-dong
Haengdang 1(il)-dong,Haengdang 1-dong
Haengdang 2(i)-dong,Haengdang 2-dong
Eungbong-dong,Eungbong-dong
Geumho 1(il)-ga-dong,Geumho 1-ga-dong
Geumho 4(sa)-ga-dong,Geumho 4-ga-dong
Seongsu 1(il)-ga1(il)-dong,Seongsu 1-ga1-dong
Seongsu 1(il)-ga2(i)-dong,Seongsu 1-ga2-dong
Seongsu 2(i)-ga1(il)-dong,Seongsu 2-ga1-dong
Seongsu 2(i)-ga 3(sam)-dong,Seongsu 2-ga 3-dong
Songjeong-dong,Songjeong-dong
Yongdap-dong,Yongdap-dong
WangsimniDoseon-dong,Wangsimridoseon-dong
Geumho 2.3(i.sam)-ga-dong,Geumho 2.3ga-dong
Oksu-dong,Oksu-dong
Hwayang-dong,Hwayang-dong
Gunja-dong,Gunja-dong
Junggok 1(il)-dong,Junggok 1-dong
Junggok 2(i)-dong,Junggok 2-dong
Junggok 3(sam)-dong,Junggok 3-dong
Junggok 4(sa)-dong,Junggok 4-dong
Neung-dong,Neung-dong
Guui 1(il)-dong,Guui 1-dong
Guui 2(i)-dong,Guui 2-dong
Guui 3(sam)-dong,Guui 3-dong
Gwangjang-dong,Gwangjang-dong
Jayang 1(il)-dong,Jayang 1-dong
Jayang 2(i)-dong,Jayang 2-dong
Jayang 3(sam)-dong,Jayang 3-dong
Jayang 4(sa)-dong,Jayang 4-dong
Hoegi-dong,Hoegi-dong
Hwigyeong 1(il)-dong,Hwigyeong 1-dong
Hwigyeong 2(i)-dong,Hwigyeong 2-dong
Cheongnyangni-dong,Cheongryangri-dong
Yongsin-dong,Yongsin-dong
Jegi-dong,Jegi-dong
Jeonnong 1(il)-dong,Jeollo 1-dong
Jeonnong 2(i)-dong,Jeollo 2-dong
Dapsimni 1(il)-dong,Dapsimri 1-dong
Dapsimni 2(i)-dong,Dapsimri 2-dong
Jangan 1(il)-dong,Jangan 1-dong
Jangan 2(i)-dong,Jangan 2-dong
Imun 1(il)-dong,Imun 1-dong
Imun 2(i)-dong,Imun 2-dong
Myeonmok 2(i)-dong,Myeonmok 2-dong
Myeonmok 4(sa)-dong,Myeonmok 4-dong
Myeonmok 5(o)-dong,Myeonmok 5-dong
Myeonmok 7(chil)-dong,Myeonmok 7-dong
Sangbong 1(il)-dong,Sangbong 1-dong
Sangbong 2(i)-dong,Sangbong 2-dong
Junghwa 1(il)-dong,Junghwa 1-dong
Junghwa 2(i)-dong,Junghwa 2-dong
Muk 1(il)-dong,Muk 1-dong
Muk 2(i)-dong,Muk 2-dong
Mangu 3(sam)-dong,Mangu 3-dong
Sinnae 1(il)-dong,Sinnae 1-dong
Sinnae 2(i)-dong,Sinnae 2-dong
Myeonmokbon-dong,Myeonmokbon-dong
