dong,residential_population,out_traffic,in_traffic,tweet,employee
Sajik-dong,10365,49653,59841,6914,45046
Samcheong-dong,3421,30214,32924,4860,3980
Buam-dong,11527,37563,35557,1803,3590
Pyeongchang-dong,19752,66895,69388,2545,2635
Muak-dong,8664,75554,76317,1288,1388
Gyonam-dong,5859,156646,153581,1018,3493
Gahoe-dong,5413,30713,27559,2226,8218
Jongno 1.2.3.4-ga-dong,8856,1702273,1744418,35956,97700
Jongno 5.6-ga-dong,6311,215589,201210,5389,24602
Ihwa-dong,9503,17564,23278,4618,13777
Hyehwa-dong,19588,267298,288622,11213,8753
Myeongnyun3-ga-dong,0,0,0,0,0
Changsin 1-dong,7483,37155,29657,1048,6408
Changsin 2-dong,11860,233898,249518,926,2331
Changsin 3-dong,8406,0,0,241,794
Sungin 1-dong,7652,124849,125632,1503,1659
Sungin 2-dong,9728,32359,28962,805,5682
Cheongunhyoja-dong,14906,173255,180183,8854,5625
Sogong-dong,1820,79252,58964,8340,61868
Hoehyeon-dong,6587,613426,625661,10795,47252
Myeong-dong,4175,579621,627550,22733,103320
Pil-dong,4872,13536,15113,3355,21901
Jangchung-dong,6310,90094,99046,2733,9297
Gwanghui-dong,6221,263232,286920,5231,36642
Euljiro-dong,2060,212348,216467,4150,27740
Sindang 1-dong,9191,57258,56113,3271,26112
Sindang 2-dong,16712,140785,135025,1904,7855
Sindang 3-dong,19410,16974,18789,513,3478
Sindang 4-dong,16003,2452,2295,1050,3274
Sindang 5-dong,10704,4392,6973,582,4043
Sindang 6-dong,12126,10755,15246,597,3294
Hwanghak-dong,13070,164243,168608,1064,5702
Jungnim-dong,10438,52233,51056,2130,8292
Huam-dong,20212,20908,21892,1674,5239
Yongsan 2-ga-dong,13713,84341,86818,7080,2934
Namyeong-dong,8471,227489,216255,4542,20356
Wonhyoro 2-dong,15866,16709,13635,1619,6812
Hyochang-dong,11333,74906,72923,2268,2603
Yongmun-dong,13154,13982,14597,911,1600
Ichon 1-dong,28267,4586,6682,809,3486
Ichon 2-dong,10276,512,4595,917,876
Itaewon 1-dong,9814,94948,100828,3928,7121
Itaewon 2-dong,11898,5622,5021,3612,2215
Seobinggo-dong,14404,41736,37915,1735,4616
Bogwang-dong,18173,39489,36992,3731,2091
Cheongpa-dong,23720,20131,34751,2985,10019
Wonhyoro 1-dong,12946,19117,19340,1239,8110
Hangangro-dong,16468,491455,485087,10047,33136
Hannam-dong,25188,122496,125841,15940,15937
Wangsimni 2-dong,17338,76845,69880,3856,1926
Majang-dong,25618,274309,266838,3565,10974
Sageun-dong,11839,97038,109330,3162,9219
Haengdang 1-dong,18000,46946,49825,3181,8526
Haengdang 2-dong,26832,11475,15268,949,2107
Eungbong-dong,17463,24328,20603,753,1024
Geumho 1-ga-dong,15477,67940,70157,1214,1658
Geumho 4-ga-dong,15082,3064,2001,1338,1963
Seongsu 1-ga1-dong,18387,8445,7423,3932,6683
Seongsu 1-ga2-dong,18721,122026,127201,1936,12598
Seongsu 2-ga1-dong,21294,12503,7586,3028,14571
Seongsu 2-ga 3-dong,12457,157479,170508,2587,43517
Songjeong-dong,12640,15034,14585,1203,2156
Yongdap-dong,17445,42490,37861,1370,13485
