,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Sajik-dong,0.005172938849032452,0.09745646356163355,0.05183241840776791,0.047928828782099205,-0.049501207790274414,-0.07603406726592109,0.030617828487024237,0.024391504836952602,0.007133048650821328,0.03551343020098789,0.004470052406426129,-0.04405119488939423,0.017662987578181553,-0.030188548630690294,0.08177213212063106,-0.08769360296942603,0.0009654787921411394,-0.03457329679801143,-0.03465363490975238,0.009297434371697206
Samcheong-dong,0.01423341296792768,0.05426897707388616,0.1016914174658661,0.06823654212551886,0.011618529830214658,-0.04134603443750873,0.04610456715697871,-0.04112940660191141,-0.05085033095443681,-0.060624765581267226,0.039556264408889416,0.001387847151140848,0.024879543324480894,-0.059351178944231024,-0.08477518688408762,-0.10543281507031084,0.04681910443464425,0.027421926443365573,-0.007227098967398865,0.02632437571983193
Buam-dong,0.02655774735599116,0.035170603711900894,0.05418141347663103,0.05615520051700024,0.017274736078863966,-0.05420930335215476,-0.006361294552127592,-0.014604554651562915,-0.0574059187513342,-0.025461629556285538,-0.008216776783957644,-0.007321876048623856,-0.004347360927364784,-0.018054439296688075,-0.012639668127980331,-0.025253317475162955,0.023415908309232243,0.021510648224431765,0.019934982400031935,-0.01496565788616533
Pyeongchang-dong,0.03819072978538861,0.0243143915661533,0.02762525157065443,0.05456610877395574,0.007061481419656916,-0.09124395091558993,-0.04422073598794514,-0.05334542061955612,-0.08008226399498851,-0.11271700572542187,0.06198157528098855,-0.004288141475118324,-0.04233212669314209,-0.10052103282754285,-0.07722577077951479,0.10407955894167185,-0.04276527860114484,0.032180573358935774,-0.070024587280341,-0.061677556169983196
Muak-dong,0.025440971689997177,0.035766840087133836,0.0655357632204934,0.07905190107506396,0.02898832089602314,0.02644464144869219,-0.016837812354388353,0.002170322162981213,-0.005919588905222498,0.037113442645707165,0.0027233666412045765,0.012488549934735995,-0.005673272715991186,0.006668324090996179,0.01715522678124222,0.08457652054743088,0.07221023409248821,-0.04618563645512658,-0.06643988246959923,0.00842960550612204
Gyonam-dong,0.022747246130289746,0.0452319162649253,0.0800463787861654,0.048984363247337175,0.01770680954879274,-0.0651354087644516,0.032523143853706714,-0.010509692309180094,-0.059475007737060284,0.0373751623832174,-0.04188440957816064,0.06081018565466212,0.05136203851960089,-0.046894907352664,0.043405719199646316,0.0006999943542802304,-0.04827364758349569,-0.02931408264890892,0.1130645809787421,-0.033192499219985995
Gahoe-dong,0.016182136377093877,0.05970350054899457,0.08213513747092584,0.08184919094109022,0.014245215443507635,-0.05748567868462498,0.056941675836130946,0.00517264217196707,-0.033214527545435364,-0.015351342891484444,0.014950223742229008,-0.0024880663078796082,0.028667431401433796,0.0069647974040094925,-0.003357456556457664,-0.11218694430974738,0.005707735454528681,-0.008170039277543607,0.11428093877434158,-0.025017503848522672
Jongno 1.2.3.4-ga-dong,-0.03492197454424649,0.18549054805206544,0.1594187194098383,-0.1385121803806739,-0.2650046923446541,0.05527981201170737,-0.13997445063499467,-0.002740983473111428,0.0651953726868259,-0.06291542110647669,-0.06653190531391877,-0.038828838580300326,0.013592672677834748,0.05344274272848383,0.0832162948159794,-0.03749428360209964,-0.046273476511335995,-0.19387100520755113,-0.11552859353310703,-0.07905149189170531
Jongno 5.6-ga-dong,-0.0023475906871414996,0.09188421946551985,0.12534550227637473,-0.01760374872573084,-0.08994108236875274,0.13088091435282437,-0.04930980762693203,0.017027331600876074,0.013101659305446716,-0.13085342336397338,-0.02343541898706277,0.04114296265056926,0.012285040732889949,-0.011937136708409471,-0.004361175556196162,-0.0355070843694035,-0.0337081660151942,-0.0016100156655737112,0.012712920271296337,0.026477931950462837
Ihwa-dong,0.016040388980306637,0.05518118837446806,0.043181465873382174,0.04127336236069137,0.009615532271873364,-0.07149039793132328,0.07123781124376109,0.002505580022134982,-0.021413548817879966,-0.025873372919887665,-0.053612289062149564,-0.02471828816391565,0.03374003266626973,0.03594519973997522,0.15811428630098956,-0.0724468732764394,0.028371627907867,-0.011581811731561139,0.06686553760330417,0.07250766667669759
