,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Banpo 1-dong,673,835,684,101,72,1194,133,72,301,286,317,368,164,139,336,494,165,428,412,165,274,156,1639,1261,86,142,106,297,118,762,168,566,448,174,1417,259,242,53,512,308
Geoyeo 2-dong,53,92,77,6,9,103,9,13,23,31,26,22,11,13,39,59,12,34,44,19,33,19,206,125,7,1,16,27,10,58,22,66,58,26,266,25,24,5,40,22
Daebang-dong,552,844,649,87,114,1218,107,64,461,270,262,309,182,142,278,477,165,353,364,168,294,186,1665,1320,90,81,107,251,127,667,142,498,405,149,1475,269,215,69,481,283
Sinjeong 1-dong,164,205,159,24,24,297,25,19,68,67,84,65,55,37,85,122,32,96,87,46,85,39,404,347,28,9,26,48,24,213,43,126,104,35,324,69,45,15,131,70
Gayang 2-dong,242,404,311,36,40,579,54,36,154,163,140,159,126,62,140,243,60,178,199,73,106,81,657,586,41,28,48,126,63,360,72,237,179,92,804,136,78,21,256,115
Itaewon 2-dong,397,603,482,55,104,823,101,60,290,193,202,180,218,124,376,330,113,283,248,102,194,106,924,828,63,60,76,193,71,474,109,348,259,107,892,224,161,47,411,174
Jamsil 4-dong,360,580,423,43,57,845,85,60,186,153,195,175,249,115,230,268,89,276,229,92,198,139,1035,902,67,68,55,277,65,468,99,366,281,92,877,191,93,45,352,193
Gaepo 4-dong,347,487,331,24,25,630,64,53,105,105,124,158,84,197,126,191,72,176,188,83,111,143,858,931,150,11,45,87,150,487,68,225,185,80,577,137,53,35,204,113
Gaepo 1-dong,137,148,130,14,14,222,30,16,52,41,41,61,35,55,68,70,26,55,70,33,46,35,268,263,32,14,17,45,52,130,34,67,62,26,233,55,26,4,103,62
Geoyeo 1-dong,63,107,100,11,7,130,16,6,35,32,39,40,24,19,18,68,14,52,58,16,39,20,202,153,13,12,13,29,16,83,16,56,52,16,152,39,37,6,77,27
Guro 3-dong,398,640,504,57,65,809,137,67,281,160,210,238,205,103,280,344,113,345,277,119,245,161,1098,1018,112,64,71,234,117,536,174,325,289,131,929,244,99,54,425,173
Seokgwan-dong,192,313,225,26,11,374,35,31,89,85,101,142,78,48,88,167,42,110,123,36,84,42,477,455,35,19,34,86,48,236,49,176,94,54,479,108,79,10,171,86
Dohwa-dong,443,629,530,59,74,915,110,56,235,216,234,217,224,121,261,405,117,313,301,104,228,105,1246,995,73,56,92,195,78,544,111,390,263,129,1178,223,183,31,395,211
Gocheok 1-dong,411,621,456,54,74,939,142,48,174,174,271,206,154,98,222,462,93,267,280,125,208,134,1155,973,63,78,122,209,85,528,92,307,307,86,1292,265,150,38,331,211
Banghwa 2-dong,111,124,106,9,10,167,19,12,49,29,40,28,26,28,45,73,19,72,52,19,47,27,235,184,6,18,10,56,16,110,27,103,79,25,181,38,21,6,93,57
Samseon-dong,367,562,453,37,41,749,94,64,167,183,194,201,99,90,181,296,112,222,232,129,159,112,1042,812,66,39,57,168,72,472,100,297,246,117,946,179,161,41,315,157
Hongje 3-dong,206,246,208,23,13,371,48,34,91,77,90,113,66,59,73,145,44,120,104,59,64,65,443,468,50,42,31,94,65,284,58,161,123,46,411,91,55,23,154,86
Gayang 3-dong,563,712,627,80,75,1018,150,72,341,196,269,258,226,160,275,449,121,350,300,138,206,193,1330,1247,78,127,88,240,145,645,134,447,357,101,1185,258,145,66,462,267
Sangam-dong,1103,1673,1264,151,222,2267,277,192,611,517,578,504,496,301,720,907,265,800,761,351,510,414,2763,2404,240,138,179,516,217,1420,373,907,723,303,2710,546,293,315,992,479
Macheon 2-dong,424,377,299,34,28,509,66,48,96,122,153,225,83,117,116,208,108,184,172,78,94,73,659,703,53,18,44,117,74,347,69,338,167,79,567,109,161,23,179,117
Jungang-dong,362,532,442,60,44,811,77,46,208,133,186,160,168,85,288,261,113,233,232,83,168,128,886,853,68,48,90,194,61,495,98,277,248,95,844,172,68,32,334,152
Gwanak-gu Sinsa-dong,183,206,162,54,31,362,48,17,85,91,92,85,44,29,64,135,33,93,113,47,83,29,465,341,27,23,27,68,30,154,47,146,119,48,306,84,52,15,128,84
Noryangjin 2-dong,262,420,318,220,30,500,67,34,107,103,108,119,75,86,158,461,58,134,164,53,140,69,706,605,70,53,39,101,62,319,65,241,222,109,544,130,55,22,205,102
Ichon 2-dong,159,127,97,13,14,215,27,15,54,54,67,74,47,33,55,75,33,77,84,22,46,40,299,317,25,6,9,59,52,157,33,118,71,25,219,50,34,15,93,41
Sogong-dong,923,1342,1064,105,169,1886,306,181,843,366,551,465,682,295,604,690,242,672,583,234,388,324,2228,2065,184,145,108,534,205,1114,266,741,660,216,2033,427,219,89,807,413
Ogeum-dong,329,484,468,36,35,794,84,43,157,143,171,157,90,79,170,244,74,209,228,84,177,86,942,779,51,36,47,136,61,437,106,361,277,96,979,142,92,51,329,172
Nagseongdae-dong,358,552,458,54,52,744,84,57,315,161,192,186,171,86,239,295,112,236,202,93,175,119,920,788,74,28,53,185,85,449,104,310,276,96,945,195,137,30,298,157
Jamsilbon-dong,298,385,281,25,18,564,63,39,99,110,158,97,78,55,129,168,83,145,139,56,100,64,638,538,22,48,32,116,43,279,72,232,204,73,450,116,45,20,219,120
Sadang 5-dong,116,129,85,12,13,152,16,11,35,24,42,32,30,20,51,48,21,60,37,24,38,35,231,191,25,8,12,67,16,115,12,64,52,41,169,50,23,1,38,34
Samgaksan-dong,427,635,534,63,45,993,121,69,157,222,208,203,143,102,244,462,115,278,263,149,217,117,1291,969,52,64,81,165,86,525,105,389,360,151,1895,258,173,38,381,234
Jangwi 1-dong,103,189,129,15,13,202,17,9,48,44,43,88,26,36,52,92,31,66,86,43,61,38,339,269,25,25,17,49,20,148,37,108,64,27,220,49,27,12,93,50
Pil-dong,324,513,343,36,62,654,79,79,211,158,175,184,875,105,171,241,82,197,201,100,139,131,782,740,100,38,61,167,85,425,97,256,221,68,684,182,69,28,265,178
"Junggye 2,3-dong",842,927,766,91,39,1396,147,102,252,269,333,413,152,179,435,538,191,437,392,133,281,192,1809,1674,111,80,113,251,125,820,162,574,453,213,2019,291,156,33,488,327
Songjeong-dong,143,222,160,14,25,339,30,17,58,73,70,88,52,36,86,115,32,93,73,40,61,37,362,339,25,45,20,62,27,197,38,102,99,26,344,80,37,9,111,75
Anam-dong,482,749,645,54,56,1111,110,111,282,240,260,262,203,143,338,417,156,363,309,154,255,147,1354,1236,92,75,103,232,118,664,180,506,337,160,1238,247,155,51,481,238
Sadang 4-dong,164,230,179,44,22,287,51,23,73,71,78,80,54,60,55,136,30,87,101,33,62,60,410,357,36,38,21,76,42,192,30,136,107,41,365,85,47,21,119,58
Jongam-dong,338,455,390,61,34,737,70,42,128,123,155,155,116,80,191,235,69,206,253,85,151,105,860,717,67,23,57,132,59,397,79,261,268,107,708,167,102,30,261,155
Jamsil 7-dong,17,45,17,2,2,48,2,3,15,9,12,15,8,14,23,23,4,23,13,5,4,6,53,50,3,0,0,16,4,22,7,23,10,7,106,16,12,1,13,10
Sanggye 1-dong,505,629,568,68,39,1002,106,74,183,203,213,223,141,177,259,376,135,303,304,149,175,148,1353,1170,165,40,100,164,181,614,125,396,293,135,972,214,102,40,349,202
Namyeong-dong,697,720,650,64,85,1162,112,92,281,306,322,345,277,173,317,384,160,363,438,100,256,184,1288,1282,101,72,102,342,117,721,147,538,382,147,1249,235,93,53,522,276
Macheon 1-dong,26,19,23,1,1,35,3,1,3,10,21,12,1,3,1,15,6,13,9,8,9,2,49,38,12,3,5,7,5,27,5,15,13,8,16,10,2,1,10,7
Seocho 2-dong,443,592,508,51,218,849,107,68,200,220,237,208,180,114,254,309,91,286,311,96,179,142,1061,935,94,63,82,193,93,571,112,365,304,117,965,214,97,51,400,196
Seonghyeon-dong,384,526,470,64,40,794,97,60,187,185,208,169,109,90,207,277,119,242,283,97,187,101,954,869,48,63,63,150,72,443,93,387,290,120,813,211,166,41,351,186
Hongje 2-dong,176,202,174,16,27,302,33,27,47,49,78,105,35,100,55,88,37,117,92,63,45,76,403,462,100,41,22,69,78,239,40,122,84,35,285,65,55,21,125,54
Jamsil 6-dong,513,745,631,80,132,1074,141,69,648,245,278,272,526,126,342,536,172,415,316,156,265,169,1355,1152,108,85,61,585,116,653,163,419,440,125,1396,274,124,109,482,250
Hyochang-dong,353,390,335,33,19,597,76,44,118,108,147,163,71,61,157,193,57,170,162,66,106,84,665,618,35,63,60,92,41,339,84,314,211,74,680,121,66,32,257,128
Mangu 3-dong,99,135,112,9,10,222,25,11,38,53,46,51,28,21,49,71,34,99,66,17,44,169,256,227,40,22,9,48,20,164,20,75,65,31,222,40,29,11,73,54
Junghwa 2-dong,196,237,233,27,27,399,40,20,78,94,109,90,45,48,94,146,57,145,143,64,90,61,463,395,27,8,25,61,34,204,38,154,147,72,401,103,94,24,155,75
Dapsimri 1-dong,306,475,342,53,18,634,61,45,138,174,158,169,103,110,198,250,81,186,210,79,179,99,878,763,66,34,65,116,76,385,75,278,248,75,750,160,120,22,284,156
Wolgok 2-dong,167,271,200,27,19,363,46,22,80,67,107,98,66,46,95,139,48,112,134,51,82,51,415,410,25,21,31,75,34,231,56,162,143,43,424,87,57,18,184,79
Seongsan 1-dong,493,657,603,68,65,923,116,72,227,177,260,266,172,120,332,418,106,337,299,106,208,141,1178,1074,111,78,85,197,108,561,126,438,332,129,1040,195,99,52,440,246
Bulgwang-dong,341,474,375,65,39,688,84,41,160,164,134,185,130,79,161,283,69,165,234,80,148,87,823,663,66,84,51,176,93,378,78,284,218,106,782,154,105,47,265,188
Guui 3-dong,366,499,448,46,53,759,92,57,241,202,197,229,245,155,212,256,93,325,293,95,164,154,913,853,118,26,105,294,99,444,126,295,261,93,725,223,81,33,307,190
Sinwol 5-dong,290,387,361,42,20,647,63,35,111,170,134,132,58,61,121,245,74,171,170,65,120,75,729,593,24,17,35,114,50,341,56,254,204,58,595,148,118,16,240,160
Ssangmun 4-dong,227,314,247,30,9,405,53,21,91,104,103,112,56,54,76,162,53,131,111,70,98,59,615,518,24,46,27,77,40,289,62,195,151,65,698,98,70,14,187,93
Jongno 5.6-ga-dong,564,903,654,67,97,1139,128,105,342,214,284,260,522,191,406,392,152,369,314,151,290,176,1303,1288,139,84,98,361,142,713,193,421,432,131,1310,273,157,48,484,253
Jeongneung 1-dong,393,249,235,30,22,338,41,22,125,80,65,127,47,52,63,110,47,119,91,48,96,43,412,520,35,10,20,61,33,259,47,206,105,53,292,53,36,13,132,97
Guro 4-dong,196,269,214,32,266,415,34,39,88,98,86,83,70,56,120,225,42,114,144,55,129,58,454,457,83,36,40,90,82,361,75,135,159,49,596,113,80,33,271,92
Heukseok-dong,428,768,547,51,50,839,96,61,237,174,223,242,651,149,259,318,99,264,355,110,200,163,1119,1045,119,47,93,193,179,587,134,374,297,106,1076,212,86,42,364,189
Sungin 2-dong,103,129,108,12,16,207,17,15,60,51,48,46,39,32,64,74,22,60,68,18,37,28,189,233,26,7,12,47,32,100,37,92,63,29,192,53,17,12,96,33
Sugung-dong,313,449,341,41,574,656,59,64,147,170,121,137,132,89,141,210,75,184,185,77,138,102,715,682,55,59,48,224,68,352,98,278,190,98,579,112,68,28,308,133
Siheung 4-dong,90,113,93,4,4,129,19,10,25,60,40,59,10,43,35,65,13,50,51,24,27,26,197,188,25,10,16,23,32,117,20,80,46,36,142,48,22,10,38,42
Sinwol 6-dong,27,46,26,3,0,64,7,4,3,20,14,17,8,4,15,29,8,19,30,9,10,5,88,62,3,7,7,12,0,28,5,31,22,7,104,13,11,3,34,6
Wolgye 1-dong,159,255,211,15,23,326,41,30,70,64,98,94,50,53,102,128,32,106,101,40,79,57,429,385,34,36,31,83,39,232,37,145,135,29,417,92,50,11,136,72
Bomun-dong,100,141,154,23,12,238,28,16,56,39,55,49,57,22,67,83,31,79,58,17,53,38,290,242,18,19,16,46,14,152,20,85,107,40,290,67,66,8,92,56
Sinjeong 7-dong,217,342,231,18,27,446,53,22,100,102,152,128,67,57,129,197,63,151,133,52,111,47,528,448,27,22,32,103,36,260,52,217,139,76,484,109,66,19,177,95
Beon 3-dong,136,178,171,17,13,231,31,12,73,41,61,65,44,47,51,104,27,81,82,36,49,28,366,312,36,31,32,49,43,155,32,113,69,44,284,54,30,9,99,47
Jeongneung 4-dong,194,261,200,24,11,408,55,22,67,119,95,88,64,84,79,128,48,121,105,60,70,63,616,454,54,33,34,63,43,239,40,168,131,50,556,83,45,11,134,85
Chang 3-dong,112,105,88,8,2,130,15,8,12,25,31,38,9,47,32,34,10,49,52,17,21,19,220,226,47,0,10,28,33,108,27,79,56,14,89,37,8,3,40,39
Sinsa 1-dong,141,197,178,16,15,275,27,23,45,76,67,64,30,33,62,130,30,77,84,26,74,33,422,284,25,29,27,58,23,144,23,148,133,49,418,68,38,10,110,75
Singil 6-dong,258,413,316,41,49,597,67,54,135,119,152,167,121,74,176,213,82,142,202,59,145,86,758,602,62,24,38,113,53,345,85,251,194,97,591,146,62,31,262,117
Cheongpa-dong,361,475,426,48,37,704,60,41,173,168,172,265,146,82,198,257,97,254,268,84,156,88,790,742,51,60,65,141,64,388,115,370,242,102,816,178,92,42,302,194
Sungin 1-dong,241,343,258,23,13,425,56,44,65,52,65,164,43,164,92,97,46,117,106,50,87,104,527,636,370,28,30,105,181,319,38,156,138,54,351,136,55,20,169,93
Banghwa 3-dong,223,406,316,28,30,643,89,35,117,178,149,129,96,78,158,213,65,175,185,90,128,86,756,716,50,15,48,102,66,370,57,230,177,69,556,151,82,25,221,148
Yangpyeong 2-dong,568,781,614,78,64,1080,110,76,244,235,246,259,219,161,293,380,135,314,295,149,240,186,1349,1261,141,50,81,224,147,691,123,420,373,155,1191,289,140,45,439,247
Gongdeok-dong,987,1418,1083,141,109,1948,252,124,478,416,505,442,435,269,516,797,238,632,585,260,502,225,2522,2176,167,200,157,438,222,1100,244,863,659,243,2357,517,259,113,822,430
Dorim-dong,166,258,221,32,21,354,30,16,58,92,82,94,49,89,102,125,55,103,118,37,63,42,473,375,50,26,35,76,73,214,43,153,144,42,346,76,45,7,124,81
Sinchon-dong,2293,3514,2954,348,316,5081,612,396,1868,1206,1173,1129,1491,665,1707,2067,679,1668,1443,615,1114,649,6061,5249,440,431,437,1280,521,2783,747,2014,1915,575,5890,1122,664,225,2188,1111
Itaewon 1-dong,400,602,498,48,83,862,92,48,481,177,211,163,382,103,310,290,104,308,239,81,199,117,949,899,80,32,79,199,69,496,104,367,286,104,916,166,106,43,355,215
Dobong 2-dong,493,724,565,47,37,945,125,70,231,170,212,229,158,185,232,379,130,289,261,140,212,138,1383,1296,175,58,80,189,267,674,95,448,364,153,1112,268,108,35,402,223
Sinjeong 3-dong,267,364,267,42,36,479,48,27,106,110,103,126,89,98,106,185,59,174,155,76,94,67,655,561,58,36,34,102,64,339,57,215,161,58,574,128,89,15,197,110
Jeongneung 2-dong,159,194,181,20,15,295,26,17,70,84,62,87,92,47,81,119,27,103,76,48,60,34,419,334,34,10,30,63,47,218,61,146,112,32,353,92,46,18,100,57
Galhyeon 2-dong,445,708,501,69,46,1013,115,59,227,230,241,211,142,115,265,400,125,319,272,131,221,140,1355,987,80,42,73,208,124,525,108,372,344,137,1264,238,270,48,339,214
